,CA,Alameda,Amador,Butte,Calaveras,Contra-Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Tulare,Tuolumne,Ventura,Yolo,Yuba,,Condo,LA Metro,Central Coast,Central Valley,Far North,Inland Empire,S.F. Bay Area,SoCal,Year
10,3667570.0,5195730.0,2149828.3,2810564.081043956,2256175.890277778,3574860.0,1864996.0,3686171.077714531,1812295.131415806,1716829.0,3030921.459083851,1632669.0,2022062.35,1581271.4090909092,0.0,3776287.762526806,1711877.4444444445,9662069.192389075,2886249.0,3080760.0142857144,1349008.3333333333,7308330.0,3106450.0,4311646.213853851,3199643.0997554725,6528489.099433996,3424362.42157835,0.0,2469904.225323602,2183303.5346184107,3457000.0,1667563.4586465913,4619110.195917826,9012462.0,2027869.588903324,4608022.0491055455,8723000.0,5438843.735576923,7160500.0,6211650.0,2120351.0,1888327.375,2535922.612190592,4345641.199135816,1727692.7936607227,1976242.0,1630367.0,1607476.8527929017,2497408.3345959596,5305373.38075478,2982633.9192479285,1714069.0,0.0,3037979.92,3415948.1084179264,4253725.0,2028599.0656893642,0.0,2150894.513076157,5389060.0,3625305.0,2010
11,3450270.0,4789060.0,1908110.0,2441370.0,1954816.6875,3367080.0,2116662.833333333,3188694.484166667,1653980.0,1460927.0,2839310.0,1589420.0,1674910.0,1316460.0,0.0,3604030.0,1491420.0,9059150.0,2314997.0,2596260.0,1367420.0,6307137.410714285,3121750.0,4071440.0,2697179.966012838,6158310.0,3140201.513464794,0.0,2407200.0,1993468.823159663,3123600.0,1581790.0,4442190.0,8395480.0,1933433.2740018917,4333360.0,8182350.0,4731440.0,6810300.0,5593250.0,1864950.0,1530410.0,2297440.0,3990680.0,1618552.0180161833,1785809.0,1398840.0,1445960.0,1995995.4430555555,5024310.0,2732516.101941392,1571816.0,0.0,2742570.0,3268540.0,4166050.0,1885500.0658395477,0.0,2067430.9645833333,4968340.0,3477350.0,2011
12,3860970.0,5162230.0,2048260.0,2522050.0,1957556.6138888889,3884220.0,1952496.5,3236770.0,1750860.0,1737414.0,2767540.0,1723630.0,1743890.0,1479520.0,0.0,3842900.0,1496210.0,9361450.0,2202913.0,2710390.0,1490860.0,5772912.65,3636750.0,4460600.0,2757193.394890524,6461720.0,3413000.0,0.0,2657410.0,2123400.0,3499680.0,1697150.0,4619220.0,9247645.0,2028780.0,4664230.0,8890900.0,5673180.0,7629500.0,6091610.0,1954920.0,1583090.0,2422110.0,4273850.0,1726302.520547945,1784310.0,1411050.0,1564010.0,2058269.75,5090120.0,2830940.0,1601273.0,0.0,2981080.0,3597470.0,4757525.0,2020867.9718811614,0.0,2279930.0,5578940.0,3791288.0,2012
13,4890340.0,6820540.0,2520940.0,2914470.0,2465179.75527955,5311500.0,1726663.3333333335,4076640.0,2108050.0,1745664.0,2946940.0,2244250.0,1939740.0,1806700.0,0.0,4777360.0,1875370.0,11139800.0,2643748.0,3251140.0,1831910.0,5229162.625,4730200.0,5819880.0,3376562.9886955884,7775160.0,4190880.0,1028000.0,3400630.0,2856210.0,4487570.0,2114160.0,5528710.0,11115434.0,2573480.0,5439980.0,10892940.0,7408320.0,9268940.0,7150480.0,2304710.0,1654670.0,3257460.0,5260580.0,2239620.0,2272030.0,1814340.0,1827040.0,2329730.0,6208770.0,3564190.0,2122079.0,0.0,3917350.0,4519930.0,5840900.0,2591436.257485428,0.0,2915650.0,7286880.0,4700788.0,2013
14,5385010.0,7794860.0,2681690.0,2842060.0,2835100.696846757,5844080.0,1950831.6666666665,4423950.0,2380520.0,1919170.0,2995940.0,2508600.0,2152920.0,2073300.0,0.0,5260930.0,2514830.0,12159000.0,2899170.0,3569800.0,2046200.0,6170826.7,5569750.0,6573338.5,3697423.465657724,8238100.0,4531230.0,2666030.0,3801830.0,3211170.0,5043500.0,2459650.0,6000420.0,12956033.0,3051490.0,5727820.0,12722500.0,8133040.0,10224330.0,8008000.0,2527990.0,1855420.0,3769120.0,5781000.0,2685480.0,2519950.0,2217670.0,2096520.0,2698470.0,6846360.0,4133080.0,2421403.0,0.0,4393090.0,4938110.0,6549781.0,2930576.007504877,0.0,3280430.0,8124010.0,5098900.0,2014
15,5707940.0,8633720.0,3138720.0,3012350.0,3072420.0,6265650.0,2336220.0,4801730.0,2622520.0,2329700.0,3174440.0,2602630.0,2250860.0,2537480.0,0.0,5583770.0,2600790.0,13131000.0,3111130.0,3906100.0,2353940.0,7475330.0,5848000.0,7133650.0,4015980.0,8434840.0,4713800.0,2922430.0,3964380.0,3443300.0,5577390.0,2699800.0,6360910.0,14946230.0,3397510.0,6183807.166666667,14734880.0,8423600.0,11334230.0,8626690.0,2769640.0,1949440.0,4148950.0,6323000.0,2958130.0,2783020.0,2112370.0,2227960.0,2869330.0,7273870.0,4481290.0,2615710.0,0.0,4615572.432182762,5230890.0,6883250.0,3170206.946820012,0.0,3479080.0,8766430.0,5458900.0,2015
16,6026140.0,9269000.0,3220000.0,3324640.0,3412300.0,6762330.0,2571280.0,5149560.0,2795450.0,2432025.0,3401740.0,2675800.0,2487220.0,2836200.0,1762490.0,5924865.523993307,2723250.0,13846100.0,3235250.0,4302500.0,2552200.0,5961550.0,6228030.0,7549380.0,4158050.0,8797350.0,5096740.0,3117500.0,4208600.0,3761890.0,5943970.0,2916080.0,6679120.0,15956960.0,3736750.0,6524250.0,15283000.0,8348800.0,12180000.0,9409400.0,2807900.0,2301000.0,4599000.0,6912500.0,3202250.0,2946610.0,2346500.0,2462500.0,2940980.0,7400720.0,4671630.0,2883300.0,0.0,4896520.0,5507920.0,7182023.0,3409205.9684801847,2871500.0,3745090.0,9417740.0,5773900.0,2016
17,6444309.01037901,10212200.0,3821850.0,3588400.0,3710500.0,7342054.0,2567150.0,5506700.0,3030040.0,2568000.0,3665200.0,2756500.0,2649000.0,2937717.5,2146500.0,6397670.0,3019030.0,14919520.0,3412950.0,4787500.0,2942414.5,6923730.0,7066970.0,8041250.0,4704500.0,9339500.0,5413500.0,3699250.0,4548950.0,4070300.0,6543880.0,3216090.0,7139600.0,16976180.0,4064400.0,6898500.0,17049750.0,8499500.0,14020000.0,10016500.0,2991130.0,2523500.0,4898400.0,7533890.0,3463740.0,3257920.0,2481500.0,2628650.0,3420850.0,7523250.0,5039450.0,3164680.0,0.0,5249880.0,5831440.0,7738550.0,3669262.253259566,3109735.0,4040669.875,10322980.0,6163000.0,2017
18,6852690.0,11116300.0,3929720.0,3841350.0,3860500.0,7790030.0,2762300.0,5900249.0,3223570.0,2777810.0,3733350.0,2878380.0,2792680.0,3232900.0,2292200.0,6868200.0,3136350.0,16131940.0,3843600.0,5039150.0,3217040.0,8300400.0,7422250.0,8458000.0,4951687.5,9783830.0,5761510.0,3470400.0,4819120.0,4385450.0,6926887.0,3468600.0,7575400.0,18880000.0,4414200.0,7397665.0,18964000.0,7952750.0,15819000.0,10588500.0,3183450.0,2468100.0,5314000.0,8008500.0,3751900.0,3525200.0,2628150.0,2795780.0,3544210.0,7848070.0,5276750.0,3345760.0,0.0,5571500.0,6195000.0,8069017.0,3832700.0,3285850.0,4302070.0,11318800.0,6503073.0,2018
19,7102390.0,10938000.0,3896250.0,4339600.0,4069220.0,7940840.0,3137830.0,5969440.0,3383050.0,3124500.0,3864560.0,3050400.0,2955250.0,3190900.0,2491450.0,7102360.0,3350750.0,15674000.0,3832920.0,4831850.0,3349640.0,8324500.0,7561260.0,8472750.0,4979450.0,9871950.0,5968450.0,3765240.0,5019450.0,4553250.0,7131700.0,3724200.0,7725550.0,19073000.0,4542750.0,7522500.0,18680000.0,8309000.0,15086750.0,10678250.0,3415520.0,2656750.0,5388680.0,7862920.0,3922250.0,3722550.0,3070500.0,2923700.0,3613500.0,7814650.0,5430910.0,3539250.0,0.0,5605110.0,6422900.0,8161450.0,4023230.0,3602572.0,4529490.0,11084750.0,6731850.0,2019
20,7801880.0,12015260.0,4156400.0,4617370.0,4396910.0,8844000.0,3481200.0,6349970.0,3708850.0,3580270.0,4057640.0,3333300.0,3170050.0,3530950.0,2622250.0,7701690.0,3740510.0,17333000.0,4301150.0,5580560.0,3616200.0,8926400.0,9006500.0,9233880.0,5436250.0,10717550.0,6320400.0,3994500.0,5489690.0,5000990.0,7652960.0,4123650.0,8414560.0,19753500.0,4973690.0,7910840.0,20106690.0,9884500.0,16468890.0,11674000.0,3690650.0,2979700.0,5877050.0,8342630.0,4315000.0,4069300.0,3319250.0,3205700.0,3814500.0,8569750.0,5824810.0,3997940.0,0.0,5974150.0,7005710.0,9113500.0,4431720.0,3826100.0,5019740.0,12153790.0,7350820.0,2020
21,9435300.0,14915500.0,5061670.0,5213380.0,5516250.0,10830500.0,4390150.0,7760640.0,4406500.0,3850500.0,4902530.0,3888440.0,3704750.0,4058820.0,2868900.0,9262300.0,4444880.0,19222500.0,5047260.0,6569950.0,4195500.0,12305500.0,10249000.0,10939100.0,6555450.0,13071500.0,7647200.0,4766500.0,6693400.0,5989000.0,9193200.0,5098900.0,9915570.0,21728400.0,5844530.0,9225510.0,24128500.0,12230540.0,19548750.0,14234450.0,4309350.0,3624500.0,6780750.0,9207200.0,5106500.0,4797800.0,3933450.0,3818520.0,4560620.0,9839250.0,6906730.0,4817200.0,0.0,6997250.0,8503500.0,10571680.0,5243200.0,4418250.0,6120000.0,15075690.0,8823150.0,2021
22,9879150.0,15763560.0,5028700.0,5362780.0,5676850.0,10944840.0,4501050.0,8059450.0,4901500.0,3996510.0,5351300.0,4472880.0,4047250.0,4210400.0,2947250.0,9900040.0,4959500.0,20534500.0,5198950.0,6575000.0,4631380.0,12376000.0,10377500.0,11958000.0,6740000.0,14672760.0,8113680.0,4974500.0,7340020.0,6443000.0,9614890.0,5662190.0,10897000.0,21304000.0,6274340.0,10485000.0,24300500.0,12502500.0,20996500.0,15835000.0,4544750.0,4039950.0,7179000.0,9912150.0,5468900.0,5177950.0,3928730.0,4289470.0,4962010.0,10638500.0,7510420.0,5129450.0,0.0,7651000.0,9073500.0,11435010.0,5643990.0,4650000.0,6758740.0,15629500.0,9464060.0,2022
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
