,CA,Alameda,Amador,Butte,Calaveras,Contra-Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Tulare,Tuolumne,Ventura,Yolo,Yuba,,Condo,LA Metro,Central Coast,Central Valley,Far North,Inland Empire,S.F. Bay Area,SoCal,Year
0,2901338.0,4434773.0,0.0,1599477.3534255687,0.0,0.0,0.0,0.0,1250630.2286526868,0.0,1550017.1896407623,1078166.0,0.0,1489792.4409172698,0.0,2539831.7493970334,0.0,7698126.0,0.0,1984875.7083333333,1307306.2098009447,0.0,4155250.0,3603214.20304372,0.0,3786433.837702658,2660708.675436261,0.0,1881938.0774478104,1724119.0,4109718.398010323,1423273.928808073,3218863.0,6141921.0,1919112.0,3079661.7488479787,7179944.0,3902940.6127973567,6218894.0,5310000.0,1428857.0980755917,1339816.125,2317952.2851600847,3792591.0,1586047.0,0.0,0.0,0.0,0.0,3535056.0,0.0,0.0,0.0,2240370.0,2569180.4163384642,4597950.0,0.0,0.0,1668084.3969739443,5206680.83894899,2834900.0,2000
1,3162056.0,4812528.0,0.0,1801427.211396807,2308303.683333333,0.0,0.0,0.0,1431763.803693467,0.0,1710773.8621843436,1206755.0,0.0,1652605.311965812,0.0,2836915.9311069935,0.0,8073256.0,0.0,2390572.7012626263,1578114.5690893666,0.0,4228450.0,4028367.805396171,2995648.0435264874,4217705.23724247,3054812.761689777,0.0,2121885.20942744,2066731.0,4381121.131732339,1559798.1056481428,3589936.0,6640637.0,2317371.0,3511722.7389870514,7165400.0,4255817.060904641,6304800.0,5855380.0,1589937.6978414129,1399525.7713675215,2828624.915402573,4283492.0,1927961.0,0.0,0.0,0.0,0.0,3834029.0,0.0,0.0,0.0,2453180.0,2839241.721009294,4890600.0,0.0,0.0,1863143.799659997,5518777.915534803,3130325.0,2001
2,3819705.0,5316198.0,0.0,2144214.5809144075,2601321.575717787,0.0,0.0,0.0,1718009.370379111,0.0,2019046.054032714,1421992.0,0.0,2012568.478792735,0.0,3374645.5468110135,0.0,8528070.0,0.0,2779470.552056277,1881244.8048202614,0.0,4539050.0,4575373.269490327,3474864.73155813,4918347.568117979,3433994.8470132067,0.0,2453264.8368953625,2504520.0,4478831.365877223,1742475.7869051036,4329732.0,7041705.0,2673259.0,4098599.276262751,7412000.0,4938224.514942154,6500000.0,6153800.0,1859717.5471870704,1588255.4916666665,3235573.280559421,4545800.0,2248466.0,0.0,0.0,1348783.3380977644,0.0,4440587.0,0.0,0.0,0.0,2889830.0,3371219.676547593,5145500.0,0.0,0.0,2118324.464967404,5908978.41915831,3736200.0,2002
3,4458267.0,5691671.0,0.0,2621978.4411534416,3103320.230372242,0.0,0.0,0.0,2113346.986955924,0.0,2470405.516442726,1716379.0,0.0,2465199.184588143,0.0,4071054.28442975,0.0,8845528.0,2268449.0,3370457.7246753247,2301527.2392964098,0.0,5179400.0,5536068.562651864,3762801.668502674,5913482.36124796,3931307.5842587072,0.0,3036374.6684749937,2962845.0,4783219.918438216,2086501.1467605734,5066809.0,7618993.0,2995368.0,4702286.587640164,7766150.0,5568037.653484481,6570500.0,6444900.0,2340516.2030729614,1997138.25,3739890.3452036586,5103839.0,2636955.0,0.0,0.0,1598046.1587502663,2791313.1984385285,5482023.0,0.0,0.0,0.0,3424220.0,4060631.108558376,5588500.0,0.0,0.0,2587595.590967017,6400161.082143143,3765300.0,2003
4,5412810.0,6869108.0,2792113.6732269544,3121888.138260784,3864538.784787761,0.0,0.0,0.0,2758445.3117793286,0.0,3035135.981979662,2248050.0,0.0,3128744.3707545944,0.0,5109215.036460865,0.0,10311447.0,3228745.0,4047858.018355174,2750541.8740750193,0.0,6608175.0,6486387.702142182,4345606.40637723,7677861.273710188,4897064.342022576,0.0,4098485.4245409803,3767920.0,6046282.870882872,2845376.633314379,6558261.0,8536390.0,3636130.0,5519248.113617532,9018888.0,7247027.9353510905,7451650.0,7459000.0,2816617.364268846,2326265.7694444447,4542078.339752589,6062859.0,3095007.0,0.0,0.0,1860169.3555402795,3323697.5217477037,7089725.0,0.0,0.0,0.0,4298460.0,5023372.085881916,6895500.0,0.0,0.0,3513515.2163766,7465892.401313732,4667161.0,2004
5,6311520.0,7880530.0,4223796.160965909,3815506.502329518,4857623.571521494,0.0,0.0,0.0,3456560.067245011,0.0,3806600.4304528097,3239230.0,0.0,3613162.37768699,0.0,6081241.169272553,0.0,11715797.0,3817200.0,4644182.151405502,3715940.531366927,9464578.075,7916055.0,7835503.759467271,5398934.444360182,8459615.7027101,5801733.695421273,0.0,4790005.927251989,4495447.0,7548580.432514276,3765418.6642328477,7233220.0,10395840.0,4667282.0,6773280.046781568,10357000.0,8297814.874701751,8768150.0,9017540.0,3420107.0640962343,3033030.053571429,5513705.721914389,7470924.0,4069792.0,0.0,0.0,2436070.7519211285,4135028.250237681,7986794.0,0.0,0.0,0.0,4988910.0,5901126.768225201,8748900.0,0.0,0.0,4339469.930830794,8225560.0,5789849.0,2005
6,6727690.0,7999690.0,4325439.255916878,3887640.8646455663,4789672.521010239,7585870.0,0.0,0.0,3528915.4303921335,2969221.0,3929628.5277916933,3443587.0,3018993.765319788,3742525.726956087,0.0,6692430.114311177,0.0,11557470.0,4430833.0,5100806.312918699,3766130.366989988,8064580.375,8111000.0,8151342.729522439,5469996.7091869945,8782888.37024245,5625179.9706921745,0.0,5046273.339058976,4488681.0,7253150.0,4135499.5307211364,7203922.0,10575060.0,4847576.0,7025907.218254788,10385500.0,8902283.498107817,9256854.0,8922315.0,3577647.3724634736,2985170.578525641,5709056.8487300975,7460512.0,4327779.0,2687871.0,0.0,3040968.7610102613,4297627.539117702,8231299.0,0.0,2426373.0,0.0,5143660.0,6364704.839232703,8919250.0,0.0,0.0,4597558.415766068,8461420.0,6172900.0,2006
7,6653401.0,8083980.0,3959203.679410173,3677438.9844848416,4490860.944680319,7488360.0,0.0,0.0,3316774.961313468,2989582.0,3832802.9565377645,3213459.0,2852384.957824569,3333892.5581196584,0.0,6705004.0302969,0.0,12347850.0,4300831.0,5257191.651648351,3150639.884282482,8941663.2,8081950.0,7890336.626222569,5197026.174083584,8689940.712074526,5197070.818604198,0.0,4753414.745898545,4064636.0,6527475.0,3758645.495989198,6951909.0,10967857.0,2981902.0,6866530.607882819,11188217.0,9310007.725016365,10000000.0,8948250.0,3280537.8899558866,2899205.972510822,5097637.914841362,6902119.0,2754575.0,3301073.0,675831.0166666666,2805856.6652568504,4037365.670380605,8014982.0,0.0,2935346.0,0.0,5137750.0,6408460.625600508,9193250.0,0.0,0.0,4366637.996468045,8851610.0,6265450.0,2007
8,4329480.0,5877420.0,3293457.5037698415,3254795.248867221,3476184.5158910532,4225620.0,0.0,0.0,2438694.9362076474,2217497.0,3542626.126677489,2303600.0,2457404.642318494,2515241.878517316,0.0,4577039.627558625,2528576.471788261,11533553.0,4050000.0,4185194.1107142856,1916089.3692787075,8233328.0,4273800.0,5529830.034271857,4328813.412406195,6572260.187799258,4186411.6037817975,0.0,3120851.678257421,2664449.0,3992000.0,2428823.425791816,4919611.983433228,10136193.0,0.0,5431134.550823424,9602013.0,5404960.252380296,8136040.0,6899118.0,2764210.2845562273,2548828.216666667,3451546.0,4883786.0,0.0,2448080.0,2113124.7779761907,2167642.404744666,3417363.9705406525,5645792.0,0.0,2188601.0,0.0,3849550.0,4134593.7206900036,5602485.0,0.0,0.0,2900197.9682308,6172370.0,4231950.0,2008
9,3320400.0,4575100.0,2449134.1220238097,2950651.7429843694,2617092.936507936,3141630.0,2396662.5833333335,3926136.4247501106,1741112.7280509882,1882663.0,3199046.976700463,1574119.0,2010549.0277777778,1884638.6249999998,0.0,3508794.720361245,1766630.4270610518,9274970.357754549,2724999.0,3138496.3122294373,1286464.100984255,7791661.875,2707500.0,4361810.915738969,3521951.7331807087,6068584.651045106,3580841.777662647,0.0,2200216.02009191,2140318.3584352727,3163529.0,1554830.3553145896,4305059.078770972,8904440.0,1912247.6864342485,4626608.686636196,8077690.0,4582306.711179752,6298750.0,5810500.0,2349528.5707894736,2060245.9874999998,2460206.983473838,4185363.2230711547,1691087.9283572398,1939554.0,1779494.75,1608396.4094334957,2731711.5373737374,5012789.966080888,2969597.142787143,1755436.0,0.0,3006930.0,3019251.628249368,3804550.0,1962515.4239320615,0.0,1939600.548288793,4715860.0,3218900.0,2009
