,CA,Alameda,Amador,Butte,Calaveras,Contra-Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Kern,Kings,Lake,Lassen,Madera,Marin,Mariposa,Mendocino,Merced,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Tulare,Tuolumne,Ventura,Yolo,Yuba,Unnamed: 53,Condo,LA Metro,Central Coast,Central Valley,Far North,Inland Empire,SoCal,Year
0,7369.554896142433,21985.03400179772,,,,,,,,,1917.298160949524,2207.780317648805,,1279.6137440758293,,,12608.845982790292,,,,,,4187.994416007446,,7811.525891593716,,,4883.99243715614,5634.6480831471945,14831.502546119838,1726.7648054866152,10016.5794640643,,6434.132935238501,4211.978190000866,,4794.4134812358,,,2191.017568850902,1120.331950207469,3099.643656624122,5951.692069702898,5948.864423483035,,,,,7995.494398441305,,,,6794.285714285715,6628.132305360609,13387.09677419355,,,2795.454980182,5261.363636363636,2000
1,8061.0888252149,15801.396646281317,,,,,,,4964.686406264604,,2502.002354709419,3598.764657308009,,1029.9316932665974,,,10506.222362602653,,3859.631578947369,,,,5058.842143299608,,7040.342874656363,,,5383.818527438913,5638.649349302639,8169.6678711704635,3291.464850602763,8000.364606082898,,4308.865373857915,4369.394132716634,,5125.499644546014,,,3492.654745762712,1210.632310838446,4938.4930173004195,4586.93655239015,4056.192391779623,,,,,6686.902050673325,,,,7382.758620689655,6495.27348871803,6879.310344827586,,,4293.371107339925,6523.809523809524,2001
2,12058.220640569394,19682.0176766218,,,,,,,6730.027825026792,,5475.382860222781,5152.132316814909,,1599.6007601421136,,,11651.618625910583,,4436.191599281222,,,,8438.026527655735,,8820.025584760337,,,7407.644084946807,8986.663345195728,10731.13228346457,5281.064351390803,13434.71472601934,16249.585635359115,6388.294774058115,8130.354426295005,,7665.263886979663,,,6370.307934286424,3056.0793036750483,6545.946897696618,7009.323070690703,6953.673647732409,,,3934.754235407708,,,,,,8452.0,10306.61639195371,10375.0,,,6335.456563238407,9257.142857142857,2002
3,15045.692883895132,23702.850153058665,,2857.666656913519,,,,,7929.93102727148,,5785.465371621622,6357.027942421676,,1893.3056757656461,,,11973.059090909092,2119.359104781282,2669.6982615894035,,,,6342.108977221975,,12263.081329308918,,,10610.026469966162,11492.14951172971,18218.204204204205,7748.783872839093,17800.49694039764,23628.591549295776,9803.389641269512,9672.959855985599,,5133.747449274274,,,7623.498330530573,2289.3754578754574,4225.999944230073,7241.166877192983,4920.553379658876,,,4916.189199689199,5141.47936919421,20995.17700708028,,,,13137.71186440678,13219.51557883008,15106.060606060606,,,9353.04763185202,14478.260869565218,2003
4,11768.48635235732,11482.718938480097,6434.895705521472,3490.597190427303,,,,,10447.166717319797,,8896.96566077003,10260.651469934599,,2976.841218925421,,,18662.25697786333,3080.5687203791467,5164.663922155689,,,,11150.68176222501,,9668.157386991501,,,8303.64982600004,14789.216415341185,30812.30625583567,7870.820803058378,12362.540399588659,26255.598591549297,,14527.117705102903,,10691.49316807337,,,6472.209919292784,4347.420404411765,10247.428267524045,10818.128152838895,,,,8620.3344446704,7254.076229508198,14699.040000000003,,,,12335.96214511041,11843.080503418438,21250.0,,,8118.066449618319,10121.951219512195,2004
5,12759.90675990676,12251.901712583767,5131.326006605851,3787.3724252491693,,,,,10850.148635297553,,9282.835456290348,,,3040.8577763699714,,,18812.53243632869,4026.354319180088,4771.773858921162,,,,10423.404858861637,,11747.55245593371,,,8954.197415580717,10019.438177735003,22388.059701492537,8929.13523603063,11135.191773111064,22346.08355091384,,9800.175639557083,,8407.911755583125,,,9273.014534739761,4050.627848101266,8827.10290628707,9947.43447919359,,,,9834.415550414826,7095.554278575891,15987.23988591951,,,,10743.640897755611,11737.916693229074,17857.14285714286,,,8822.174958871972,11780.487804878048,2005
6,7899.583911234397,23999.275046148683,3571.4258241758243,2844.814734168028,,21436.075766338923,,,4334.920995165354,3851.5406162464983,4445.6214689265535,,3957.6111591695494,2624.6151812688827,,,13128.460997891776,3393.665158371041,3699.500921332389,,5924.1658767772515,,6077.895163361392,,8904.120550852345,,,5855.06139137469,7041.288758999216,7411.891891891892,4800.116987695204,8985.121856705347,19763.744149318016,,6098.066183816183,,8997.974949611285,,,4315.849217086646,3075.249638205499,5588.5907704160245,5950.970239535446,,3536.632653061224,,4572.270403146509,4706.722210828548,9899.158878504673,,3565.0505050505053,,6366.163141993958,8502.198508624479,8925.925925925925,,,5360.389534658365,7923.076923076923,2006
7,7208.695652173913,14183.289540686423,3752.75055187638,2440.401580225436,,8364.698221888304,,,4253.033649092002,4243.281471004243,4562.158281586618,,2376.026859504132,1923.6237752161383,,,14541.699177438306,2338.269680436477,3029.9155275590556,,4612.542435424354,6242.233009708738,6128.484361792053,,7354.779298540793,,,4947.257305538753,5323.315828882344,7241.678726483358,3138.3855371900822,7586.753155390027,19310.892762810356,,6252.283583180988,21080.656424581,5372.312138728324,22062.283737024223,11673.33867093675,2684.024132316394,2020.9445796773277,4243.165385710219,inf,,3082.0132450331125,3721.5053164556966,2877.99783397846,3628.5252152521525,10955.235507246376,,3195.608308605341,,6606.1016949152545,6632.297055429295,9177.215189873417,,,4330.113796261171,6197.183098591549,2007
8,6113.606911447085,13069.322335313482,2869.3504273504273,2974.6168842603074,,9521.098144142094,,,3047.49057996843,1380.9910641754673,3615.6990358126723,,2635.1646985705406,1390.6706238643244,,1814.3160878809356,8508.997584541063,3925.12077294686,3021.1480362537764,,3321.029520295203,6832.703538302989,6175.22041921658,,7379.503795275186,,,4722.470180478936,6832.557054119908,8933.870967741936,3249.9249737144382,7328.86077991931,13965.408588957056,,7615.877483443709,15189.87341772152,5469.946538509155,15528.787878787878,7901.591895803184,4016.8013782686676,1553.3218134522485,4326.462423888564,4523.689948006932,,4202.298288508558,2950.8196721311474,2943.2931577620966,3299.9796384061783,7269.686274509804,,5562.5874125874125,,5037.8378378378375,5610.129886553374,7279.069767441861,,,4179.331771983102,6111.111111111111,2008
9,8717.613636363636,19289.656652360518,3755.868544600939,1963.9924490885517,,13406.270326525302,,3901.6440560861615,5039.61561761062,3882.769230769231,4274.849329599457,,5440.961629387161,1444.4079822616409,,4072.1802773497684,8473.71282194214,1746.5475223395615,3678.675175175175,,3832.1099101628297,9730.25048169557,6919.418957345971,,9837.494865266934,7791.83661364249,,6563.886085137639,7399.852573712303,13141.872487076393,4734.138572641567,11129.77112346665,14927.92327787708,7866.026549665455,6916.399780219781,26242.22202182343,8407.430881164106,22590.95180561149,14250.462677359654,3783.857506361323,2454.20695970696,8014.067436503606,6539.76303330493,6391.057698461539,5075.225806451613,2124.5421245421244,5727.917082528134,3883.070680628273,9329.941845619773,9427.507791596208,5260.909090909091,,7075.916230366492,8054.027704401759,10484.848484848484,6521.281631748845,,5871.904323208121,9516.129032258064,2009
10,5254.6551724137935,13827.50674542405,2295.7615894039736,3443.11377245509,,8326.555444202088,,3816.76356575546,2969.948892674616,1519.0243902439024,3844.332688588008,,4409.302325581395,1192.9732564237022,,2609.928338762215,9146.073389193876,1671.3938411669367,2805.1799576570215,3326.8072289156626,3610.828485456369,5164.8351648351645,4156.769596199525,,6073.025516403402,5254.795454545454,,3881.140578702857,3698.464634887599,6151.648351648351,2812.8734968040158,6315.303880378905,13238.008455127432,3982.179960340949,5531.868131868132,15861.678004535146,6158.073270013569,15838.15028901734,10353.535353535353,2706.503442999235,1349.8347107438017,3957.404218682738,4077.6874999999995,3496.6832790136987,3835.3253012048194,2852.2434782608693,3347.5272727272727,2750.8996346443155,5311.699905033238,4367.948206876112,2414.1289198606273,,3765.15625,4910.377583707273,6683.018867924528,3548.489089793355,,3488.376429365035,5227.982456140351,2010
