,CA,Alameda,Amador,Butte,Calaveras,Contra-Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Tulare,Tuolumne,Ventura,Yolo,Yuba,,Condo,LA Metro,Central Coast,Central Valley,Far North,Inland Empire,SF Bay Area,SoCal,Year,Month
143,2.7,2.2071269487750556,,,,3.1,,,,,,,,4.245098039215686,,3.6210588935157646,,1.8,,,,,,3.9342105263157894,,2.3,,,5.2012847965738755,2.2,,2.4473684210526314,5.2,1.8067226890756303,,3.8,,3.6,,,,,1.6012658227848102,1.9,,,,,,3.8,,,,2.4,3.7513941884355737,,,,4.404870624048706,2.129885993485342,,2000,12
155,2.8,3.360385144429161,,,,4.8,,,,,,3.2,,7.745762711864407,,3.0495178524889237,,7.0,,6.806451612903226,,,,5.88,,2.5,,,2.9813432835820897,3.1,,1.1238095238095238,0.5,2.4229249011857705,,5.3,,4.5,,,,,5.8316831683168315,5.6,,,,,,,,,,1.9,2.6661160924964604,,,,1.7515762925598992,4.29143897996357,,2001,12
167,2.5,2.2110552763819094,,,,2.7,,,,,,2.0,,4.3130434782608695,,2.3271071678729864,,3.4,,2.673469387755102,,,,3.3883495145631066,,2.1,,,2.646153846153846,2.3,,1.2701754385964912,3.9,2.3773584905660377,,5.7,,2.0,,,,,1.9870129870129871,1.9,,,,1.441340782122905,,1.7,,,,2.0,2.1259458140102514,,,,1.926605504587156,2.3114926419060966,,2002,12
179,1.9,1.5947653429602888,,3.1931818181818183,,1.6,,,,,,1.6,,4.75,,1.2495014955134596,,2.2,,4.113636363636363,,,,2.73728813559322,,0.8,,,1.1349693251533743,2.3,,0.9734513274336283,5.0,1.315,,3.7,,2.3,,,,,1.4658385093167703,1.7,,,,1.185,,1.2,,,,1.6,1.1527033609352169,,,,1.0526315789473684,1.3769592476489028,,2003,12
191,3.0,1.5875440658049353,,2.9743589743589745,,0.5,,,,,,1.1,,5.10126582278481,,2.4053156146179404,,0.3,,0.5681818181818182,,,,0.5038167938931297,,4.6,,,2.9452054794520546,1.9,,1.5121951219512195,4.764306498545102,1.3843843843843844,,3.8,,2.6315789473684212,,,,,0.8404907975460123,0.4,,,,1.860759493670886,,1.0,,,,3.1,2.3473108477666362,,,,2.3682487725040917,0.943994364212751,,2004,12
203,3.5,1.4356435643564356,,4.462962962962963,,1.8,,,,,,4.6,,8.411764705882353,,3.138657957244656,,0.3525641025641026,22.0,0.9375,,,,0.7757009345794392,,6.413027387120652,,,2.023755656108597,4.0407692307692304,,2.87856071964018,5.55055487053021,1.9204244031830238,,4.081967213114754,,2.832116788321168,,,,,1.34,0.6106666666666667,,,,5.707692307692308,,2.3426395939086295,,,,4.5,2.8633779264214048,,,,2.5378719567177637,1.297644539614561,,2005,12
215,5.9,1.6109467455621302,,8.0,,3.1,,,,,,8.7,,16.72093023255814,,8.780122793553339,,0.5612903225806452,18.8,0.9069767441860465,,,,1.04,,9.359970126960418,,,8.75354609929078,4.693775100401607,,10.078059071729959,6.978260869565218,2.9342105263157894,,9.423076923076923,,3.6,,,,,1.6666666666666667,0.6694677871148459,,,,9.219653179190752,,1.2878411910669976,,,,5.3,8.381110373811104,,,,9.583994708994709,1.7408105560791707,,2006,12
227,13.4,9.968337730870713,,8.615384615384615,,6.6,,,,,,12.1,,18.871794871794872,,16.270240700218817,,4.281818181818182,17.0,13.68,,,23.423076923076923,18.94736842105263,,13.4,,,16.724770642201836,12.216852540272615,21.761904761904763,22.2839248434238,13.4,6.1469194312796205,,6.880434782608695,5.37984496124031,6.5,8.661417322834646,12.481012658227849,,,21.74,11.445652173913043,,,22.736842105263158,17.733333333333334,,,,,,10.7,15.961011904761905,,,,18.86876006441224,8.991080277502478,,2007,12
239,5.6,7.0,,8.20253164556962,,5.7,,,,,,5.424193548387096,,10.306451612903226,,5.6104651162790695,,7.688888888888889,26.0,14.538461538461538,,,6.231770833333333,7.631067961165049,,7.0,,,4.258662369057212,4.253360910031024,4.815789473684211,7.4620081411126185,4.1,5.826923076923077,,8.865168539325843,4.8,5.547169811320755,6.6,8.147826086956522,10.408450704225352,,5.843326885880077,5.785,,,13.392857142857142,6.944444444444445,12.513513513513514,4.7,,,,6.0,5.451054805223797,5.9,5.0688,,5.452224469160768,6.182219205972175,3.8,2008,12
251,3.8,2.727272727272727,9.75,5.47,,3.382838283828383,,,,,,2.778491171749599,,7.666666666666667,,3.544943820224719,,3.791907514450867,6.5,9.0,,,3.747826086956522,5.756756756756757,,5.4,,,3.1203703703703702,3.981448234590066,3.6140350877192984,3.6091405184174623,4.461113898645259,3.625,,6.321951219512195,2.7777777777777777,4.453608247422681,2.4534412955465585,3.9183673469387754,6.56989247311828,,3.9466666666666668,4.3352272727272725,,,7.714285714285714,4.2714776632302405,7.032786885245901,2.9620758483033933,,,,4.2,3.4265115715497396,3.7,3.97072838665759,,3.3373712901271957,3.203826955074875,3.1,2009,12
