,CA,Alameda,Amador,Butte,Calaveras,Contra-Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Kern,Kings,Lake,Lassen,LA,Madera,Marin,Mariposa,Mendocino,Merced,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Tulare,Tuolumne,Ventura,Yolo,Yuba,,Condo,LA Metro,Central Coast,Central Valley,Far North,Inland Empire,SF Bay Area,SoCal,Year,Month
134,33.7,18.692352259559676,,,,18.464985994397757,,,,,69.7,41.079268292682926,,105.5,,34.460024600246,,52.237373737373744,,,,,,71.63333333333333,,41.227053140096615,,,33.293785310734464,26.59030303030303,24.657894736842106,68.89444444444445,27.84443541835906,,26.845419847328245,63.71875,,62.28888888888889,,,55.421052631578945,107.11111111111111,67.38,56.35641025641026,24.663194444444443,,,,,37.32727272727273,,,,28.0,32.350295992714024,31.0,,,50.445086705202314,26.199956101843725,44.0,2000,12
146,34.9,24.995069033530573,,,,24.155038759689923,,,25.90892857142857,,56.70454545454545,29.298387096774196,,129.1341463414634,,28.099782490483957,,63.32,,51.3,,,,66.8,,51.25255623721881,,,34.107142857142854,31.618032786885244,41.875,41.89303482587064,38.977598566308245,,46.63478260869565,69.99,,65.69117647058823,,,40.22727272727273,101.875,49.24193548387097,76.13970588235294,40.839285714285715,,,,,47.53112840466926,,,,29.0,37.682887593002214,58.0,,,37.78941176470588,37.269832402234634,42.0,2001,12
158,28.1,23.01994680851064,,,,21.115606936416185,,,22.366295264623954,,33.28947368421053,25.33261802575107,,116.375,,25.052255471192495,,57.385245901639344,,55.65,,,,47.63235294117647,,48.561420345489445,,,29.517738359201775,25.248414376321353,37.041666666666664,29.135761589403973,28.392117568470272,36.2,36.49596774193549,44.71621621621622,,48.607142857142854,,,26.02212389380531,43.083333333333336,43.888888888888886,54.552486187845304,29.109649122807017,,,28.611702127659576,,,,,,30.0,28.51661802853437,40.0,,,29.299052132701423,29.158182583087928,35.0,2002,12
170,26.7,20.735691987513007,,77.675,,21.10227272727273,,,25.07242339832869,,37.0,23.62,,115.53846153846153,,23.391822151647478,,67.6923076923077,98.3,100.66666666666667,,,,72.2258064516129,,44.56683168316832,,,26.12993854258121,23.261096605744125,23.785714285714285,24.38762769580023,26.18072976054732,28.4,26.574175824175825,44.79838709677419,,77.0,,,27.28125,91.0,78.23584905660377,63.05309734513274,48.45918367346938,,,29.155339805825243,48.21875,23.276536312849164,,,,23.6,26.935139627659574,33.0,,,25.370049504950494,28.33247511156883,23.0,2003,12
182,40.3,52.63492063492063,50.9375,79.28260869565217,,47.1639344262295,,,23.789898989898987,,31.0,20.832010582010582,,101.35714285714286,,31.39849290780142,,47.95384615384616,105.5,66.8,,,,54.42307692307692,,65.72570850202429,,,43.94844357976654,23.519028340080972,19.125,33.25242718446602,46.67657142857143,28.4,,33.4622641509434,,55.60606060606061,,,38.565217391304344,49.45454545454545,38.78703703703704,52.342696629213485,,,,22.888535031847134,40.666666666666664,41.666666666666664,,,,31.7,36.76490742090684,28.0,,,39.18952483801296,33.05713190184049,41.0,2004,12
194,42.9,54.153225806451616,64.22222222222223,86.0,,49.66801619433198,,,26.807692307692307,,37.214285714285715,,,112.75,,35.42019667170953,,52.025,68.3,80.33333333333333,,,,63.55882352941177,,61.256962025316454,,,45.937056737588655,37.82766990291262,29.033333333333335,37.484029484029485,54.213615023474176,38.3,,54.5625,,88.24242424242425,,,32.65714285714286,65.83333333333333,54.38709677419355,62.403225806451616,,,,27.425233644859816,50.03125,42.26339285714286,,,,40.1,41.748058944699736,42.0,,,42.39392378990731,39.461316872427986,41.0,2005,12
206,72.1,27.46082949308756,91.0,108.05882352941177,,28.11382113821138,,,65.48453608247422,71.4,74.34,,64.22222222222223,110.33333333333333,,56.738307349665924,,71.15,132.6,117.58333333333333,,105.5,,101.875,,80.27962962962962,,,72.98523985239852,51.57720588235294,80.9375,69.9175,65.21603260869566,42.99382716049383,,91.0,,75.5,,,66.54411764705883,86.375,81.94444444444444,103.325,,78.4,,55.27173913043478,70.66666666666667,67.76666666666667,,69.3,,66.2,62.94193042113523,81.0,,,71.68259023354565,42.33609100310238,65.0,2006,12
218,66.7,43.44690265486726,75.5,121.725,,58.720588235294116,,,62.11538461538461,70.7,67.44444444444444,,96.8,128.5185185185185,,64.1100278551532,,65.46153846153847,128.3,122.11538461538461,,135.5,93.63636363636364,91.0,,89.25367647058823,,,69.8562874251497,53.56417112299465,57.58333333333333,82.34722222222223,65.3108108108108,44.3671875,,85.46875,41.507246376811594,91.90625,36.125,62.45,92.61111111111111,126.17857142857143,87.825,0.0,,75.5,65.83333333333333,73.325,81.3,55.2,,67.4,,59.0,68.6145251396648,79.0,,,73.6192468619247,47.925961538461536,71.0,2007,12
230,46.3,28.17590618336887,91.0,86.04545454545455,,26.655538694992412,,,51.68157894736842,123.1,72.6,,67.04166666666667,117.92857142857143,,46.24742268041237,88.1875,82.8,82.8,82.75,,135.5,37.32051282051282,63.71875,,61.457207207207205,,,42.721556886227546,26.58667883211679,31.0,48.14820359281437,47.29213483146067,50.9375,,50.33333333333333,39.5,64.38333333333334,33.0,57.58333333333333,51.173913043478265,122.31818181818181,50.37394957983193,74.93506493506493,,40.9,61.0,48.627450980392155,79.125,51.0,,28.6,,48.1,47.089385474860336,43.0,36.8,,44.53043912175649,37.4391447368421,45.0,2008,12
242,35.2,21.18181818181818,42.6,124.86666666666666,,21.962857142857143,,80.9375,29.40137614678899,45.5,56.65384615384615,,28.640625,112.75,,28.734522785898537,32.45,96.22,123.1,71.35714285714286,,127.21428571428571,25.693069306930692,52.75,,55.32913165266106,37.09,,29.150950570342204,25.2295,19.78409090909091,28.714471968709258,34.34267912772586,51.21830985915493,21.78887070376432,57.66129032258064,28.579896907216494,51.54166666666667,24.788685524126457,38.595238095238095,49.125,68.25,27.710526315789473,59.16346153846153,22.644927536231883,31.0,68.25,24.57262569832402,52.09090909090909,45.8625,26.879746835443036,29.7,,38.2,34.28422362626843,33.0,25.9,,28.990153698366953,26.70049884881044,31.0,2009,12
