,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2014,40870895,4150180,10973630,4119716,1704731,2748378,799036.0,1949341.0,1821553,2246860,1032747,480109,4938362,857223,4081139,2643844,1328217,450117,865510,2188831,92568,2096263,846661,114253,732407,975294
2015,35039174,3843059,5371086,4017093,1586092,2600349,748361.0,1851988.0,1766511,2343638,1091691,537615,5047036,875993,4171043,2600004,1255910,448028,896066,2307968,81798,2226170,936202,112464,823738,990829
2016,33621368,4045040,4378716,4085519,1458008,2227612,687126.0,1540485.0,1584549,2412595,1065605,533012,4849367,810984,4038383,2593391,1162729,452973,977689,2421111,86025,2335085,1007854,125331,882522,958989
2017,36295793,4326942,5841291,4181028,1536836,2474984,680889.0,1794095.0,1532256,2487703,1185300,565442,4971753,817358,4154395,2691370,1149137,579515,962718,2551573,86580,2464993,1037705,128666,909040,911608
2018,37770511,4228711,5441610,4230265,1704071,3245998,700237.0,2545761.0,1657674,2588012,1448513,604173,5134353,830670,4303682,2858337,1211029,581207,1066102,2683891,93978,2589913,1090076,127397,962679,854827
2019,38162836,4120914,4827700,4079712,1945706,3278256,771632.0,2506624.0,1732893,2797218,1548016,589840,5220847,798608,4422239,3096650,1286240,586597,1223813,2931610,111402,2820208,1151248,128746,1022502,842226
2020,36467663,4146149,3724471,4488708,1836830,2355791,778699.0,1577092.0,1688339,3025739,1640115,536907,5175768,818417,4357350,3037090,1314305,607308,1115477,3087589,95179,2992410,944853,73708,871145,779315
2021,43238619,4306192,6587696,5224296,2012206,2992788,839214.0,2153574.0,1875589,3488195,2173921,575923,5340567,875150,4465417,3246402,1413011,625331,1208059,3273083,113110,3159974,1277030,114069,1162961,864734
2006,31990151,2216507,11084732,2722313,1711240,2209317,,,1083736,1920429,875359,377706,3318838,642335,2676503,1833356,950955,247164,635236,1341576,45729,1295847,657795,99956,557839,637246
2007,37211117,2953490,13643075,3000646,1701635,2945999,712385.0,2233614.0,1178843,1906770,935351,435258,3693133,602926,3090207,1989440,1011702,258273,719465,1484519,52782,1431736,689081,104011,585071,653876
2008,40599947,1688190,16733098,2942865,1407303,4053154,739097.0,3314057.0,1242805,1849572,1109197,468527,3959822,553292,3406530,2141583,1139613,264974,736996,1638023,62298,1575725,691256,84659,606597,674552
2009,34093115,1581173,11131314,3359081,1158021,2797478,726047.0,2071431.0,1156063,1760096,1289231,441170,4163642,605233,3558409,2131683,1064936,359724,707023,1758587,73273,1685315,659520,90037,569483,706057
2010,36060487,2580235,11625596,3207611,1088672,2418970,712252.0,1706718.0,1251922,1862623,1691273,460979,4411929,631935,3779994,2259640,1129091,379952,750597,1813131,82806,1730325,645050,86744,558305,742857
2011,37934485,3011640,13121407,2569890,1260088,2305513,788862.0,1516651.0,1430616,1866527,1524787,460794,4603555,727800,3875755,2409742,1187145,406267,816330,1942259,92725,1849534,678063,86360,591703,749606
2012,40315563,3377392,13780466,3164703,1497196,2438143,758504.0,1679639.0,1534826,1994570,1171023,459752,4695534,760018,3935517,2594865,1312535,414428,867902,2061397,98803,1962594,730898,94990,635908,814798
2013,40812763,3974854,12504383,3670315,1617417,2595357,802654.0,1792703.0,1672618,2152606,978860,492548,4801875,790042,4011833,2575917,1311237,445537,819144,2122757,91278,2031478,772383,99962,672421,880873
2001,15570169,565033,3346541,816851,806735,1056679,464386.0,592293.0,665768,1329208,696373,277531,2800345,441515,2358830,1257002,629521,253542,373938,984585,43769,940815,508753,46262,462492,458765
2002,17598574,1532075,3257024,1443067,849470,1032671,463327.0,569344.0,681297,1386670,730016,297989,2938993,484187,2454806,1331815,669168,258304,404343,1069574,47658,1021917,549620,49382,500238,498292
2003,19260278,1110268,3874787,2006122,939070,1393586,,,722192,1494777,794755,317358,2967897,560519,2407378,1420410,726441,248849,445120,1138374,54323,1084050,586348,55826,530521,494334
2004,22673222,2261642,5141014,2432602,1157716,1521973,614141.0,907832.0,785626,1605318,676317,332502,2957947,567610,2390337,1469932,763256,229910,476767,1226266,61592,1164674,580772,61279,519492,523595
2005,26752621,2486232,7690535,2292401,1440600,1815037,,,909528,1746700,754678,340630,3139868,594904,2544964,1661203,824408,231226,605570,1272893,61486,1211407,622471,90469,532002,579845
