,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2014,30813663,4738915,432641,775513,1303759,2543243,825938.0,1717305.0,2307358,2507813,995283,1060384.0,5909173,1423628,4485546,2439751,1229052,293306,917393,3758253,201653,3556600,1122046,153001,969045,919531.0
2015,31865127,4552574,221297,701212,1489540,2857304,901979.0,1955325.0,2491494,2677876,1049439,1121560.0,6004039,1522714,4481325,2521951,1252985,291784,977182,3991909,193089,3798820,1226861,163048,1063813,958070.0
2016,32975705,4455117,217428,1000972,1657191,2850078,939762.0,1910316.0,2438609,2770987,1111096,1093815.0,6119614,1476409,4643204,2641225,1286828,295375,1059022,4318324,214994,4103329,1319016,176211,1142805,982234.0
2017,34842234,4754387,311614,1449992,1792503,2986630,1029742.0,1956888.0,2491827,2854620,1200624,1085814.0,6280830,1541004,4739826,2753416,1330139,303189,1120089,4506280,200783,4305496,1374028,184661,1189367,999669.0
2018,36212755,4646611,299876,1255920,1958348,2991264,1131498.0,1859766.0,2639115,2949053,1390706,1074376.0,6764404,1665900,5098503,2935933,1395534,302775,1237624,4769817,208640,4561177,1459320,203169,1256151,1078012.0
2019,37948833,4014442,244067,1470256,2212942,3212307,1156106.0,2056201.0,2837276,3053957,1557630,,7180927,1713577,5467350,3213303,1477220,416327,1319756,5104294,221917,4882378,1577190,201338,1375852,
2020,38158427,4298838,208428,1112580,2385881,3210438,1156747.0,2053691.0,2838706,3260427,1689056,1140230.0,7268915,1694436,5574479,3146234,1511093,375065,1260076,5320726,205330,5115397,1217733,100015,1117719,1060235.0
2021,41343632,3846958,380952,1089525,2619065,3416291,1262802.0,2153489.0,3218453,3752283,1982892,1217113.0,7613878,1761085,5852793,3511558,1638878,438421,1434259,5870945,226726,5644219,1637630,164869,1472761,1186089.0
2006,25480209,3510056,335009,746882,1986239,2589065,1063155.0,1525910.0,1615466,2526094,876763,692478.0,4470565,1146340,3324225,2092544,1052128,279924,760492,2319111,139236,2179874,868582,121559,747023,851356.0
2007,25859829,3240334,417785,499000,1882109,2704311,1076447.0,1627865.0,1725507,2476587,898242,732146.0,4818863,1158092,3660771,2236781,1101605,300102,835074,2509935,151324,2358611,862565,114517,748048,855666.0
2008,25238141,2187376,543854,588383,1597123,2702930,,,1737159,2296596,896541,807280.0,4950535,1055055,3895479,2479447,1322532,290642,866273,2811179,175723,2635456,861756,108330,753426,777982.0
2009,25714711,3101747,411723,762094,1189730,2558456,823160.0,1735297.0,1602087,2239186,844167,756217.0,5397367,1154223,4243144,2293182,1194775,264848,833560,3008655,197143,2811512,794192,104518,689674,755908.0
2010,26666540,3586817,413157,938405,1048449,2303681,769770.0,1533911.0,1759298,2303851,917069,839675.0,5629353,1250203,4379150,2289310,1218371,246114,824825,3087133,214511,2872622,802341,102975,699365,748002.0
2011,28107318,4197362,486869,1083189,993458,2232253,794317.0,1437937.0,1995182,2272182,979761,874855.0,5829229,1315201,4514028,2254144,1137693,259755,856696,3218384,232631,2985753,871328,110839,760488,819120.0
2012,27711824,3695316,517478,750703,1013019,2295395,767508.0,1527887.0,2035746,2333096,955210,924391.0,5688091,1277609,4410482,2315469,1144377,267782,903311,3385135,235583,3149552,953618,127633,825986,849158.0
2013,29618824,4574200,465609,721519,1228260,2423472,825350.0,1598122.0,2123334,2435397,977982,1030374.0,5793352,1288378,4504974,2379913,1158912,288565,932436,3577606,208500,3369106,1009023,138498,870525,878783.0
2001,17242836,1478469,101174,290762,953374,1961417,843446.0,1117971.0,1134005,1932719,567045,538576.0,3722911,858274,2864636,1458150,710088,305431,442631,1677036,86850,1590186,696452,82282,614170,730747.0
2002,18935817,2113618,94775,514944,997184,1941502,841824.0,1099678.0,1141275,2023524,577305,584513.0,3891571,902407,2989163,1627003,791642,341222,494139,1866025,92749,1773276,765921,92643,673278,796658.0
2003,20786366,3090793,105246,506864,1191578,2056371,,,1233047,2192039,629633,592915.0,3920827,966401,2954425,1741387,836049,345636,559702,1990779,108180,1882599,767703,103237,664466,767185.0
2004,22203926,3514479,141989,484386,1475554,2109132,,,1279808,2297712,712835,682044.0,3908985,905576,3003409,1891158,910996,338065,642098,2134239,126810,2007429,797616,108366,689250,773989.0
2005,23380999,3245136,220945,687474,1742072,2254787,948165.0,1306621.0,1432658,2409559,774333,707158.0,4117725,1004361,3113364,1977598,984818,281773,711006,2202893,128848,2074045,804170,118174,685995,804491.0
