,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2014,552835,50976.0,0,26899.0,15640.0,2025.0,895.0,1130.0,14344,51295,7306.0,16320,138037,13922,124115,120681.0,11289.0,,,63936,6096.0,57839.0,21007,1913.0,19094.0,24369
2015,577845,49694.0,0,29282.0,15541.0,2407.0,,,17128,55188,8750.0,22803,142832,14299,128533,119290.0,,,7984.0,65361,,,22966,1656.0,21310.0,26604
2016,585844,41439.0,0,28476.0,20824.0,2070.0,682.0,1388.0,17548,55804,10338.0,29039,149060,14900,134160,123142.0,,,6368.0,65626,,,23368,1885.0,21483.0,19109
2017,472363,38411.0,0,33578.0,22687.0,1406.0,509.0,897.0,17467,56437,,33558,137721,13337,124384,,,,7642.0,66799,,,21685,,,15111
2018,499020,38926.0,0,33544.0,24136.0,959.0,519.0,440.0,18427,57920,,31677,154850,13500,141350,,,,8478.0,70033,,,21273,1017.0,20256.0,16231
2019,499239,34849.0,0,37540.0,23143.0,1262.0,577.0,685.0,18772,58973,,29172,149825,13675,136151,,,,9851.0,70695,,,26673,6093.0,20580.0,17536
2020,504207,54467.0,0,34452.0,,,,501.0,18421,60297,,22799,145459,14515,130943,,,,11008.0,72025,,,23129,6849.0,16281.0,18208
2021,558515,80778.0,0,35916.0,,,,492.0,21486,67944,8836.0,19267,152316,16192,136124,24601.0,,,12547.0,74932,,,29106,8869.0,20237.0,19740
2006,398653,46913.0,2345,25600.0,24060.0,2628.0,1485.0,1143.0,8524,57409,11738.0,11306,101851,10994,90858,15662.0,9383.0,,,48634,1765.0,46869.0,22966,858.0,22108.0,19016
2007,410925,44382.0,3463,19236.0,25531.0,1995.0,1536.0,459.0,8330,57633,11532.0,12272,117372,10941,106430,16050.0,9624.0,0.0,6426.0,51898,1820.0,50078.0,22331,1260.0,21071.0,18900
2008,502657,124434.0,2919,24050.0,21257.0,9459.0,962.0,8497.0,8234,53692,9938.0,12439,121870,11641,110229,16807.0,10145.0,0.0,6662.0,57449,2116.0,55333.0,21572,1050.0,20522.0,18538
2009,433700,43366.0,1026,23959.0,25099.0,5132.0,985.0,4148.0,7510,51652,7826.0,10318,145345,11644,133701,15474.0,,,6610.0,59937,2467.0,57470.0,18925,1477.0,17448.0,18132
2010,528201,39478.0,769,24450.0,31440.0,3309.0,996.0,2313.0,9274,50594,6096.0,10412,154234,11563,142671,99495.0,,,8679.0,60991,2325.0,58666.0,19979,1351.0,18628.0,17682
2011,480746,78809.0,421,34594.0,27953.0,3150.0,1695.0,1454.0,12142,48226,6777.0,9709,140960,11804,129156,17677.0,,,8357.0,64376,5613.0,58763.0,20782,1755.0,19027.0,15172
2012,520626,66910.0,326,29269.0,20080.0,2280.0,1568.0,712.0,12265,47465,6499.0,9180,121374,12305,109068,109085.0,,,7616.0,61668,7446.0,54222.0,20180,2038.0,18142.0,14047
2013,542716,51391.0,112,29525.0,17538.0,2635.0,1716.0,919.0,12359,50056,6104.0,12974,132725,13203,119522,131480.0,12384.0,,,61873,5530.0,56343.0,18891,1802.0,17089.0,15054
2001,314504,12970.0,3046,12826.0,20389.0,15691.0,,,9810,47676,7169.0,10001,90764,9550,81214,14470.0,7965.0,,,35110,1035.0,34075.0,18411,495.0,17916.0,16172
2002,362843,12741.0,4561,,,,,,10016,50370,9955.0,11569,99670,10759,88911,,8262.0,0.0,,40849,1366.0,39483.0,22468,647.0,21821.0,18465
2003,378224,16925.0,1408,26461.0,26906.0,17190.0,,,10346,51745,11446.0,12885,99616,11493,88123,16583.0,10627.0,0.0,5956.0,44589,1662.0,42927.0,24540,798.0,23742.0,17583
2004,369384,,1287,21244.0,24512.0,,,2214.0,9153,54817,11215.0,15102,96527,9386,87140,15985.0,8193.0,0.0,7792.0,47023,1758.0,45265.0,25196,1084.0,24112.0,18131
2005,370328,25926.0,1565,20932.0,23196.0,4762.0,2262.0,2501.0,8862,57093,11090.0,11462,100110,9328,90782,15852.0,9324.0,0.0,6528.0,46883,1833.0,45050.0,23776,1723.0,22053.0,18819
