,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2014,2660383,137123,5075,25513,200462,275917,121842.0,154075.0,119379,321960,44767.0,39246.0,586086,86404,499682,288491,86139,117129,85222,308545,19562,288984,202834,33361,169473,104987.0
2015,2768325,108901,4873,27176,197956,310442,140278.0,170164.0,123841,348327,48935.0,43635.0,603996,90342,513654,302055,87890,118383,95782,316502,11689,304813,220201,31204,188997,111484.0
2016,2779486,111260,5139,29168,187822,298432,156604.0,141828.0,127125,358247,54741.0,50081.0,559204,85340,473864,316167,88732,123599,103836,335921,13307,322614,232079,31582,200497,114100.0
2017,3024260,104176,6836,31976,206008,311383,175557.0,135826.0,137582,369941,61276.0,54373.0,707818,85508,622310,337009,95454,131955,109600,340039,14302,325737,239585,32255,207330,116260.0
2018,3111864,154167,6067,31636,224017,318168,174421.0,143746.0,131764,383849,64714.0,62407.0,651267,92804,558463,352745,97093,136150,119502,356635,13073,343562,256294,35401,220893,118136.0
2019,3197433,145186,4581,37239,228976,308862,171928.0,136934.0,138153,389251,,,698825,89269,609556,360797,96174,138197,126425,377128,14826,362303,268691,38721,229970,
2020,3208068,164964,5070,41115,207131,318772,171405.0,147366.0,141238,387389,93813.0,45374.0,735804,90520,645284,378873,92898,151908,134068,382271,12267,370004,200777,33856,166921,105476.0
2021,3500672,147630,5779,40389,221432,374032,214495.0,159537.0,168663,425206,103973.0,49859.0,754779,97630,657149,414928,104231,158831,151865,410420,13167,397252,267750,45162,222588,115833.0
2006,2209795,63871,5191,18098,187409,250069,111162.0,138907.0,84656,359509,51251.0,45456.0,532660,133389,399271,155539,80546,12465,62528,213805,11939,201866,139625,18714,120911,102656.0
2007,2241797,62192,5241,19168,191331,245302,,,89289,345858,51513.0,49972.0,532413,82435,449978,171973,89670,13482,68821,227536,14317,213219,148126,24122,124004,101884.0
2008,2354240,69709,5096,27169,184111,243296,102557.0,140740.0,90513,304058,52010.0,48066.0,566451,105940,460511,265177,106924,88358,69894,248288,15901,232387,155505,24727,130778,94792.0
2009,2432674,39918,3974,23581,227762,270537,93757.0,176779.0,75760,300505,48148.0,40921.0,636386,149999,486387,270926,103421,102109,65395,255008,16020,238987,142318,25443,116875,96931.0
2010,2599306,57839,3244,24687,318619,256025,94715.0,161310.0,82303,302720,48862.0,46338.0,663564,120643,542922,282162,106747,99773,75642,260496,13156,247340,150188,32231,117957,102258.0
2011,2473143,52499,3100,27939,278222,279812,112925.0,166887.0,91317,311979,45420.0,42872.0,614336,94555,519781,203352,110958,15895,76499,276751,15442,261309,147702,21604,126099,97843.0
2012,2480853,132928,2932,23093,217586,238095,97869.0,140226.0,93016,310406,45058.0,38703.0,557519,86034,471484,289283,104920,106058,78305,276035,17180,258855,157694,20052,137642,98505.0
2013,2563252,135024,2827,26343,206691,257628,113062.0,144566.0,103222,324158,42514.0,38438.0,560141,82014,478127,296951,97431,125352,74168,298890,16716,282174,173605,21745,151860,96821.0
2001,1856702,74996,910,12133,168980,269603,134477.0,135126.0,48818,311876,44827.0,40185.0,372080,63853,308227,135019,71799,12322,50897,154898,6080,148818,140668,14830,125838,81710.0
2002,1966775,60222,1055,14871,177341,279433,129843.0,149590.0,51985,326656,44684.0,36434.0,412461,73319,339142,141909,78620,10624,52665,176540,6737,169804,152700,17906,134794,90484.0
2003,1995172,64438,1525,16906,179516,262867,121716.0,141152.0,55202,335321,44716.0,40718.0,426610,81509,345101,141328,74265,11760,55302,187443,7122,180321,151031,17352,133679,87551.0
2004,1971947,64467,4496,16938,173741,241576,111849.0,129727.0,57764,334279,47748.0,44480.0,422267,59895,362372,142298,71284,11303,59710,202451,9470,192981,130893,16396,114496,88551.0
2005,2036637,62172,3276,16128,169516,236548,114983.0,121566.0,76730,345739,48263.0,44199.0,455785,76970,378815,143850,73067,11120,59663,212228,10248,201980,127196,16483,110713,95006.0
