,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2014,5733042,97221,36071,710175,264052,271713,233669.0,38044.0,227740,617327,126730,138386,1379608,341043,1038566,551799,242294,142291,167214,879090,48202,830887,242113,45144,196969,191016
2015,5909874,103297,26278,676266,294758,298973,243856.0,55117.0,257768,659488,136131,141252,1338390,340862,997528,574727,256971,139262,178494,948757,47613,901144,264252,45534,218717,189537
2016,6321267,92052,27910,874381,314365,345685,267325.0,78361.0,243919,678804,137550,137213,1371451,311182,1060269,616078,268723,145744,201611,1010539,53603,956936,278143,49081,229062,193175
2017,6984135,94889,35215,1095352,351904,431472,320925.0,110548.0,246011,697044,137221,128443,1579965,326098,1253867,679934,280436,169339,230158,1032752,51192,981561,278276,50074,228202,195656
2018,6867310,108979,46796,899218,368013,449878,331006.0,118872.0,250595,714734,142925,134456,1459659,349487,1110172,733068,296003,175057,262008,1059905,52299,1007606,284806,51719,233087,214278
2019,7490968,110420,48798,1087248,467007,482348,357082.0,125266.0,269962,782378,162846,125301,1541202,351518,1189684,770994,304716,185809,280468,1124278,56132,1068146,297992,54246,243746,220195
2020,7403376,116169,49993,943971,480678,499659,384704.0,114955.0,275177,810647,168926,126960,1571059,381494,1189565,721381,306821,196339,218221,1164416,52914,1111503,262667,34901,227766,211674
2021,7961344,137974,54801,882847,501874,638163,506105.0,132059.0,309748,908162,191075,132857,1590344,404928,1185416,808380,330102,224644,253634,1226076,56054,1170022,344144,48686,295458,234900
2006,5298158,44545,35853,864001,419132,239091,201334.0,37757.0,171629,633993,223891,103926,954600,204025,750576,533810,262982,106685,164143,632422,31158,601263,245698,36204,209494,195567
2007,5191457,43024,39330,679356,400841,233216,200029.0,33187.0,197814,609252,273493,118287,954219,199483,754737,550934,272115,113423,165395,660541,30055,630486,237552,40242,197310,193598
2008,5038511,42409,33906,610138,324180,220465,187918.0,32547.0,191011,558362,268064,101990,1043068,183540,859528,530371,275122,112275,142974,702266,31163,671103,234048,39408,194641,178232
2009,5189269,62851,42911,656295,298154,205658,163159.0,42500.0,158777,532755,228845,93288,1281876,208530,1073346,492079,217971,122294,151814,756408,32639,723769,202895,38248,164648,176478
2010,5403200,100745,25045,773466,321753,211327,175179.0,36148.0,179097,541245,200689,110323,1294836,217560,1077276,477199,212872,118215,146112,792699,33608,759091,201739,38870,162869,173037
2011,5599382,91733,28417,966336,288931,219676,184135.0,35541.0,186076,545862,204908,108468,1274667,231099,1043569,491139,219523,125292,146324,814761,38536,776224,205891,36853,169038,172517
2012,5415944,115300,21685,786408,235581,212753,181807.0,30946.0,190090,555928,199766,116572,1261813,251612,1010201,486452,214856,124797,146800,831562,38312,793249,220327,43285,177042,181707
2013,5518864,89119,19079,816873,260166,253639,218752.0,34887.0,214645,599149,124261,135666,1218347,267363,950985,527848,231092,149715,147042,848747,39830,808917,227512,43135,184376,183812
2001,4003601,31474,21274,419439,284726,215537,150154.0,65383.0,104082,487251,183842,85235,830742,142899,687843,415163,183959,130232,100972,523233,30243,492990,238628,32597,206031,162975
2002,4560399,36987,22438,707725,308387,216134,,,100712,527204,182390,85920,906877,161876,745001,439285,210421,123192,105672,580413,33897,546516,265815,35902,229914,180111
2003,4788729,41435,25699,775875,337263,221609,181973.0,39635.0,117032,563373,185132,88396,930254,192640,737614,444836,214137,119939,110760,586677,32356,554321,295734,35678,260056,175414
2004,4809693,37806,19600,734610,347653,221954,184872.0,37082.0,126541,595442,186774,102345,904993,174131,730862,461070,222435,114192,124443,605599,30904,574695,282979,32866,250113,182326
2005,4840979,34679,26004,625619,369648,234998,202566.0,32432.0,143391,615043,203224,101386,939334,184577,754758,512584,247763,113291,151530,605418,29964,575454,241691,33433,208259,187961
