,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2012,413024,59026.0,2228.0,,18554,9337,,,,50878,6705,8878,111760,10443,101317,18205.0,11568.0,,,75678,1573.0,74106.0,31021,2672.0,28348.0,14948
2013,419025,45204.0,2484.0,,22843,10689,,,,53025,7021,8532,120797,10879,109917,19019.0,12236.0,,,78942,1629.0,77312.0,30197,,,14855
2014,425826,55425.0,0.0,,19175,10305,,,,53597,6022,7332,124476,12168,112308,19031.0,12005.0,,,77319,1778.0,75541.0,32893,,,14486
2015,428621,,,,20095,11328,,,,56520,5821,8982,128909,12043,116866,18451.0,12314.0,,,80891,470.0,80420.0,36719,,,14159
2016,450495,37776.0,0.0,,20976,12531,3393.0,9138.0,,57411,6419,9767,135423,14605,120818,21631.0,14076.0,,,86218,,,42293,,,14535
2017,461808,35562.0,0.0,,25388,14289,3294.0,10995.0,,61188,5840,10913,123117,9956,113161,24188.0,15516.0,,,94043,,,46068,4942.0,41126.0,16006
2018,491595,35969.0,0.0,,27408,14452,3059.0,11393.0,,64311,5730,10263,140893,11586,129308,23217.0,14129.0,,,99016,,,48345,5205.0,43140.0,16459
2019,504155,36516.0,0.0,,24926,17279,3039.0,14240.0,,67293,5693,11326,139697,12188,127509,23196.0,13793.0,,,104346,,,50934,5610.0,45325.0,17143
2020,500725,41007.0,0.0,,24829,16782,2741.0,14041.0,,74288,4517,10716,137586,12419,125167,21981.0,12839.0,,,110425,362.0,110063.0,36509,4611.0,31898.0,16322
2021,552987,43360.0,0.0,,30398,18770,2935.0,15835.0,,83716,5842,11187,144564,13841,130723,24924.0,,,,112947,,,53011,7000.0,46011.0,17669
2002,285134,7776.0,306.0,1247.0,14095,12092,,,,43012,7597,9806,92551,8898,83653,,7510.0,,,43494,543.0,42950.0,25049,1914.0,23135.0,13444
2003,300788,,375.0,,17013,10144,,,,45471,7023,10366,94304,10808,83496,10659.0,7762.0,0.0,2897.0,50760,554.0,50206.0,21237,1857.0,19380.0,13017
2004,322395,,1808.0,,19517,10476,,,,46757,8415,10683,88777,7975,80802,11369.0,8555.0,0.0,2813.0,54434,541.0,53892.0,22477,1568.0,20909.0,13557
2005,340768,,2353.0,,21956,12422,,,,49221,9481,11532,90659,7988,82670,10980.0,8193.0,0.0,2787.0,58134,469.0,57665.0,24003,1422.0,22581.0,13841
2006,434552,38904.0,1282.0,,22721,12344,,,,51962,10148,10424,93849,10324,83525,79071.0,8325.0,67627.0,3119.0,62841,775.0,62066.0,27813,,,14337
2007,455168,30195.0,609.0,1815.0,23115,11167,,,,53139,9281,10562,109672,10282,99390,,9707.0,,,68914,1072.0,67842.0,28228,1103.0,27125.0,14775
2008,509783,41115.0,3568.0,,18023,48604,,,,51024,8128,10255,111757,9629,102128,90083.0,10934.0,,,73881,1426.0,72455.0,32490,833.0,31657.0,14472
2009,414677,26219.0,5912.0,,18850,20751,,,,50892,6686,9902,132672,10101,122572,16277.0,10571.0,,,78287,1618.0,76669.0,27954,1114.0,26840.0,14283
2010,428113,35920.0,3564.0,,22137,14099,,,,52379,7293,10511,140609,9687,130922,16776.0,10304.0,,,78477,1669.0,76809.0,26844,1140.0,25704.0,13761
2011,428232,46979.0,341.0,,21476,10768,,,,52778,8250,10276,129680,10362,119318,21035.0,,,8271.0,78467,1610.0,76858.0,27501,1447.0,26054.0,13996
2001,269648,8025.0,450.0,1178.0,13467,15109,,,,40056,7510,7546,83563,7540,76023,,7054.0,,,43075,519.0,42555.0,23027,1646.0,21381.0,12075
