,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2014,3381050,,12655.0,,450934,199282,177713,21569,,281404,21846.0,78617,1078435,119392,959043,412450,223452,105222,83776,364075,33140,330935,223000,74939,148061,143409
2015,3494815,,6552.0,,466456,201229,178304,22925,,294895,27056.0,83429,1088666,124146,964520,431087,237606,106195,87286,380736,25177,355560,234352,74051,160300,154793
2016,3637200,,7221.0,,463317,215322,194804,20518,,307870,30291.0,85265,1140593,138669,1001924,450207,232793,112165,105249,387865,24220,363645,251263,80254,171009,159309
2017,3766277,,9308.0,,448012,237993,214031,23963,,322771,24536.0,85318,1181103,144702,1036401,474613,241479,118294,114840,394136,21955,372181,262896,85239,177657,169099
2018,3790690,,11876.0,,455974,251350,220076,31274,,340765,29500.0,97670,1114071,159760,954311,500060,257770,123395,118895,409113,23186,385927,270403,87322,183081,178830
2019,3978250,,12296.0,,472795,233103,200651,32452,,352547,32633.0,74810,1202003,155246,1046757,523925,277532,124890,121504,420663,24710,395953,315250,90505,224745,184652
2020,3886710,21055.0,14834.0,42332.0,457365,222113,194231,27882,,358157,,60922,1235069,159201,1075869,528198,270852,134037,123310,426581,29983,396598,233853,56947,176906,174411
2021,4287329,22875.0,,,478242,243134,208363,34771,,404088,37278.0,61640,1314894,179397,1135497,580266,298721,139459,142086,468696,43621,425075,325136,69207,255929,197286
2006,2791417,,18948.0,,397960,213495,196366,17130,,360610,34836.0,53365,751174,135070,616104,282058,186167,6748,89143,260482,17922,242560,150641,43104,107537,127557
2007,2878417,,19559.0,33501.0,435563,225780,208450,17330,63054.0,325280,,61279,817578,131633,685945,299463,200773,6963,91727,275393,19852,255542,148663,51480,97183,119774
2008,2924295,,16293.0,37569.0,363128,223908,202734,21174,58221.0,286079,,58478,875534,119371,756163,394553,233579,80015,80958,299862,20693,279169,150206,55509,94698,111565
2009,3060857,,13358.0,51606.0,367202,231044,213119,17925,49884.0,271120,,49493,1020293,124036,896257,387025,214898,91320,80807,320673,25413,295260,150865,59189,91675,110101
2010,3206351,,9823.0,58051.0,418205,221606,204794,16813,54684.0,269926,,57354,1064683,121649,943035,388664,214807,91120,82736,326587,28405,298183,178915,71047,107869,116724
2011,3291648,,12380.0,62079.0,422404,228427,211223,17204,64289.0,266496,,57353,1103573,123456,980117,397950,221900,92082,83968,336643,29645,306998,186276,66904,119372,115245
2012,3285787,,11512.0,49065.0,391601,235555,215278,20277,75593.0,272895,,66445,1091219,121640,969579,403788,228006,92938,82844,342552,30866,311686,187973,59906,128067,120798
2013,3444707,,10290.0,40530.0,407131,201692,182430,19262,,278182,,79236,1211896,118345,1093552,408337,217257,114041,77039,354867,28858,326009,201915,73389,128526,125962
2001,2216708,21138.0,10884.0,18872.0,305753,169621,148189,21432,47938.0,316894,27244.0,27218,617428,122412,495015,218967,144644,3558,70765,186538,11851,174686,146017,34272,111745,102197
2002,2406201,,10637.0,39995.0,320281,167719,150684,17035,50930.0,333451,,31492,679705,143831,535874,230887,148226,3565,79096,210179,13174,197005,169819,39544,130275,115502
2003,2440852,,10586.0,43365.0,321457,178067,162833,15233,50591.0,335942,,32411,678223,144645,533578,237318,152179,3943,81196,223809,16774,207034,172954,39322,133631,110497
2004,2480622,,9472.0,,343612,183299,166867,16432,,322161,28916.0,36614,693068,124080,568988,240015,157642,6033,76340,241620,18971,222649,155773,40345,115428,115072
2005,2638290,,13926.0,40856.0,379612,210968,194144,16824,59412.0,339298,,43373,729731,115566,614165,251634,166161,6117,79355,245858,17447,228411,151351,41522,109829,122776
