,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2014,727768,23308.0,1885,,35868,11164.0,1612.0,9552.0,,40354,4997.0,3717,215715,6117.0,209598.0,138662,,,17274.0,15146.0,2092.0,13054.0,180043,14234,165809,15255
2015,743594,20745.0,1943,,37479,10752.0,1615.0,9137.0,,41584,5337.0,5555,212506,,,139280,,,15908.0,14729.0,1764.0,12965.0,203322,10959,192362,16970
2016,787035,13354.0,1757,,40382,11011.0,1626.0,9386.0,,44310,2972.0,6454,210203,6040.0,204163.0,145123,,,14595.0,15128.0,1701.0,13427.0,229835,9465,220370,19080
2017,933257,12373.0,2921,,44337,11092.0,1897.0,9195.0,,47551,2817.0,4493,247676,5775.0,241901.0,158395,,,18658.0,15808.0,1774.0,14034.0,288779,6457,282322,20478
2018,876586,7446.0,3113,,46374,12858.0,2527.0,10330.0,,47294,2741.0,5890,249429,6614.0,242815.0,163043,,,17872.0,,,,247893,8494,239398,20312
2019,953847,23381.0,2788,,60131,16759.0,4010.0,12749.0,,47341,3008.0,5195,268590,7130.0,261460.0,165676,,,20312.0,17627.0,1879.0,15748.0,258142,11676,246466,21259
2020,870860,21138.0,2516,,59549,15081.0,3365.0,11717.0,,47032,2379.0,4147,269894,8080.0,261814.0,168599,,,17591.0,18876.0,1921.0,16955.0,187387,6534,180854,19729
2021,1029718,31405.0,2315,,62052,17095.0,3708.0,13386.0,,54336,2637.0,4423,279810,9953.0,269857.0,181318,,,22884.0,18846.0,2158.0,16687.0,303191,10777,292414,20701
2006,688306,12072.0,876,51306.0,74954,5150.0,,,,46837,4969.0,2298,197489,10838.0,186651.0,105165,24890.0,,,,,,156587,8549,148038,17055
2007,669858,,1192,36161.0,58608,,,,1364.0,43804,,2657,215217,7038.0,208179.0,107395,23522.0,73099.0,10774.0,12341.0,1040.0,11301.0,155729,10399,145330,16313
2008,687451,,1109,,50976,,,,,40525,5360.0,2925,219438,7822.0,211616.0,106789,22501.0,73842.0,10447.0,12560.0,1116.0,11444.0,164116,6955,157160,16392
2009,678724,,1083,44866.0,52337,,,,,38728,4442.0,2758,209434,11438.0,197996.0,117012,18539.0,85862.0,12611.0,,,,155557,6771,148786,16254
2010,728089,,1129,,61379,6426.0,956.0,5470.0,,39374,4245.0,3302,227702,10746.0,216956.0,117211,18101.0,83727.0,15383.0,14512.0,1610.0,12902.0,155986,9444,146542,16337
2011,752355,,1356,,50007,6523.0,846.0,5677.0,,37233,4699.0,3289,221305,9205.0,212100.0,128315,18031.0,91368.0,18916.0,15513.0,1570.0,13943.0,171727,8814,162913,15901
2012,706960,,1516,,36582,9023.0,636.0,8387.0,,37575,4600.0,3016,218526,8885.0,209641.0,124395,17965.0,91412.0,15018.0,16049.0,1776.0,14273.0,151176,8790,142387,15278
2013,725275,,1683,,36692,10014.0,960.0,9054.0,,41378,4925.0,2402,223098,8684.0,214415.0,144657,19402.0,109770.0,15485.0,15519.0,1996.0,13522.0,162361,9433,152928,14283
2001,512184,,480,,35081,,,,,47712,1914.0,3361,135626,6609.0,129017.0,116356,18583.0,,,9312.0,,,117820,4092,113729,11587
2002,572980,,411,38103.0,35989,4814.0,1574.0,3240.0,3939.0,50904,,2945,158376,8126.0,150250.0,110871,20517.0,,,,,,134422,4486,129936,13740
2003,616116,13418.0,507,35970.0,47644,4068.0,,,3387.0,50350,,3833,178412,9147.0,169265.0,108029,21569.0,,,,,,146824,5663,141161,12814
2004,609229,11090.0,582,13137.0,54130,3904.0,1006.0,2898.0,2423.0,47691,,2929,189299,7184.0,182115.0,109198,21755.0,,,,,,148586,7764,140821,13771
2005,707390,8360.0,719,39766.0,80321,4439.0,,,1911.0,45202,,2825,209817,6692.0,203125.0,109114,24700.0,,,,,,174579,8978,165601,16006
