,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2014,1393821,,17122,,87000,75444,56036.0,19408.0,,91561,42852.0,40076.0,359419,25367,334053,180274.0,45373.0,103343.0,31559.0,198782.0,8541.0,190241.0,44797,7651,37146,41515.0
2015,1471380,,13604,,130263,88546,65425.0,23121.0,,94119,36012.0,42108.0,358816,25016,333800,192284.0,53834.0,104274.0,34177.0,223727.0,3718.0,220008.0,48098,7571,40527,43862.0
2016,1647568,105715.0,17840,,146372,102652,72705.0,29947.0,,99462,35504.0,43491.0,353063,23650,329413,207399.0,,,41027.0,240451.0,4742.0,235709.0,53906,8404,45502,46037.0
2017,1871406,100632.0,29034,,165145,114917,81427.0,33490.0,,108580,36682.0,46313.0,356781,24042,332739,221728.0,,,47025.0,275084.0,5866.0,269218.0,54179,8860,45318,47485.0
2018,1933481,105209.0,37085,202713.0,184104,113852,81671.0,32181.0,,119051,,54796.0,402605,25953,376652,,,,47716.0,,,,59051,11091,47960,51222.0
2019,2065880,72432.0,37237,,209573,123327,87230.0,36098.0,,117548,39817.0,63921.0,400951,26826,374125,,,,53152.0,328303.0,,,60147,9326,50821,52575.0
2020,1950809,80523.0,43328,,146494,121831,86856.0,34975.0,,126751,42734.0,62519.0,406602,24964,381637,274980.0,67361.0,149630.0,57989.0,343588.0,,,51134,6011,45122,52578.0
2021,2031038,39594.0,52686,138669.0,172591,133383,97933.0,35450.0,,143784,48700.0,,427037,24579,402458,297096.0,74887.0,163001.0,59209.0,348169.0,1589.0,346580.0,71255,9393,61862,
2006,1211177,82793.0,28580,,98234,61774,48117.0,13656.0,,99001,37048.0,27242.0,245373,24269,221103,142626.0,49773.0,,,120665.0,,,32506,5532,26974,36332.0
2007,1146101,,34824,,107252,68948,56545.0,12403.0,,89962,37404.0,33104.0,283303,24712,258591,83374.0,51757.0,1932.0,29686.0,139555.0,4279.0,135276.0,31619,4697,26922,37109.0
2008,1315063,128275.0,34340,,102333,65077,50089.0,14988.0,,86273,33569.0,32022.0,325767,23027,302740,157875.0,50354.0,76094.0,31427.0,161192.0,,,35581,5805,29777,35946.0
2009,1394114,180031.0,31258,,87002,79959,61812.0,18147.0,,83130,31898.0,29051.0,330457,25016,305441,158709.0,38188.0,87890.0,32631.0,163031.0,,,33091,6312,26779,36172.0
2010,1398376,110830.0,26552,,96565,76107,60850.0,15258.0,,80344,33007.0,33766.0,349658,28622,321036,158897.0,38974.0,85108.0,34815.0,166229.0,,,33272,6480,26792,37696.0
2011,1490310,,15896,,85838,59281,49203.0,10078.0,,80084,38124.0,34993.0,351484,28816,322668,169583.0,43094.0,92936.0,33553.0,176061.0,7141.0,168920.0,33854,6187,27667,37557.0
2012,1389648,,15160,,75789,60286,49414.0,10871.0,,82533,41209.0,37715.0,362383,25907,336476,169059.0,40369.0,95298.0,33392.0,183741.0,11785.0,171956.0,37783,6469,31314,35731.0
2013,1488465,,17519,,85648,71309,55311.0,15998.0,,86969,42549.0,39984.0,385707,25093,360614,189481.0,45830.0,113658.0,29993.0,191518.0,10988.0,180530.0,41050,7082,33968,36346.0
2001,810472,,12402,,63120,59679,,,,86261,23117.0,11736.0,206987,30693,176294,70468.0,38658.0,1254.0,30555.0,86520.0,1255.0,85266.0,29750,5663,24087,31832.0
2002,915583,,15187,,52166,66722,43169.0,23553.0,,91229,22813.0,9511.0,221753,22341,199412,75391.0,42822.0,1072.0,31498.0,103171.0,1522.0,101649.0,32823,6589,26233,35232.0
2003,1020714,90965.0,17029,,63056,68735,45311.0,23424.0,,88774,25095.0,11425.0,231519,25950,205568,72599.0,49527.0,,,114351.0,1596.0,112754.0,33498,5873,27625,32971.0
2004,1057524,65380.0,18436,,81680,69148,48132.0,21016.0,,96808,27882.0,18919.0,230578,20415,210163,141600.0,40205.0,,,97405.0,1965.0,95440.0,30818,4971,25847,32991.0
2005,1084575,53632.0,20402,,87033,65745,51481.0,14263.0,,97382,34036.0,23335.0,247804,19409,228395,146351.0,47557.0,,,103750.0,1798.0,101952.0,30895,5360,25535,33837.0
