,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2014,5592899,30918.0,9851,119449.0,486507,209971,142889,67082,163433.0,398370,32854,104691.0,2179816,659618,1520199,763237,417733,114846,230657,529756,32774,496982,378720,117679,261041,185326.0
2015,5912054,38913.0,9345,89892.0,545722,302982,161460,141523,165229.0,425469,35587,132713.0,2251144,717857,1533287,745652,352869,128363,264421,559198,33828,525370,414654,117227,297427,195553.0
2016,6505639,21466.0,9073,263449.0,627196,306138,154061,152077,154534.0,434845,41146,165507.0,2361209,664511,1696698,847202,396934,136718,313550,608502,34983,573520,464376,135942,328434,200998.0
2017,6989416,20266.0,5282,340923.0,676258,302510,151458,151052,149674.0,467540,39686,178657.0,2503774,737484,1766290,936563,422106,146081,368376,634534,33644,600891,521895,145123,376772,211855.0
2018,7403604,21103.0,7352,198935.0,820553,316937,152253,164684,157001.0,487449,42473,191317.0,2764546,806256,1958290,961275,467704,151519,342052,662776,34584,628192,543773,153863,389910,228114.0
2019,7540248,23440.0,8619,320571.0,873343,318109,158463,159646,164451.0,510888,46158,169012.0,2603128,680565,1922562,992408,506279,155355,330774,700323,31027,669296,576944,168156,408788,232855.0
2020,7306533,27290.0,10247,147610.0,822675,295417,161580,133837,162798.0,533428,48015,,2800300,796792,2003508,949518,437307,168623,343588,698995,25824,673170,437258,127909,309349,
2021,7924947,47115.0,10926,136900.0,863646,320936,170208,150728,169558.0,573604,54817,186019.0,2920760,839564,2081196,1085190,494420,170618,420152,743467,28853,714614,580872,168892,411980,231137.0
2006,5016182,29473.0,7029,234916.0,772751,233668,169581,64087,147557.0,421974,51498,92615.0,1404126,320028,1084098,772780,517061,81712,174008,396798,31741,365057,248966,64813,184153,202031.0
2007,5031647,20072.0,11579,111855.0,741540,246351,181859,64492,146660.0,392291,49552,113406.0,1517926,334899,1183027,804955,521111,87407,196436,422795,37826,384969,256742,63178,193564,195922.0
2008,5032791,19309.0,10022,98375.0,634331,230706,171073,59632,152835.0,366142,39915,98170.0,1663997,319646,1344350,821490,537199,79938,204353,451829,27311,424517,266125,65668,200458,179545.0
2009,4977899,10168.0,11667,166750.0,500571,198226,149369,48857,131193.0,340238,35916,81892.0,1848971,391633,1457338,746675,460322,90329,196024,477543,31025,446518,258095,63770,194325,169995.0
2010,5042165,11034.0,7270,227634.0,535447,183312,140196,43116,136408.0,348213,35361,91651.0,1799177,404832,1394345,719867,424956,89266,205645,499195,49579,449616,274586,86319,188267,173009.0
2011,5233245,10768.0,6673,341670.0,459897,185886,140709,45177,152935.0,362341,32300,74951.0,1899834,454962,1444872,719390,411189,105420,202782,527855,57833,470022,291603,95719,195884,167141.0
2012,5149045,,8456,,430900,178854,126361,52493,,372791,29075,79240.0,1951572,509724,1441848,738010,412744,105005,220261,516933,60868,456065,304149,103488,200660,169580.0
2013,5303829,29802.0,7202,145706.0,457328,204695,141298,63396,165441.0,395457,32649,91092.0,1990430,561121,1429310,749816,404935,124508,220372,514720,42660,472060,348074,120253,227821,171417.0
2001,3564172,24116.0,5607,31615.0,536191,189460,140057,49403,109208.0,374622,36874,37303.0,1015036,164837,850199,615432,416192,101940,97300,252983,12263,240720,207333,61136,146196,128393.0
2002,3962392,20083.0,5034,127980.0,556046,175252,125689,49563,123896.0,391995,42008,43225.0,1179189,227963,951225,626058,428310,93662,104086,292254,14720,277533,229819,65639,164180,149555.0
2003,4133098,22330.0,4912,142654.0,585338,196602,139065,57536,124768.0,407938,39331,52771.0,1223646,277516,946130,637455,441564,90668,105223,318003,13167,304836,238645,66732,171913,138704.0
2004,4451462,20194.0,8000,120368.0,709916,198050,138758,59292,126219.0,423527,40301,73947.0,1284729,275548,1009181,688976,450673,90607,147696,346914,16519,330395,251702,67964,183737,158618.0
2005,4701391,21854.0,7918,186837.0,696319,211152,154645,56506,133863.0,425311,45989,82354.0,1394978,301851,1093127,711337,470780,86619,153938,364001,17896,346105,251486,70867,180619,167993.0
