,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2014,17668246,,3364,47960,867472,894972,127331,767642,751074.0,1246517,,926977.0,5301359,1451560,3849799,3580875,2377347,566181,637348,1833878,375334,1458544,1345747,674635,671112,631661.0
2015,18613009,,2357,44956,970939,1518795,137469,1381326,798382.0,1309162,,1084380.0,5144971,1402836,3742135,3582776,2453081,510096,619599,1948863,400782,1548081,1327594,593081,734513,663730.0
2016,20594893,,3062,47741,1063229,2893478,175055,2718423,759152.0,1320179,,1237678.0,5326583,1315779,4010804,3628595,2484588,468608,675399,2053577,427531,1626046,1383577,590318,793260,661346.0
2017,23335011,,9670,123994,1148356,5191276,239849,4951427,695901.0,1362049,,1271876.0,5342253,1377335,3964917,3735460,2512954,524653,697853,2109527,438690,1670837,1435877,605734,830144,666993.0
2018,26427724,,18935,91780,1248827,6889539,290309,6599230,702212.0,1595865,,1449454.0,5818206,1338931,4479275,3937081,2702055,486129,748897,2200717,454084,1746633,1553604,706790,846814,691143.0
2019,29560363,,23075,59260,1303328,9330200,277761,9052439,780218.0,1520270,,1317630.0,6183857,1344177,4839680,4142456,2669355,680226,792876,2271608,474595,1797013,1647578,738540,909038,710795.0
2020,30275617,89322.0,1230,58185,1132765,10448199,259618,10188581,,1529209,,1555298.0,6557174,1518746,5038428,4005022,2612838,650614,741570,2212095,442443,1769653,1189003,628247,560755,644273.0
2021,33039798,124432.0,2390,60316,1213182,10781979,264132,10517847,,1714176,,,7038573,1684000,5354573,4584810,2986372,759942,838496,2417787,467043,1950744,1616440,834607,781834,
2006,14141437,13033.0,58990,27406,868208,228882,126343,102539,547080.0,1300939,108916.0,821869.0,4115056,1596985,2518071,3090543,2108243,437352,544948,1425005,212691,1212314,945563,564629,380933,589946.0
2007,14086130,40781.0,0,24806,949547,212206,110665,101541,554558.0,1244566,90693.0,569551.0,3981816,1369567,2612249,3324683,2239465,475734,609484,1481382,241349,1240033,1044411,632871,411540,567130.0
2008,14500670,16278.0,33775,30567,916906,218323,109588,108735,568419.0,1149995,87806.0,519317.0,4287189,1028791,3258398,3521823,2536564,375301,609959,1591910,263181,1328729,1038516,537049,501467,519845.0
2009,14403996,8464.0,34865,31832,823026,225782,93077,132705,492187.0,1063637,71553.0,536043.0,4790370,1290202,3500168,3205042,2319622,315007,570413,1640045,285233,1354813,968172,511251,456921,512977.0
2010,14665596,,35179,35880,828077,229895,91296,138598,529985.0,1100961,,561971.0,4674355,1194031,3480325,3360811,2413524,332590,614696,1657264,295652,1361613,1021306,579427,441879,537287.0
2011,14998754,,8661,36295,777041,232900,97639,135261,588654.0,1096855,,807782.0,4654105,1223441,3430664,3422125,2402125,395404,624596,1668122,304303,1363819,1027821,573884,453937,540606.0
2012,15792230,,8028,37143,744094,269539,104482,165057,640134.0,1142308,,872438.0,4992640,1367654,3624986,3582714,2495322,416299,671093,1692932,327469,1365463,1077823,555485,522338,575083.0
2013,16675890,,3759,42346,807110,434422,139018,295405,678458.0,1206021,,936757.0,5256213,1417927,3838286,3583744,2501484,440422,641838,1758514,354599,1403915,1219317,615633,603684,589195.0
2001,12383146,48306.0,452,20619,748076,301228,188803,112425,,1161032,,873146.0,3680787,1291903,2388884,2396984,1711984,258417,426583,1047530,157809,889721,974873,502553,472320,472808.0
2002,13244679,,24076,23725,786418,287588,177337,110251,491202.0,1225953,,1092546.0,3887651,1423860,2463791,2429161,1752100,260368,416692,1177806,178508,999298,1077829,563524,514305,522703.0
2003,13707164,,22137,24952,795605,281354,162879,118475,514252.0,1235848,,1190733.0,4081542,1657687,2423855,2542931,1766074,307303,469554,1219552,183044,1036509,1110683,584706,525977,499879.0
2004,13315113,,31432,26396,804766,246311,139409,106902,488163.0,1251119,,482099.0,4111300,1666075,2445226,2805771,1892207,375523,538041,1304970,207597,1097372,1037646,555923,481723,517346.0
2005,13595613,,30133,25824,853976,231895,132783,99112,499299.0,1277946,,654981.0,4098806,1624574,2474232,2938846,2013512,442228,483106,1353465,204660,1148805,926729,536854,389875,550447.0
