,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2014,6969132,,623.0,,185449,1069930,144926,925004,,494104,263216.0,66453,1042469,150790,891679,406771,114192,178803,113776,522104,12759,509345,177612,19067,158545,166228
2015,6784642,1764756.0,539.0,61153.0,214079,1183326,162757,1020569,253201.0,529856,283271.0,70397,1097942,161102,936840,404899,118954,192122,93824,559563,12450,547113,196091,18575,177515,165571
2016,6644383,1507067.0,553.0,53132.0,244063,1117663,179375,938288,273896.0,552665,296210.0,64371,1143101,189567,953534,420458,117089,205369,97999,586623,15933,570690,215214,21917,193297,169367
2017,7305594,,796.0,,281109,1144424,200983,943441,,576235,353703.0,61453,1207671,196058,1011613,451149,119570,217632,113947,629444,15388,614057,225349,24176,201173,173405
2018,7432395,,987.0,,388987,1151643,203900,947743,,591319,398986.0,61344,1256278,211554,1044725,478315,121633,214621,142061,651961,15166,636795,242182,25819,216363,187124
2019,7667091,,514.0,,377498,1258903,209477,1049426,,615859,422987.0,58654,1338979,209134,1129845,498316,137103,203739,157474,698755,17992,680763,264196,27455,236741,196267
2020,7848778,,604.0,,306620,1242669,208185,1034484,,668297,420897.0,50225,1399771,247138,1152633,493054,112724,215814,164517,727270,14763,712507,214517,11539,202978,191954
2021,8518140,1762513.0,,,395654,1310866,223149,1087716,,761052,450599.0,48225,1455538,274127,1181411,507037,122540,224556,159942,776060,15594,760466,274837,19650,255187,216899
2006,5075760,,0.0,,496171,848831,159357,689474,,522530,215267.0,139464,901364,132342,769022,310621,104351,132765,73505,351524,3536,347988,150427,14342,136085,161226
2007,6165142,,0.0,49833.0,375544,922836,183221,739616,184858.0,504640,,149262,934325,129185,805141,324348,113232,120466,90650,374502,4740,369762,142596,15946,126650,160809
2008,5335823,1128258.0,0.0,68019.0,203995,950614,165026,785587,,466750,,134809,926794,116930,809864,335090,118622,129550,86918,401097,4242,396854,144404,16101,128302,156746
2009,5075308,,386.0,46716.0,246054,1009418,111773,897645,204842.0,455909,,120575,1083923,121332,962591,235326,110890,43676,80760,414621,4405,410217,141702,14607,127094,155858
2010,5344326,,433.0,48236.0,166140,814727,100548,714179,236966.0,465138,,117833,1173437,127570,1045867,283922,109732,81629,92561,439459,5214,434245,147342,16025,131317,147992
2011,5900203,1688705.0,697.0,47437.0,152709,766275,119411,646864,268057.0,467973,264646.0,108318,1092960,138646,954315,285872,113342,71418,101112,467516,6290,461225,140052,15253,124799,148987
2012,5937233,1459994.0,783.0,62560.0,190660,844229,109936,734293,282965.0,469249,262163.0,63090,1086460,129893,956567,413907,115490,166564,131853,491086,7184,483902,153151,14319,138832,156937
2013,6333944,1687587.0,598.0,55108.0,183411,935797,134155,801642,285403.0,487044,263129.0,67609,1117981,131934,986047,418891,113946,180270,124675,513965,10033,503932,160916,17758,143158,156504
2001,3585587,,2540.0,,199622,578686,99148,479538,,409376,140997.0,64829,694052,98516,595535,276043,71340,154338,50365,263917,2563,261354,137165,11209,125956,134389
2002,3837305,,2380.0,,215794,606185,93084,513101,,441428,152993.0,110811,757105,112525,644581,284698,78582,153053,53063,295708,2794,292914,145932,12305,133627,149319
2003,4340562,,3144.0,,274373,658211,104047,554165,,462719,160646.0,118386,763706,124746,638960,297069,88520,147887,60662,318109,2804,315304,163705,15542,148163,147410
2004,5055800,,3489.0,,340927,683183,108977,574205,,495129,168485.0,132619,770958,105314,665644,307851,104177,139504,64171,332600,3515,329085,159731,14608,145123,154676
2005,5190833,,0.0,,470289,709971,133358,576614,,511864,186519.0,146115,819134,112270,706864,306318,102852,138427,65039,342011,3535,338476,148045,13936,134109,160643
