,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2014,16999554,,4533.0,,692704,2913299,724517,2188782,,1490963,659610.0,200910,3163688,545828,2617860,1162044,492543,232021,437481,2241726,105038,2136689,590378,84250,506128,432801
2015,17676204,,4155.0,,850123,3292092,752390,2539702,,1598880,700764.0,211999,3227194,566609,2660584,1238693,535571,256690,446431,2412462,89294,2323168,671952,98393,573559,442321
2016,17939529,,3520.0,,895477,3368049,815378,2552670,,1622079,735647.0,224445,3132250,542914,2589335,1312291,555329,258767,498194,2503720,93187,2410534,747814,116530,631285,456541
2017,19232434,,4650.0,,956752,3574165,891275,2682890,,1704264,749313.0,238346,3429640,545896,2883745,1429820,575828,289463,564529,2638630,91366,2547264,790194,119692,670502,475176
2018,20104586,,5348.0,,1044797,3804146,901386,2902760,,1785446,826440.0,257436,3629358,604830,3024528,1491873,601361,284660,605851,2807952,85142,2722810,812356,115841,696515,509746
2019,20839449,,5931.0,,1090251,3843064,862674,2980390,,1876182,934443.0,260509,3829351,609841,3219510,1545869,621476,293522,630871,3022327,86266,2936061,830376,93853,736523,519608
2020,20956103,,4378.0,,1060227,3496292,764385,2731906,,2018306,974176.0,253465,4035034,641020,3394014,1567082,623799,306913,636370,3171905,69021,3102884,661415,54670,606745,490313
2021,23202486,1647098.0,,,1204627,4002344,830999,3171346,,2268866,1091621.0,276758,4273732,690512,3583220,1765371,699810,334595,730965,3400361,72773,3327589,928728,77053,851676,551379
2006,13848204,,9974.0,160991.0,1008001,2542609,804875,1737734,705979.0,1510848,,244703,2490199,449929,2040270,1004280,471928,138071,394280,1357588,40089,1317499,445645,50887,394758,457772
2007,14255983,,7065.0,202938.0,889024,2614716,848020,1766697,746882.0,1422575,,255734,2730076,462791,2267284,1119648,478300,218222,423126,1488300,48237,1440063,431217,49716,381501,445569
2008,13997556,,5737.0,224286.0,712266,2686918,764138,1922780,770243.0,1322221,,237398,2792863,432920,2359943,1138367,476704,227552,434111,1644150,54154,1589996,455730,54707,401023,420963
2009,14434643,,5020.0,243987.0,592922,3016692,631757,2384934,762087.0,1278243,,187845,3176777,464530,2712248,1072785,431537,233633,407615,1806215,63681,1742535,434248,57298,376950,405947
2010,14781906,,4515.0,251530.0,525560,2798962,599203,2199759,837205.0,1329137,,190187,3361085,465731,2895354,1056332,427716,223545,405071,1910854,71938,1838916,440593,61300,379293,408140
2011,15148960,,4551.0,,573776,2757906,708468,2049438,,1344514,615133.0,186598,3297689,497692,2799997,1065636,444281,215964,405391,2002977,82113,1920864,447755,61105,386650,401358
2012,15344087,1383228.0,5812.0,262097.0,575088,2761917,654247,2107670,941828.0,1384208,619002.0,188141,3129684,493054,2636630,1076240,441080,219388,415772,2120068,90274,2029794,486471,67499,418972,410303
2013,15757589,,5842.0,,644771,2697275,682523,2014752,,1479242,631020.0,207275,3175203,491450,2683753,1118452,457737,244870,415845,2148851,98227,2050624,520603,70564,450039,407006
2001,10356277,691165.0,3978.0,53236.0,671261,2101447,593580,1507867,515988.0,1210027,415208.0,205635,1967994,371493,1596501,920218,346560,284424,289234,924132,25654,898478,313444,30092,283352,362547
2002,10967907,657310.0,5615.0,61977.0,682648,2191178,605218,1585960,528018.0,1308544,415045.0,240054,2152629,419979,1732650,949441,378957,273348,297136,1017834,27111,990724,347160,33233,313927,410453
2003,11547307,726161.0,6710.0,67050.0,738454,2174418,661872,1512547,575082.0,1371151,444693.0,241355,2278517,463520,1814996,974835,396900,246789,331146,1158538,31062,1127476,387765,39301,348463,402576
2004,12661695,1393999.0,7599.0,66469.0,862194,2202858,712720,1490137,599711.0,1454428,461889.0,277981,2295349,395948,1899401,932229,430446,157069,344715,1244492,36666,1207826,440246,44738,395508,422250
2005,13319994,1240221.0,7896.0,71416.0,1040547,2289520,741627,1547893,668486.0,1501233,535234.0,261367,2434641,405586,2029056,1076439,463581,234208,378650,1327765,38481,1289283,428528,51813,376715,436700
