,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2014,958835,18771.0,951.0,41453.0,87771,23675,12645,11030,31534.0,64353,15857,18221,363986,25148,338838,154109.0,,,19441.0,50137,1619.0,48518.0,45784,9590,36194,42231
2015,1015820,13144.0,835.0,39323.0,94785,27026,12931,14095,45899.0,71166,15967,22857,368484,25090,343394,163811.0,41136.0,103720.0,18955.0,51012,1386.0,49626.0,55970,15309,40661,45541
2016,1100931,6089.0,1044.0,86368.0,103376,29520,13277,16244,57462.0,78818,18008,25199,364017,26086,337931,177541.0,41034.0,109214.0,27293.0,54026,,,55551,17598,37952,43912
2017,1180978,9647.0,1798.0,166879.0,116599,33441,14507,18934,71395.0,88596,16614,24365,414840,24619,390221,74914.0,,,29543.0,56109,,,61876,20504,41372,43905
2018,1141927,12016.0,1966.0,78335.0,132226,40096,19414,20682,71140.0,95864,17529,24357,424614,27650,396964,72332.0,,,29631.0,59649,3023.0,56625.0,64632,21030,43601,47171
2019,1387753,13269.0,1737.0,155467.0,128221,42855,18261,24594,80364.0,99230,19948,22988,447628,26214,421414,196172.0,,,33878.0,62030,3859.0,58170.0,71008,25740,45268,46837
2020,1318144,12516.0,1752.0,71818.0,121445,40290,16356,23934,71258.0,104254,20636,21040,470210,26094,444117,208302.0,,,34771.0,78272,4121.0,74151.0,52542,17269,35273,43809
2021,1402889,16026.0,1611.0,61776.0,137070,41616,17268,24348,79895.0,119300,27366,21602,482816,28791,454025,214163.0,,,34045.0,84748,4361.0,80387.0,68484,23493,44991,46416
2006,834852,6826.0,0.0,96433.0,137244,31192,14389,16803,17192.0,73639,21865,14024,255579,18664,236915,58726.0,40275.0,,,39445,1037.0,38407.0,37513,10339,27175,45173
2007,836056,5528.0,181.0,38578.0,145098,32473,14950,17523,18233.0,65633,21076,14882,311822,19441,292380,63504.0,43079.0,,,36081,1357.0,34723.0,38933,9037,29896,44036
2008,827527,7254.0,238.0,40179.0,107780,31922,16359,15564,17153.0,58526,17221,15211,347285,18520,328765,63292.0,42420.0,,,42084,,,39358,9518,29840,40026
2009,815487,3718.0,224.0,65144.0,102574,29764,12758,17006,14956.0,55014,13788,15133,339571,21453,318117,54943.0,35997.0,,,43573,1613.0,41960.0,36839,9087,27752,40245
2010,901353,6692.0,1342.0,89078.0,119949,24337,11899,12438,13949.0,59942,14833,16472,370772,22970,347802,56771.0,34366.0,,,44882,1477.0,43406.0,39616,9236,30380,42719
2011,923738,8451.0,1324.0,128963.0,105675,21964,12528,9436,16855.0,61796,15356,17575,364507,24647,339860,54034.0,31880.0,,,43837,,,43863,9700,34163,39537
2012,853405,21824.0,1359.0,55120.0,92630,21238,13096,8142,16224.0,60885,15068,18703,371009,23444,347565,53343.0,31213.0,,,41566,,,44406,9377,35030,40029
2013,835329,14670.0,1162.0,44654.0,87448,22120,13261,8859,23100.0,62453,15071,18634,365186,23009,342177,51235.0,31859.0,,,46748,1615.0,45134.0,43672,9413,34259,39177
2001,717110,6107.0,87.0,,103953,28423,9239,19184,,68121,15140,10385,225210,18748,206462,136067.0,30499.0,,,30406,358.0,30049.0,25736,6092,19644,35430
2002,784620,,,39050.0,108996,28988,9329,19659,12511.0,73184,16256,9944,249985,21281,228703,131386.0,32584.0,,,33928,,,29536,6899,22637,40155
2003,807468,8461.0,73.0,58585.0,115469,27935,9939,17996,12633.0,78808,15306,10685,248019,22329,225690,127053.0,33744.0,,,35786,,,30085,6545,23541,38570
2004,815447,16320.0,0.0,29574.0,127198,29181,11325,17856,13164.0,75985,16191,11494,257302,15229,242073,130146.0,35804.0,,,36460,,,33153,7340,25813,39280
2005,836676,,0.0,,135109,28838,13293,15544,14183.0,76678,18666,12697,278673,16312,262362,,40362.0,0.0,,39710,928.0,38782.0,35323,9483,25840,41726
