,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2014,6409906,281126.0,126549,251801,330971,415726,167894.0,247832.0,276542,704383,86107.0,160128,1519834,295925,1223909,608699,306452,128353,173895,1118205,42663,1075543,270847,35631,235216,258987
2015,6702783,263550.0,32277,246840,373211,466428,178351.0,288077.0,283631,746981,86127.0,174733,1688057,377092,1310966,604040,313327,131415,159297,1169731,25735,1143996,301102,36754,264348,266074
2016,7259578,330494.0,46520,453950,394255,491552,185416.0,306136.0,275212,764991,88398.0,174542,1761632,376391,1385241,620974,295171,137933,187870,1254943,24257,1230686,324083,40517,283566,278034
2017,7762515,321226.0,71508,569998,416921,536793,201650.0,335143.0,274330,837357,89713.0,174171,1833632,390528,1443104,675896,313201,162996,199699,1323947,25171,1298776,349224,43076,306148,287796
2018,7991388,354435.0,80130,393123,529397,552205,214391.0,337814.0,303121,890167,96812.0,184031,1866631,398473,1468158,689583,322676,166442,200465,1369449,30615,1338834,377602,47760,329843,304703
2019,8342469,236338.0,66410,630156,582224,597952,216184.0,381768.0,333806,948250,101784.0,186830,1838169,420978,1417191,744992,344554,172438,228000,1345492,32975,1312517,414992,57716,357275,315075
2020,7924210,288635.0,53697,374667,559090,626391,219010.0,407381.0,333471,962672,105229.0,169990,1783752,409598,1374154,709049,321904,180141,207004,1363084,32361,1330724,311158,35197,275961,283324
2021,8431829,238174.0,187660,290714,552977,687009,253608.0,433401.0,405639,1054486,124213.0,185451,1766581,423435,1343146,778221,363673,183560,230988,1451344,43269,1408075,401096,49655,351441,308264
2006,5694176,161869.0,118634,498674,420893,328084,,,206745,668465,126160.0,127246,1339070,320764,1018306,463955,237821,89227,136906,762749,18184,744565,211554,31719,179835,260079
2007,5758736,207494.0,120665,329641,405116,337380,169541.0,167839.0,241689,618603,124272.0,147979,1461026,339197,1121829,492601,257283,95408,139909,799605,21723,777882,217314,36399,180915,255351
2008,5728603,333911.0,119837,248119,348123,332389,165046.0,167343.0,241183,587145,119877.0,150601,1393217,238941,1154276,507657,275426,92857,139374,873729,23592,850138,222701,34038,188663,250112
2009,5987848,,90195,336705,344093,337697,134868.0,202829.0,222976,579958,,136103,1521786,258295,1263492,501225,254166,110118,136941,912594,25907,886687,205511,30577,174934,245772
2010,6146830,417166.0,78337,397752,377107,327238,132192.0,195046.0,235074,615202,96658.0,135648,1561819,254347,1307472,510283,259266,108297,142719,945060,26176,918885,203868,29942,173926,245619
2011,6239914,397217.0,89719,510536,325052,333698,136210.0,197488.0,259826,616801,93370.0,136060,1483964,253557,1230407,552402,275401,116205,160796,983659,28669,954990,214313,30986,183327,243296
2012,6240041,398630.0,43992,378396,261088,363824,150765.0,213058.0,269327,646371,86894.0,141445,1540241,243167,1297073,587928,299207,115263,173457,1038403,31695,1006707,234740,31519,203221,248763
2013,6433732,469084.0,90411,363971,313317,399568,167825.0,231744.0,265861,689554,84958.0,155616,1509145,252870,1256275,504721,300231,27976,176515,1087427,38645,1048782,250087,32612,217474,250011
2001,4087704,105808.0,12905,132015,262818,290598,160126.0,130472.0,113769,545231,110892.0,92753,1009108,192488,816619,460547,187417,113413,159717,539461,9477,529983,199041,25085,173956,212758
2002,4480286,115647.0,17036,253728,284513,258611,131992.0,126619.0,118843,587730,112782.0,95581,1127755,235457,892298,480999,201834,109635,169531,584543,9332,575211,211382,28184,183197,231135
2003,4805558,184818.0,28692,355995,321242,273050,,,133093,607232,99056.0,106950,1164688,269610,895078,458286,216790,102045,139450,629195,10939,618257,213459,28053,185406,229802
2004,5047761,195422.0,43767,365008,382597,283638,,,161206,628422,107931.0,125864,1177665,265856,911810,442668,210059,100202,132407,682311,14587,667723,210284,27696,182588,240974
2005,5319003,239305.0,102482,319405,431191,295370,,,178902,658284,119613.0,126488,1228931,277277,951654,453223,224804,95353,133066,715435,16140,699295,199196,27217,171979,251180
