,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2015,101417071,93842.0,58650,660448,5266219,13971710,9369740,4601970,8593262,6551085,3414702.0,7258786,19136417,4758421,14377997,19707991,13699406,2851468,3157117,10029858,1245616,8784242,4433408,1441239,2992169,2240693
2016,105959194,91992.0,88974,439552,5874959,14954159,10524901,4429258,8478011,6627623,3687407.0,8352721,19973661,5018211,14955450,19608173,13694206,2542229,3371738,10525253,1317229,9208023,4877802,1611104,3266698,2378907
2017,113741095,107774.0,132227,465313,6609435,17095350,12803797,4291553,8821216,6860196,3884528.0,7962196,22163046,5975310,16187736,20883806,14433843,2750586,3699377,10983700,1348549,9635150,5245299,1749350,3495949,2527009
2018,120350151,84091.0,83565,532919,7386895,17531826,13251609,4280217,9220159,7042744,4264921.0,8842317,23457391,6040056,17417336,22302349,15206181,3149737,3946432,11387666,1405816,9981850,5469138,1742918,3726221,2744168
2019,125364489,91027.0,63835,528485,8044628,18024606,13601716,4422890,9597605,7248259,4587364.0,8851895,24131623,6353604,17778019,23425992,15978238,3297120,4150634,12111221,1462035,10649186,5793096,1844615,3948482,2864852
2020,123635691,80598.0,66506,581135,7384063,19694354,15099972,4594382,9317622,7216548,4084241.0,8738149,24468538,6614656,17853881,23787009,16226852,3599065,3961093,12324504,1315335,11009169,3344249,632291,2711958,2548175
2021,135493771,109165.0,70906,556081,7672344,21957113,17414490,4542622,10571534,8389620,4787672.0,9158947,25320291,6712840,18607451,26247955,18083274,3853545,4311136,13229809,1363627,11866182,4538784,972478,3566305,2883549
2008,75860373,,42179,238851,4402282,10438154,7190928,3247226,6882384,5091563,,4960185,14013830,2892996,11120834,14971572,10125156,2225390,2621025,6972159,828897,6143262,2721045,893457,1827588,1948287
2009,73772821,,47466,245274,4250791,10044196,6728101,3316095,6234007,4498814,,4510460,14944520,3257209,11687311,14086375,9508538,2234189,2343648,7528382,939795,6588586,2557270,880594,1676676,1889601
2010,76958060,,37016,253054,4373539,10256031,6831926,3424105,6655303,4819595,,5385885,14336334,2305941,12030394,14710660,9830723,2371722,2508216,8661907,964395,7697512,2581204,889271,1691933,1828091
2011,79674719,,46251,268012,4193159,10418811,6825769,3593041,7305565,4961783,,5292449,14873986,2500086,12373900,16022382,10518469,3002611,2501302,8479997,1013763,7466233,2849321,1029755,1819566,1873353
2012,83943516,87305.0,48579,274123,4059310,11448156,7077251,4370905,7419322,5602427,2933175.0,5568250,15273417,2601623,12671794,17163983,11280648,3320539,2562795,8958169,1055415,7902753,3176391,1155649,2020742,1930908
2013,87929283,85877.0,49868,472772,4421790,11847786,7472127,4375660,7641129,5933752,2982159.0,6154659,16207296,2666626,13540670,17559742,11465145,3382773,2711823,9291599,1074344,8217255,3250921,986097,2264824,2029932
2014,92433004,88831.0,66437,553981,4598500,12141029,7868198,4272831,7961276,6245834,3114454.0,6183711,18244540,4348449,13896091,18008838,12255555,2843971,2909312,9443803,1222759,8221044,3665601,1058888,2606714,2116169
2001,58364684,,67151,173023,3375627,9434955,6658129,2776826,5291207,4744514,,2813979,11501204,2572587,8928617,9959452,5951163,1956258,2052031,4333680,433946,3899734,2366509,728415,1638094,1697117
2002,59394880,,69718,211761,3252479,9020370,6457829,2562541,5120825,4935449,,3123733,12079884,2873746,9206138,9902730,6203396,1743511,1955823,4773419,471226,4302193,2564164,814825,1749339,1826765
2003,62392873,,61011,204511,3590427,9639320,6934503,2704817,5285193,4986730,,3948542,12354767,3264634,9090133,10193555,6285273,1918202,1990080,5209535,557278,4652257,2559447,818122,1741325,1818321
2004,64183177,,69973,194061,4006453,9784877,6927737,2857140,5523572,5186714,,4177719,12096099,3091451,9004648,10911461,6818455,1941498,2151508,5353685,629503,4724181,2398350,749966,1648384,1867181
2005,67327081,,55845,193516,4425296,10076643,7310677,2765966,5976946,5331782,,4015012,13011422,3474622,9536800,11474220,7212671,2022488,2239061,5623602,665770,4957832,2388031,769261,1618770,1922675
2006,71241929,,66209,217087,4580008,10451684,7385094,3066590,6508444,5579234,,4382112,13431204,3749276,9681928,12281140,7791949,2093908,2395283,6014739,726153,5288586,2526958,750756,1776202,2003857
2007,74056295,,62652,219429,4805907,10257566,7229223,3028343,6826207,5598219,,4926694,13894596,3463591,10431005,13577326,8723568,2267712,2586045,6245047,759812,5485235,2515644,726970,1788674,1998837
