,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2015,127133532,,9506.0,996159.0,3501109,3077445,1975960.0,1101484.0,5485620,5617832,,14589967,34447368,18599598,15847770,40479460,30811896,5194469,4473095,7021155,1860599,5160556,7606310,2317246,5289064,2245709.0
2016,140124130,,8032.0,1057125.0,4008948,3719611,2261203.0,1458408.0,6126818,5510082,,18695156,36370487,19558596,16811891,43165698,33358606,5084578,4722514,7441800,1916696,5525105,8265488,2514557,5750931,2399139.0
2017,153010602,6313.0,10142.0,1077127.0,4295717,3796602,2576931.0,1219671.0,7208022,5848007,4103238.0,23265842,39050094,21220739,17829355,45909034,35652856,5192107,5064071,7662808,1961429,5701379,8327569,2284656,6042912,2450087.0
2018,167327045,7966.0,11404.0,974782.0,4729514,4053831,2890960.0,1162871.0,6812534,6196153,6288409.0,24993314,42904267,23780960,19123306,50835558,39829734,5390111,5615713,8074733,2019143,6055590,8750885,2456915,6293970,2693695.0
2019,182639795,11101.0,8632.0,970280.0,4856781,4291847,2969079.0,1322768.0,7032662,6274196,10971112.0,28277707,46141972,25915817,20226154,52650103,42334567,4540393,5775143,8536667,2121079,6415587,9790648,2071968,7718680,2826088.0
2020,184340608,17913.0,5778.0,1040709.0,4590396,4261137,2926398.0,1334739.0,6156263,5760487,8375843.0,32767004,46735270,28688607,18046663,53215475,43724547,3906147,5584782,8752912,1911787,6841126,10335018,1280621,9054397,2326402.0
2021,216995067,11245.0,,,4444357,4671252,3234851.0,1436401.0,6884356,6503331,8524878.0,39575305,58992589,38767251,20225338,60799095,50775758,3649112,6374225,9587075,2022650,7564425,13166486,1965131,11201355,
2008,75492917,,16279.0,689687.0,2510416,1611557,702037.0,909520.0,2488756,4048912,,6116801,21698649,10751570,10947079,23594680,17562590,2812056,3220035,4777565,1161495,3616070,5381369,1728413,3652956,1847784.0
2009,75921781,,19027.0,730221.0,2281075,1644924,870839.0,774085.0,2271985,4003844,,5823732,24053682,13509795,10543886,22250411,16744793,2612924,2892694,5133585,1317312,3816273,5354006,1748011,3605995,1753043.0
2010,79718015,,16898.0,792380.0,1804614,1941508,1177041.0,764467.0,2440685,4344190,,6462951,24716070,13000300,11715769,23900793,17757121,2993313,3150360,5305296,1393134,3912162,5742161,1938537,3803624,1605376.0
2011,86935092,,21330.0,835438.0,2169115,2331094,1533302.0,797792.0,2767830,4522043,,7190311,26064937,13513091,12551846,26912851,20498528,3109133,3305190,5563031,1483934,4079098,6141286,1948277,4193008,1584385.0
2012,98250571,,16090.0,858819.0,2272838,3420118,2413058.0,1007060.0,3123557,4857165,,7841611,31450250,16883914,14566336,29284659,22687952,3072061,3524647,5896110,1512839,4383270,6326923,2195893,4131029,1691481.0
2013,104592234,,7199.0,938635.0,2507334,3160600,2111049.0,1049551.0,3769957,5128583,,9574673,31928884,16101041,15827843,31697150,23641375,4240446,3815329,6203380,1642415,4560965,6483619,2230114,4253505,1876716.0
2014,115779216,,14127.0,887009.0,3053979,3127171,1981791.0,1145380.0,4496127,5264738,,11961823,34339415,18312396,16027019,35305517,26824489,4435860,4045167,6463275,1757335,4705939,7023010,2384446,4638564,2097960.0
2001,61898186,,25024.0,792571.0,1824708,1839558,,,1885514,3054493,,4780807,22277723,12598933,9678789,16568780,11598922,2711171,2258687,2971352,634439,2336913,3521143,910563,2610580,1495403.0
2002,58709639,,6521.0,823333.0,1747703,1506678,,,1700595,3067096,,4590694,20870140,11216699,9653442,15315982,11062428,2101235,2152319,3168180,662229,2505951,3653243,1009061,2644182,1483504.0
2003,58948393,,4219.0,852097.0,1762678,1752169,,,1799847,3382886,,4651264,20289444,11211878,9077566,14843051,10665753,1964302,2212996,3398601,744147,2654454,4011235,1207844,2803391,1454808.0
2004,60280557,,6066.0,1107241.0,1810885,1567909,381695.0,1186214.0,1803445,3833820,,5389031,19195170,10475187,8719984,15298382,11038508,2033583,2226290,3746483,852532,2893951,4315582,1239950,3075632,1478946.0
2005,66069299,,3071.0,1071676.0,2095362,1811815,482799.0,1329016.0,2002619,4341724,,5390814,21424838,12417950,9006887,17369654,12770875,2040586,2558193,3889153,885495,3003658,4462250,1381017,3081234,1475725.0
2006,70941650,,8305.0,1092680.0,2638713,1102776,,,2216654,4485077,,5517468,23780166,14339763,9440403,19010217,14100273,2164684,2745260,4136779,991040,3145739,4761764,1460444,3301320,1446026.0
2007,75447644,,15588.0,821923.0,2788563,1311800,,,2425529,4361774,,5940791,24924394,14202583,10721811,21248033,15444373,2611397,3192263,4323389,1045563,3277826,4910899,1524238,3386660,1603310.0
