,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2015,92006286,83920.0,16745,209793.0,3304008,16200386,3754631.0,12445755.0,3714473.0,3903471,5838214,16566391,15216891,5230398,9986493,18003786,14199349,1421018,2383418,4611005,785019,3825985,2857591,377201,2480390,1479611
2016,102513425,76162.0,45936,196867.0,3122877,20382716,3460205.0,16922510.0,3221132.0,4068792,6959803,20210328,16467354,5695495,10771859,18335734,14261029,1590683,2484021,4918258,872055,4046204,3026142,448700,2577442,1481325
2017,118665350,67231.0,60580,159616.0,3396408,25796282,3695868.0,22100414.0,3344792.0,4275091,7338655,27246729,18413463,6457428,11956035,18700876,14254213,1743732,2702931,5140332,923018,4217314,3225346,490464,2734881,1499948
2018,126694563,72925.0,91410,155053.0,3505344,27235317,3642868.0,23592449.0,3403193.0,4430709,6012320,30915324,20118692,7269655,12849037,20169476,15835663,1436333,2897481,5483089,953196,4529893,3409673,505830,2903843,1692038
2019,133825137,62333.0,51720,160514.0,3662776,29765023,4051151.0,25713871.0,3522456.0,4382248,6684766,30315890,21911910,7711662,14200248,21969628,17463884,1681098,2824646,6298151,1386461,4911690,3344791,407639,2937152,1692932
2020,135575526,74167.0,59748,176062.0,3268853,30706898,3925627.0,26781271.0,3413415.0,4332397,2495915,32818856,23108996,7881578,15227417,25136551,20917412,1694679,2524459,6216338,1362209,4854129,2209808,366648,1843160,1557522
2021,158176763,87504.0,108249,191733.0,3349564,33108931,3895209.0,29213722.0,3996800.0,4912222,3757728,42338013,25764754,9911010,15853743,27572813,22354835,1601423,3616554,8254364,1396415,6857949,2984420,507675,2476744,1749668
2008,52243547,,11105,,2115283,7185764,3232767.0,3952997.0,,2947059,3417479,6629663,9751482,2494261,7257220,11176317,8578262,902982,1695072,3120389,365587,2754801,1791062,328518,1462544,1258595
2009,54282755,111888.0,9560,146792.0,1851378,9627607,3020435.0,6607172.0,2431939.0,2939323,3364119,6130007,10401877,3011315,7390562,11110724,8635235,816089,1659401,3277900,395771,2882128,1638182,327387,1310796,1241458
2010,55559999,119089.0,8268,213674.0,1815148,8406511,3112356.0,5294155.0,2636890.0,3101775,3967010,6743189,10332734,2670702,7662032,11903358,9157833,828656,1916869,3419325,421348,2997977,1727076,403303,1323774,1165953
2011,58981795,104283.0,6447,133831.0,2028935,8185887,3193772.0,4992115.0,2904635.0,3175294,4035322,7266293,10931122,2727609,8203513,13419034,10637485,756027,2025523,3612862,439537,3173325,1909764,426457,1483307,1268087
2012,74183766,119013.0,9654,124941.0,2119671,9734384,3791860.0,5942524.0,2989403.0,3301071,4201747,8155009,12719770,4120625,8599145,23638723,20732369,742155,2164199,3738028,486030,3251998,2132558,393144,1739414,1199793
2013,78949042,57327.0,10306,186503.0,2479860,13552165,3966200.0,9585965.0,2983057.0,3462234,4725591,14923510,13149428,4204236,8945192,15908776,12553021,1139553,2216202,3907018,563653,3343365,2280214,342681,1937533,1323053
2014,84833276,66990.0,13831,195987.0,2893690,14565744,3875574.0,10690170.0,3379581.0,3634334,5069344,14980771,14259485,5011220,9248265,17581821,13861979,1271645,2448197,4314227,690216,3624012,2484842,314734,2170107,1392628
2001,42806332,25430.0,14460,61531.0,1908498,4961272,2924599.0,2036673.0,2056385.0,3414502,2789342,5115030,9258522,2972769,6285754,8946134,5431342,2198546,1316247,1919344,235588,1683756,1289225,302156,987069,1046658
2002,40998094,56884.0,12469,65992.0,1756907,4253792,2573245.0,1680547.0,1983484.0,3398852,2861170,5692622,9438235,3079904,6358331,6867670,4760767,843270,1263632,2118028,254332,1863696,1365782,342612,1023169,1126209
2003,42135917,69525.0,11970,69827.0,1765032,5518864,2656799.0,2862065.0,1950587.0,3314501,2616217,5657116,9398144,3278405,6119739,7073747,4803072,935658,1335017,2244040,276519,1967522,1386650,381403,1005246,1059697
2004,44152096,82240.0,15984,74717.0,1894067,6176387,2748753.0,3427634.0,1995569.0,3175248,3165322,6158675,8953128,3160800,5792328,7520406,5419517,661136,1439753,2425994,306292,2119702,1451061,365686,1085375,1063298
2005,46262423,42612.0,12407,71898.0,1880671,7074517,2976186.0,4098331.0,2161950.0,3390455,2590207,6243757,9307159,3445076,5862082,8332995,5950069,727282,1655643,2502967,289757,2213210,1543541,375054,1168486,1107288
2006,49788972,,14393,,2017604,6678627,3197202.0,3481425.0,,3459798,4372981,6161645,10030931,3931032,6099899,8910415,6467425,825766,1617224,2684311,312824,2371487,1664293,344186,1320106,1129776
2007,51514846,,10849,,2383020,7204771,,,,3167107,3496767,6683274,9998632,3513459,6485172,9906074,7248098,963089,1694888,2824172,333092,2491080,1763305,367784,1395521,1211160
