,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2014,717962,11012,419,152227,39348,55935,51300.0,4636.0,9372,38691,14633,8323.0,164965,17651,147314,129274.0,14984.0,,,43540,6351.0,37189.0,36650,12044,24606,13572
2015,703841,8333,391,136731,40535,54639,49696.0,4944.0,9683,39811,16261,8481.0,170324,17839,152486,133515.0,17400.0,,,32440,4022.0,28418.0,38516,11817,26699,14182
2016,778893,3876,411,191906,41988,58452,53860.0,4593.0,9191,40719,14844,7851.0,177174,17861,159313,142192.0,18961.0,,,31048,2068.0,28980.0,44065,12217,31848,15176
2017,899092,4758,482,292788,44914,63885,57910.0,5975.0,8580,44317,15065,8798.0,166811,17605,149206,150142.0,19123.0,,,31366,2195.0,29171.0,49441,10156,39285,17744
2018,844137,4412,185,187599,51297,63912,56794.0,7118.0,8079,48965,16173,8250.0,194368,19431,174937,155981.0,20575.0,,,32322,2061.0,30260.0,52795,10766,42028,19801
2019,973725,5110,14,306966,56469,58595,53912.0,4683.0,7848,52436,15891,8451.0,191215,18862,172353,159940.0,21710.0,,,33247,2373.0,30874.0,54842,12951,41891,22701
2020,841378,6173,0,193065,50717,55295,52173.0,3122.0,8529,55053,16547,7207.0,189000,18936,170065,171943.0,21399.0,,,31970,1802.0,30168.0,33600,10440,23161,22279
2021,843384,8242,0,137094,50588,67297,62783.0,4514.0,9426,60167,18679,8261.0,202394,23361,179033,177818.0,22606.0,,,36050,2208.0,33842.0,42481,12285,30197,24887
2006,858957,22450,1348,285555,65040,46706,,,7779,52648,21100,8726.0,176681,17913,158768,99224.0,17510.0,,,29591,2590.0,27001.0,27250,11492,15758,14860
2007,745313,18696,1120,153000,66363,48040,,,8430,46350,21063,8996.0,189083,17660,171423,107024.0,18238.0,,,30572,2884.0,27689.0,29727,13324,16403,16849
2008,767786,16724,780,134164,56129,87190,,,8061,40980,19561,9304.0,208113,16235,191878,106912.0,,,11716.0,31557,2911.0,28647.0,31686,15182,16504,16626
2009,806263,8162,1398,154532,57132,67637,,,7366,40463,16489,,247239,20906,226332,,14926.0,,,33024,3181.0,29843.0,32468,15568,16900,17016
2010,848425,8296,554,199251,60940,62605,,,6514,41340,15148,10965.0,243314,19283,224031,112621.0,14622.0,,,35770,3382.0,32389.0,34216,17091,17126,16891
2011,908392,7443,444,268069,47555,58929,,,6293,39163,14292,10694.0,249858,19577,230282,119953.0,16142.0,,,36973,4549.0,32424.0,33538,14412,19126,15186
2012,699041,11924,428,170274,38654,49201,,,7234,39581,13571,9274.0,149754,18431,131322,120600.0,15567.0,,,35970,5483.0,30487.0,38297,12903,25394,14278
2013,661951,8235,337,207256,38949,56308,52314.0,3993.0,9218,40990,14675,8312.0,160239,16302,143937,26660.0,,,10290.0,40606,6348.0,34258.0,36765,11396,25369,13401
2001,585715,16806,1747,85894,42187,40619,,,5978,55594,19685,6121.0,137342,15191,122151,113650.0,13489.0,,,20742,,,24760,8122,16638,14590
2002,654545,8975,599,135432,49994,38606,,,6183,57474,19427,6290.0,155961,18498,137463,107613.0,14416.0,,,22885,,,28661,9198,19463,16446
2003,736563,12049,1041,201351,52570,44792,43784.0,1009.0,6034,54042,19932,6878.0,164635,20230,144405,102554.0,14226.0,,,24610,1520.0,23090.0,28955,7684,21271,17121
2004,739791,15593,1393,185710,58914,48036,46994.0,1042.0,6942,50889,20738,8345.0,161414,16096,145318,104862.0,14293.0,,,27104,2026.0,25078.0,34377,9048,25329,15475
2005,736658,16973,1003,170907,61066,52747,,,7687,51741,21707,8455.0,172788,15250,157538,101575.0,15844.0,,,27938,2071.0,25866.0,26956,10257,16699,15115
