,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2014,4774829,1587624,40613,95942,150988,465128,268119.0,197009.0,149081,268987,96594,82944,740048,79441,660607,303398,73121.0,128470.0,101806.0,554935,12118,542817,124391,16006,108385,114156
2015,4370023,1204414,17190,82973,166978,492802,269542.0,223260.0,149091,285931,102752,82639,651624,78535,573090,289726,59851.0,129094.0,100782.0,580757,5348,575409,136395,13447,122948,126749
2016,4740864,1355756,21324,181221,192418,484847,272059.0,212787.0,138933,293641,105506,86963,703961,75381,628580,286150,62396.0,134619.0,89134.0,615892,5344,610548,146021,13862,132159,128231
2017,5098202,1458037,34535,253303,211618,478930,283899.0,195031.0,135135,302502,111887,89485,783193,73665,709528,304135,61400.0,147066.0,95669.0,652231,5083,647148,158415,18472,139943,124796
2018,5062275,1455349,41273,151085,259328,462659,273717.0,188942.0,154042,312997,123895,91358,701390,78721,622669,321046,74049.0,150016.0,96981.0,689930,5061,684870,165302,19870,145432,132619
2019,5330229,1465476,28095,194573,291302,511964,289259.0,222706.0,159663,320204,132743,93370,739709,75635,664074,336858,80094.0,154714.0,102050.0,729920,5322,724598,179385,22749,156636,146966
2020,5400068,1368705,34073,148813,294095,512660,282161.0,230499.0,157891,373852,135836,87149,786220,82904,703315,423246,84111.0,168090.0,171045.0,795421,4773,790647,145304,16735,128570,136806
2021,5715850,1352231,74867,152428,332963,550104,303385.0,246719.0,173202,429969,156226,90683,785601,90587,695014,452402,95361.0,170621.0,186420.0,816857,5223,811634,196140,22612,173528,152178
2006,3283495,665738,20004,126571,244820,351114,235405.0,115709.0,84383,283936,89069,94369,501180,52974,448206,253502,,,95390.0,367488,4378,363109,94032,11501,82530,107290
2007,3462222,839698,26515,65417,214028,348115,234442.0,113673.0,86364,277255,103014,104828,533455,53718,479737,270861,,,98552.0,393669,6526,387144,90224,11263,78961,108778
2008,3406487,716163,31372,83182,192187,341475,,,88764,254959,90394,99247,596947,51031,545916,272752,,,92800.0,444488,7740,436748,91585,11960,79624,102973
2009,3013219,236665,21567,125606,157687,350810,194898.0,155912.0,85419,261546,84899,88504,653687,55181,598506,266814,74699.0,106624.0,85492.0,496913,11108,485806,83321,11367,71955,99780
2010,3729532,851706,16026,165438,163848,353699,207626.0,146073.0,96664,260160,96661,91037,696924,58741,638183,274019,74939.0,105497.0,93584.0,480772,11837,468935,84674,11762,72912,97903
2011,3974596,989637,25728,186697,142338,404022,256166.0,147856.0,110449,256430,97744,89935,679410,61645,617765,287818,74547.0,115565.0,97706.0,513530,17560,495969,92263,11366,80897,98595
2012,4269517,1299431,24187,101957,127046,455667,251997.0,203670.0,122817,256440,94237,91194,655582,64755,590827,300746,85744.0,117588.0,97413.0,536267,17889,518377,103886,12069,91817,100060
2013,4447710,1413948,44351,112168,152946,468387,267598.0,200789.0,134400,267861,88877,91084,703366,68053,635313,206731,76429.0,30417.0,99885.0,543801,11622,532180,112986,14040,98946,106805
2001,1997269,126406,11948,45900,115150,277589,185354.0,92236.0,65792,213258,59269,66214,393500,43840,349660,241289,,,51177.0,229919,2157,227761,77369,7016,70353,73668
2002,2314447,301867,10501,83014,126099,275509,178722.0,96788.0,66095,224729,63111,71832,423802,52380,371423,251601,,,66419.0,251842,2199,249643,83429,7470,75958,81015
2003,2416703,260583,11208,90176,148299,297628,196989.0,100639.0,64842,239807,66323,76417,467133,53064,414069,208538,57507.0,,,313047,4032,309016,91921,9461,82461,80781
2004,2927616,729268,14047,89441,176064,303908,202371.0,101537.0,70034,239516,68600,81624,433296,41796,391500,214232,,,52572.0,325595,4545,321050,93078,11255,81824,88912
2005,3099201,755178,16599,110091,211223,308017,211501.0,96516.0,77842,256457,78770,87379,453427,43577,409850,214321,,,59213.0,342157,3856,338302,89418,11387,78031,98322
