,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2014,5863707,1874100.0,95628,941788,152190,176299,62748,113551,333676,483222,174716.0,75354.0,712772,129213,583559,317008,90362,112749,113897,257920,15719,242200,141943,7353,134589,127093.0
2015,6158485,2099131.0,89172,1010630,168790,152661,65175,87486,371859,499462,185620.0,70264.0,653664,125232,528432,299584,88379,114811,96395,273789,10736,263053,154288,7446,146842,129570.0
2016,5970175,1803462.0,104944,1037644,151180,149302,70125,79177,365209,491248,196874.0,62073.0,697000,112906,584094,314859,86491,122715,105653,298968,11162,287806,166326,8463,157863,131086.0
2017,6179958,1925423.0,130051,1062139,147530,155788,82720,73068,378796,500203,211979.0,58552.0,672831,113405,559426,337214,91715,128815,116683,297328,10325,287003,167251,7659,159592,134872.0
2018,6185691,1740185.0,159040,1078860,152550,148529,83461,65068,398786,523203,225238.0,63124.0,713358,123407,589951,349785,101004,133892,114890,320143,11229,308914,173060,7099,165960,139831.0
2019,6432927,1763641.0,136217,1151597,177006,185362,84937,100426,409973,535759,237093.0,64010.0,715701,124854,590847,359824,107459,133182,119183,360885,11532,349354,191956,8665,183292,143902.0
2020,6609467,1708097.0,164742,1275680,196165,222456,80771,141685,409128,553319,239507.0,63340.0,715868,131273,584595,389331,109557,143101,136673,384874,10116,374758,149908,4166,145741,137053.0
2021,7525843,2035266.0,179860,1450987,196842,259614,100432,159182,467262,633798,284583.0,,746907,135431,611476,423155,120455,147786,154915,427796,9401,418395,197824,5827,191997,
2006,3941998,1191522.0,5323,401440,138993,197262,74970,122291,190279,468219,170586.0,51100.0,525365,91838,433527,213813,65596,83996,64220,175411,11613,163799,101704,4056,97647,110982.0
2007,4026249,1106676.0,5892,432970,181106,203851,73550,130301,213729,443798,172531.0,60068.0,543976,99318,444658,245921,68210,90483,87229,183984,12195,171788,108040,4575,103466,123706.0
2008,4912409,1912145.0,5605,454371,141098,199846,66770,133076,228646,407701,164613.0,59558.0,602210,94857,507353,277128,81268,93036,102823,215659,13085,202573,117948,5641,112307,125883.0
2009,4443156,1267836.0,82201,525475,121118,210993,51957,159036,206581,403946,154647.0,51120.0,674344,104159,570185,281216,76334,97635,107247,242527,13201,229326,110825,5250,105575,110328.0
2010,4560648,1255003.0,78765,558625,107776,207591,48619,158972,221834,420805,174814.0,53502.0,727018,110452,616566,280729,74562,95959,110208,243056,5168,237888,113634,5297,108337,117496.0
2011,5185643,1784659.0,80229,594617,108318,203491,47968,155524,244190,439968,185778.0,52815.0,706587,121878,584709,300564,84383,103854,112327,244130,6064,238066,119972,5961,114011,120325.0
2012,4913719,1458849.0,90200,603118,112301,220351,53498,166853,257079,456862,164940.0,70026.0,671313,124362,546951,324285,98911,103133,122241,230174,11428,218746,130820,6611,124209,123400.0
2013,5460400,1720080.0,90551,719539,147424,208005,57342,150663,287433,482799,164040.0,80728.0,735226,127577,607649,328056,95534,121284,111237,242729,13151,229578,133489,6191,127298,120301.0
2001,2770899,765021.0,19040,215745,80483,130856,62760,68095,151230,328186,124935.0,28108.0,460804,75652,385152,184087,52209,103031,28847,99517,7685,91832,86668,2615,84053,96219.0
2002,3445940,,6886,348935,77115,164885,60018,104867,150113,349313,,28327.0,496756,84950,411806,193639,58628,100480,34532,129495,11328,118167,93285,2840,90444,110199.0
2003,3257381,856523.0,6046,375587,85059,161381,65850,95531,179187,384471,136393.0,32925.0,504875,88954,415921,195999,59557,94773,41668,142547,11686,130861,96782,2815,93966,99606.0
2004,3239037,850305.0,4206,328504,123948,162567,70278,92289,164248,413491,136873.0,42119.0,464732,66283,398449,201611,59313,96660,45637,152573,11562,141010,99616,5120,94496,94246.0
2005,3535084,961304.0,4505,375580,166744,172170,75610,96560,179982,440495,152394.0,48174.0,471611,68107,403504,202440,61652,90717,50070,163312,10911,152401,95585,4062,91523,100788.0
