,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2014,42925245,1659955,803580,333968,1549845,10872680,3200194,7672486,3259935,3082296,389464,1355959,10076773,2528569,7548204,4080263,2475844,338341,1266078,2963947,353346,2610601,1549775,382166,1167609,946806
2015,43147720,1624722,397373,377091,1697348,10646554,3592888,7053666,3672058,3255380,401776,1394326,9724232,2559436,7164796,4232194,2559353,336573,1336269,3120662,372098,2748564,1637567,371416,1266150,966437
2016,42981845,1631654,328438,324480,1692572,10298806,3757282,6541524,3694946,3204002,438527,1511864,9577144,2385232,7191912,4304865,2530226,329506,1445133,3325016,404243,2920774,1672701,372017,1300684,976828
2017,44209356,1623016,469634,341419,1840411,9994825,4263753,5731072,3906198,3303826,453057,1508535,10124703,2333390,7791313,4484244,2637079,337028,1510137,3430822,400873,3029949,1722411,379071,1343341,1006256
2018,45284822,1655492,472887,301528,1989585,8626861,4506210,4120651,4108856,3365455,485381,1593572,10202307,2446431,7755876,5990373,2772738,1628052,1589583,3597896,419294,3178601,1826464,438260,1388204,1068167
2019,47367605,1541108,435528,310139,2062719,9049623,4653961,4395663,4259877,3491372,488559,1524351,10558552,2427534,8131018,6618049,3065070,1845413,1707566,3779600,451933,3327668,2158826,698134,1460692,1089302
2020,47273324,1510157,366427,388452,2003136,9136674,4740535,4396140,4231138,3326438,487399,1455098,10965493,2660292,8305202,6767257,3281934,1895395,1589927,3798855,416848,3382007,1854140,653394,1200746,982661
2021,51187017,1561223,509944,346673,2180972,9862596,5076005,4786590,4762507,3764380,608607,1503596,11279237,2770300,8508937,7213956,3557198,1846386,1810372,4114995,455905,3659090,2397037,837340,1559697,1081295
2006,39560398,1277676,569838,249995,1711602,13599829,2788805,10811023,2502221,2730308,360689,1142444,7756896,2819876,4937020,3580334,2051057,439375,1089903,1960078,198710,1761368,1188591,333192,855399,929897
2007,43894222,1066080,698348,323230,1669755,17190805,2962030,14228774,2399572,2586013,388448,1168127,8553778,2876185,5677593,3660223,2075344,442712,1142166,2063122,218099,1845023,1208073,343561,864512,918649
2008,41159800,1192142,894261,318726,1546550,14204623,2824200,11380423,2416099,2465468,414022,1147158,8203210,2140520,6062690,3926733,2308868,428376,1189490,2268007,251778,2016229,1283671,330883,952788,879128
2009,42104689,1430221,707945,281304,1541252,14966967,2674800,12292167,2236322,2375011,327505,1027814,8837783,2271418,6566365,3910962,2315964,461116,1133882,2427219,289758,2137462,1187700,317581,870120,846684
2010,42317300,1803662,730325,274429,1567462,13419099,2708062,10711037,2437091,2527689,331261,1189142,9592166,2547879,7044287,3836207,2293836,362382,1179988,2527707,320580,2207127,1238351,339607,898744,842708
2011,41120694,1483960,907714,290493,1396310,11352489,2800742,8551747,2712469,2627064,346185,1203097,10131403,2704235,7427169,3903260,2353101,370022,1180136,2662714,317553,2345161,1275693,326937,948756,827843
2012,41301385,1677767,992793,315616,1285285,10979097,2737140,8241956,2819870,2833100,354293,1273876,9830952,2628516,7202436,4017689,2403043,363672,1250974,2738903,343000,2395903,1312286,329671,982615,869859
2013,42702504,1696979,874972,386178,1427956,11657718,3036363,8621355,2978010,3009568,359678,1356248,9789004,2386658,7402345,4024025,2411271,372976,1239778,2845550,324773,2520778,1411549,356093,1055456,885070
2001,25172278,385504,190566,485176,1125988,5397065,2464009,2933055,2958581,2152100,350301,947615,5444408,1592345,3852063,2722122,1607388,295027,819707,1407721,121579,1286142,898932,268536,630396,706200
2002,26068812,623683,185313,411506,1148228,4645026,2352619,2292407,3184821,2244244,351532,1008827,6109659,1925894,4183765,2827126,1660175,305595,861356,1554274,135790,1418484,984328,291481,692846,790245
2003,28140425,500359,199601,352763,1271511,6067986,2473782,3594203,2927439,2396324,344198,972342,6684196,2381567,4302630,2951576,1681272,345426,924878,1682283,158173,1524111,995620,303478,692142,794227
2004,31837182,920607,257855,396914,1441935,8270264,2607368,5662896,2604130,2578461,322378,1064100,7006517,2580890,4425627,3240361,1738789,495531,1006040,1782580,186528,1596052,1105467,311482,793984,845615
2005,34390026,596360,366875,230588,1614011,10109020,2765528,7343492,2584795,2653832,332204,1092571,7520983,2719675,4801308,3434948,1912909,456333,1065706,1854006,186173,1667833,1114778,323544,791234,885056
