,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2014,16643262,,8191.0,325605,1214540,1440436,1165838.0,274598.0,731776,1572870,,576960.0,4957524,1532504,3425020,2000368,1103812,291294,605261,2147992,111365,2036627,923794,225600,698194,438124.0
2015,17996586,,9910.0,329847,1485217,1651575,1179286.0,472289.0,784998,1657020,,648620.0,5097806,1642344,3455462,2192004,1167796,292046,732163,2328744,106021,2222723,1010300,226128,784172,461057.0
2016,18952982,14514.0,13591.0,441885,1710980,1573545,1132452.0,441093.0,787873,1713381,326493.0,594400.0,5333234,1658725,3674509,2341582,1258977,293313,789291,2531115,110236,2420879,1113501,234781,878720,456888.0
2017,19718912,24768.0,15644.0,471452,1876984,1158915,1017459.0,141456.0,823243,1817157,320031.0,588796.0,5694763,1582549,4112214,2527893,1318473,341200,868220,2699051,113558,2585493,1213015,271498,941517,487201.0
2018,21251866,27458.0,18199.0,424461,1990056,992893,815057.0,177836.0,934796,1900243,341635.0,642829.0,6583824,1633154,4950669,2748059,1409497,366439,972123,2885500,125322,2760178,1273911,276070,997842,488001.0
2019,22387119,16158.0,16735.0,529341,2235331,973745,786340.0,187405.0,1009576,1952441,375445.0,645190.0,6781890,1597656,5184235,2929777,1499864,401816,1028097,3123485,138012,2985474,1365516,310525,1054992,432488.0
2020,22574710,19562.0,17308.0,434679,2353704,937122,755334.0,181788.0,889116,2017908,,,7191625,1848988,5342637,3022610,1512393,424696,1085522,3234830,117356,3117474,1053032,239093,813939,
2021,25292651,24523.0,,442735,2680428,1092755,882993.0,209762.0,938919,2292961,,646548.0,7620524,1883377,5737147,3617107,1812026,463210,1341871,3566767,129539,3437227,1388014,328518,1059495,498817.0
2006,13552297,14756.0,17394.0,295586,1564276,1626401,1474898.0,151503.0,549799,1603523,286346.0,438565.0,3689269,1156524,2532744,1404843,852607,159797,392439,1005596,84512,921084,666017,133488,532529,389926.0
2007,13530218,6273.0,8698.0,210696,1324588,1678746,1547737.0,131009.0,569938,1572103,278808.0,476379.0,3718952,1039540,2679413,1445875,879819,156917,409138,1187497,88418,1099079,671573,131656,539917,380093.0
2008,13390587,15185.0,6053.0,281280,998081,1710431,,,572386,1458333,261780.0,458666.0,3690091,961601,2728490,1588404,978092,172301,438011,1336822,98456,1238366,649834,142555,507279,363240.0
2009,13447655,43793.0,2270.0,361153,876061,1639821,1559273.0,80548.0,541841,1380462,257926.0,444376.0,3991078,1200377,2790701,1448602,876028,183973,388602,1466318,100665,1365653,621492,134774,486718,372460.0
2010,13905306,17378.0,1880.0,363033,898746,1463248,1374956.0,88292.0,619361,1412994,267230.0,494460.0,4137203,1108838,3028365,1529132,913571,200752,414809,1672955,116083,1556872,647231,151530,495701,380455.0
2011,14231794,19776.0,2288.0,377935,778250,1423856,1337004.0,86852.0,700627,1461152,267395.0,521921.0,4195755,1115113,3080642,1608254,973655,215295,419303,1825107,123894,1701214,670051,149581,520469,379427.0
2012,15161011,17370.0,2921.0,346316,893032,1518133,1418652.0,99482.0,759289,1490778,282582.0,583897.0,4488065,1277917,3210149,1698122,1019843,235913,442366,1916715,121013,1795702,769984,197271,572713,393806.0
2013,15990935,13209.0,4431.0,343239,1079494,1421208,1281610.0,139599.0,730524,1553502,283931.0,590436.0,4871311,1381966,3489345,1787853,1051940,276182,459730,2048228,103212,1945016,848996,216743,632253,414574.0
2001,9329058,17289.0,12222.0,100754,1110991,1515658,1414052.0,101606.0,308123,1122684,228536.0,283660.0,2162059,485850,1676210,1047631,490294,250815,306522,598655,63012,535643,479906,80962,398943,340890.0
2002,10049260,15161.0,10989.0,179624,1197480,1428082,1342043.0,86039.0,328782,1227555,217639.0,301209.0,2498421,624570,1873851,1058367,554450,207968,295949,710975,75291,635684,513030,87772,425258,361948.0
2003,11056990,31599.0,13312.0,221898,1451878,1455196,1348977.0,106219.0,360293,1357606,209278.0,317522.0,2801665,812903,1988761,1163858,615360,217184,331313,776203,84243,691960,574083,105422,468661,322599.0
2004,11936647,28393.0,15477.0,208914,1599660,1498464,1408022.0,90442.0,401873,1482165,227306.0,390483.0,3029889,831863,2198026,1228229,674571,184847,368812,875353,86937,788416,609258,119531,489727,341185.0
2005,12997173,26195.0,14719.0,228385,1700176,1630078,1516336.0,113742.0,469696,1534436,256836.0,409164.0,3477320,986691,2490629,1301389,772727,157225,371437,932905,84069,848836,631790,133195,498594,384084.0
