,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2014,1644586,12537,16051,250821,69394,82527,68684.0,13843.0,25907,139989,15424,41654,459903,55594,404309,189101,55024.0,,,212682,7032,205650,77755,17877,59878,50843
2015,1726059,15678,14533,249259,89382,83438,68158.0,15280.0,32342,149665,15738,46816,464374,56127,408246,190674,53762.0,,,225921,6045,219877,101090,21423,79667,47148
2016,1949893,15614,18676,390856,111139,85221,68790.0,16431.0,32271,153048,14633,67774,455839,52378,403460,203287,,,36302.0,233544,6980,226564,119308,24937,94371,48684
2017,2241158,17280,25680,550914,98543,93659,75510.0,18149.0,31535,155822,12594,88102,515902,53977,461926,221217,,,43941.0,243997,7976,236021,132635,23195,109440,53276
2018,2090983,19408,31486,344963,116012,94871,75698.0,19173.0,29346,160312,13336,84214,526700,59838,466862,232626,,,46666.0,246237,7631,238607,124041,18018,106023,67430
2019,2254569,23414,25457,468452,140937,99289,80189.0,19099.0,29844,169755,15703,63288,544748,56258,488491,241243,,,52301.0,245357,7711,237647,129191,21247,107944,57890
2020,2078701,23918,31152,359380,118691,107605,88527.0,19078.0,27307,175321,15654,37534,546803,55202,491600,257328,,,57170.0,230557,6290,224266,94172,15419,78753,53279
2021,2241305,33934,31652,347520,134234,133765,111737.0,22027.0,30076,200220,18039,39137,562928,58877,504051,279822,,,70880.0,237204,7741,229463,132954,19234,113721,59819
2006,1621347,22843,36099,405833,124953,70323,56704.0,13619.0,20414,151935,17031,35588,361153,46263,314890,99417,66451.0,3757.0,29209.0,145572,4566,141006,63360,14641,48719,66826
2007,1576788,13011,34496,292566,124348,72320,58394.0,13926.0,20751,137213,18775,41318,438706,47840,390867,95640,60521.0,,,156772,4556,152215,67182,14280,52902,63690
2008,1542074,14193,29259,252649,92313,68703,,,24953,128564,17189,43811,467787,46158,421629,103228,68241.0,5502.0,29485.0,173716,4868,168848,72071,20461,51610,53635
2009,1665005,8800,32299,331874,95606,62271,47940.0,14330.0,22758,117233,14327,37920,455759,50043,405715,178763,59985.0,90533.0,28245.0,189285,6004,183281,67756,20848,46908,50352
2010,1774640,8921,19445,384794,113866,54980,,,22020,119046,14925,39132,487518,51334,436184,178263,60531.0,88288.0,29444.0,210265,4964,205301,69292,21412,47880,52172
2011,1923737,8794,25435,511969,91512,66794,,,17778,124982,14590,36521,488042,55707,432334,185647,61385.0,95362.0,28899.0,228673,5936,222737,72675,20348,52326,50328
2012,1654360,13384,16908,303195,68407,70742,60691.0,10051.0,19438,128901,13603,37674,452393,52186,400206,183952,60486.0,,,229396,6618,222778,66263,18389,47874,50105
2013,1680412,9891,15440,315715,66158,82851,70395.0,12456.0,21670,135240,14045,40967,456262,50073,406189,195435,52945.0,,,206468,6488,199980,71655,17504,54152,48614
2001,1159608,17314,8984,144380,91421,66034,55633.0,10400.0,12717,120551,9942,19204,299241,37460,261781,157367,38648.0,91567.0,27152.0,95766,3540,92226,64634,16569,48065,52052
2002,1401608,21839,12434,298894,94971,64505,54553.0,9952.0,13023,129846,10202,20577,332139,43709,288430,163119,51528.0,84002.0,27590.0,108452,3672,104779,72975,19848,53127,58634
2003,1432023,30131,10355,270730,104270,64682,52998.0,11684.0,14253,142780,13326,27134,345976,49911,296066,156119,53524.0,78130.0,24465.0,123219,4039,119180,72168,20492,51676,56879
2004,1483750,26583,12090,281666,116265,67884,55166.0,12717.0,15937,150459,14983,32989,346290,35776,310514,165114,55571.0,81627.0,27916.0,131784,4248,127537,61673,17913,43760,60033
2005,1515737,26052,28612,316558,114954,69363,56952.0,12412.0,18292,151764,16463,37434,374179,37205,336973,92006,60544.0,3187.0,28275.0,145059,4328,140731,61749,15828,45922,63251
