,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2014,3551934,1006519.0,9296.0,69372,111804.0,526841,43716,483125,114645,250631,98369,45089,564944,89259,475685,224698,71939,111778,40981,342405,8284,334121,100497,7138,93359,86821
2015,3443327,827744.0,6139.0,91952,130782.0,564076,53571,510505,124211,268958,98813,44489,595035,101474,493561,127036,71215,12609,43212,364233,6828,357405,114018,8602,105416,85841
2016,3475841,793605.0,3568.0,131850,133668.0,535010,56011,478999,124126,285850,105898,36251,624160,83073,541087,125054,60520,13338,51196,372029,6118,365911,121098,10454,110644,83675
2017,3770715,999311.0,4738.0,156617,125843.0,559503,58714,500789,124683,298770,141002,29998,604404,83545,520859,128927,63608,15572,49748,392240,5604,386636,124543,10211,114332,80136
2018,3831053,872848.0,4434.0,159098,130878.0,586208,59789,526419,126121,293247,183094,28272,679959,90645,589314,129712,64478,14340,50894,414365,6336,408029,135590,11463,124127,87224
2019,3965420,904715.0,4188.0,152663,134437.0,655232,65455,589777,137591,290497,231195,30240,628616,97451,531165,140970,68582,15511,56876,419135,5620,413515,144626,12305,132321,91315
2020,4061691,950184.0,3393.0,170822,143122.0,674353,62833,611520,139506,305721,241437,28750,613893,102864,511029,149547,77133,19039,53376,420834,4584,416250,129951,9324,120627,90178
2021,4241371,873168.0,6298.0,273607,164996.0,691671,65920,625750,154639,341885,201933,31656,630243,110735,519508,150812,68676,24487,57649,447150,5728,441422,172385,14499,157886,100928
2006,2328097,369732.0,10047.0,14928,106268.0,436388,45130,391258,63497,231255,88982,36245,438069,68078,369991,151537,39743,76472,35322,221005,13803,207201,79793,6306,73487,80352
2007,3209298,1097410.0,10582.0,15862,106177.0,470144,47010,423135,61280,233767,89223,39035,513414,66371,447043,163962,41095,82569,40298,244942,12923,232019,79069,6303,72766,84430
2008,2724087,453399.0,9849.0,19837,129223.0,527576,45107,482470,68108,226171,98060,35593,532757,65949,466808,167756,47773,80565,39418,292378,14064,278314,79414,6630,72784,83965
2009,2493515,145966.0,6336.0,23122,150420.0,577655,38171,539483,65550,219027,82027,27981,523138,72260,450878,190311,44456,94548,51307,323920,13354,310566,78091,7213,70878,79972
2010,2650336,337663.0,7205.0,15073,130293.0,509825,35914,473910,70129,222056,84014,27698,546227,79062,467165,214984,75068,93741,46176,325566,12955,312611,81348,8570,72778,78256
2011,3437023,1093391.0,10245.0,19909,107336.0,460300,42430,417870,88325,225615,86834,27832,609801,86571,523230,205686,61088,102016,42582,339647,10802,328846,85468,9186,76282,76633
2012,3087889,753156.0,11499.0,33047,83623.0,473137,37814,435323,94696,229263,81269,33593,575795,87074,488721,209845,68492,102508,38844,342579,12395,330184,89361,8273,81087,77025
2013,3198567,,,47373,99607.0,463995,39698,424297,99417,249551,92541,40287,565595,75671,489924,228555,69137,121564,37854,342895,10031,332864,94283,7280,87003,79019
2001,2029090,487629.0,2792.0,10890,60605.0,319882,17468,302414,80153,180250,39097,20995,411676,52159,359516,154212,27413,96737,30062,130860,2643,128216,66159,3666,62493,63890
2002,1998166,,2668.0,15574,,352208,22214,329993,75960,163413,35523,22309,436682,58813,377869,154649,30717,90654,33278,151422,2989,148433,74202,3888,70315,70403
2003,2329009,649265.0,3332.0,13293,81939.0,354684,30170,324514,70351,179551,42136,24697,436204,70554,365650,152176,34777,85473,31926,170680,9518,161162,82446,4392,78054,68256
2004,2585798,857177.0,4238.0,11974,101210.0,353077,37830,315247,65789,198609,50595,32451,418178,58696,359482,161149,37223,85654,38272,179651,12017,167634,81100,5313,75787,70599
2005,2650160,807942.0,7277.0,13544,162440.0,361729,40468,321261,68198,215245,74526,35166,406295,58874,347421,155979,39476,82063,34440,192250,13030,179220,75703,5721,69982,73865
