,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2012,207653,88123.0,0,2475,,,,524.0,10075,15355,,,51323,6977.0,44346.0,4041.0,2674.0,0,1367.0,7028.0,,,4296.0,,,7705
2013,219891,89564.0,0,2375,,,,,10767,16010,,,54781,5792.0,48989.0,4102.0,,0,,8448.0,,,4562.0,,,7617
2014,233438,,0,2672,8054.0,,,,12999,14420,,,57269,6662.0,50607.0,5024.0,,0,,,,,4754.0,,,7532
2015,250124,109629.0,0,2777,9385.0,1749.0,,,16322,14619,,,60883,6631.0,54251.0,5030.0,3429.0,0,1601.0,8720.0,,,4824.0,,,7572
2016,255528,100250.0,0,2999,10455.0,1918.0,,,17007,14119,,,67270,,,5124.0,3295.0,0,1829.0,13796.0,,,,,,8258
2017,249423,100614.0,0,3078,10909.0,1696.0,,,20785,13524,,,56164,5546.0,50618.0,4879.0,3055.0,0,1825.0,15582.0,,,7957.0,,,6868
2018,268961,102546.0,0,2978,14032.0,1632.0,,,23292,14131,,3477.0,64325,6577.0,57749.0,7275.0,3275.0,0,4000.0,14846.0,,,,,,7568
2019,307958,110853.0,0,3046,16762.0,1567.0,,,50052,14111,,3541.0,63192,6237.0,56955.0,8081.0,4047.0,0,4034.0,17173.0,,,,,,7477
2020,342663,129522.0,0,3238,12237.0,1422.0,,,72104,15525,,3114.0,61594,6146.0,55448.0,,,0,,16773.0,,,8021.0,,,7630
2021,430804,171234.0,0,3354,13255.0,1574.0,,,105448,16754,,3221.0,65653,6825.0,58829.0,9942.0,5445.0,0,4496.0,18521.0,,,,,,8602
2002,161275,48057.0,1284,1856,,,,,11285,16119,,1837.0,41815,4901.0,36914.0,3542.0,2778.0,0,764.0,,69.0,,3902.0,,,7960
2003,150843,33097.0,2489,2386,,,,305.0,11325,17997,5913.0,1804.0,42031,5039.0,36992.0,3531.0,2580.0,0,950.0,6112.0,,,4454.0,,,7502
2004,144584,32971.0,56,2150,,,,382.0,10557,19012,6294.0,1928.0,39448,3186.0,36262.0,3762.0,,0,,6637.0,,,3290.0,,,7252
2005,173127,55747.0,52,1888,10701.0,2194.0,1754.0,440.0,11538,21089,,,40655,3575.0,37080.0,,2547.0,0,,6894.0,,,3625.0,,,7521
2006,179190,53832.0,1738,2058,12244.0,2840.0,2419.0,422.0,12000,22312,,,41922,4610.0,37312.0,,2638.0,0,,7139.0,,,3481.0,,,8370
2007,193307,65153.0,1964,2074,13314.0,601.0,28.0,573.0,12708,17946,,,48292,4885.0,43407.0,4276.0,2793.0,0,1483.0,7099.0,,,2999.0,,,8862
2008,245595,119355.0,0,2258,,,,671.0,12066,14549,,,50729,5263.0,45466.0,4785.0,,0,,7165.0,,,3145.0,,,9061
2009,243382,106378.0,0,2328,,,,718.0,10560,13891,,,61773,5777.0,55997.0,4445.0,,0,,7137.0,,,3616.0,,,8590
2010,238862,92697.0,0,2412,,,,483.0,10649,14723,,,66055,6399.0,59656.0,4410.0,,0,,7019.0,,,3915.0,,,8208
2011,230916,97435.0,0,2469,,,,365.0,10171,14607,,,60224,7343.0,52881.0,4327.0,2718.0,0,1609.0,7968.0,,,4139.0,,,7816
2001,115071,6869.0,1255,1754,9015.0,2520.0,,,11080,15351,,1825.0,38277,4646.0,33632.0,3144.0,2526.0,0,618.0,,67.0,,3806.0,135.0,3671.0,7921
