,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2015,592242973,222944,1530717,4535781,16098028,63186555,34773246,28413309,44992931,36250187,22406759,88794374,128786687,35340113,93446574,81077906,54444853,8185941,18447112,52149312,10191784,41957528,37718366,18892504,18825862,14492429
2016,609690301,199257,1279297,4751788,17791953,64347222,37166408,27180814,43232495,36258351,24147683,94850574,131100238,36978334,94121905,81180323,53564670,7979106,19636548,55621470,10573507,45047963,40751720,19885663,20866057,14177929
2017,641037652,200693,990269,5141466,19737529,70426355,39943670,30482685,44507226,36710594,25071003,96773038,137677790,38959498,98718292,87567166,57706630,8580406,21280130,57924662,10802523,47122138,42928573,20716854,22211719,15381288
2018,677396194,212441,918588,5335174,20971448,79466057,42623034,36843023,47117860,37455757,27637878,97347563,145922622,41544432,104378190,92908283,61908760,8928756,22070767,61091985,11610924,49481061,45711810,22908457,22803354,15298728
2019,706768529,158248,758598,5401235,22398629,77012563,41676757,35335806,50566636,38703209,29820979,101792128,151421224,42540972,108880252,99517744,66290272,9168311,24059162,64372493,12156395,52216099,48819426,24729077,24090349,16025416
2020,669998163,183952,629098,5882269,21879586,67567467,40733326,26834141,49107284,40078538,23142691,101463778,147199452,43875481,103323971,97874981,65947666,9348798,22578517,65703741,11122114,54581627,35008301,16835185,18173117,14277023
2021,752485500,207601,1071202,6095092,22246469,76585740,43749423,32836316,56009873,45952772,27871617,112770180,156984647,48034680,108949967,112358394,74318518,11028232,27011644,70956551,11844520,59112031,47298912,23265324,24033587,16076452
2008,479474513,281517,3340095,3888357,14952229,58837120,31611037,27226083,33895198,30697953,16405121,68559708,101745344,23286703,78458641,69617806,46618774,6831037,16167995,37434148,6813814,30620334,27246370,14622058,12624313,12573547
2009,462968293,224141,2339000,4102591,11723672,54828755,30899530,23929226,30944534,29061303,15618462,64770567,105596059,24547644,81048415,64148862,43321409,5876209,14951244,40354209,7658256,32695953,27164229,14489391,12674838,12091908
2010,482163933,195347,2496657,3678064,9027160,53381844,29442465,23939378,33394800,29907393,17104017,73176333,110655198,25094158,85561040,66686013,44827164,6104026,15754823,42181941,8422317,33759625,28219171,15211575,13007596,12059997
2011,500642485,207511,2726194,3893479,10219585,52565793,30232657,22333136,36780568,30481487,17850069,72167022,116001078,26826856,89174222,70401492,47132576,6904510,16364407,44479218,8809931,35669287,30598682,16955859,13642823,12270308
2012,518161393,275372,2780348,4185630,11203051,52053337,28832133,23221204,37360893,32245844,17731232,73267896,121755141,30157612,91597528,72846848,48639986,7161662,17045200,47286795,9210601,38076195,32257823,18624185,13633638,12911183
2013,536844864,210467,2755015,4174433,12872359,55365517,31045349,24320168,39077869,34016556,18841162,78263414,123454497,31057041,92397456,73351797,49175752,7328879,16847166,48336396,9388028,38948368,32892174,18417578,14474596,13233209
2014,559951799,208753,2529019,4274842,14316694,59117241,31920276,27196964,41851883,35045704,20370819,79626243,125612074,33756843,91855232,77214851,51512650,7984174,17718027,49653259,9922655,39730604,36063812,19703985,16359827,14066607
2001,345820585,243777,861128,3012620,9423293,47021717,25794171,21227547,24052467,25249584,11950303,47455988,76467737,21700980,54766757,47990386,30205276,6385249,11399861,23278456,3959302,19319154,18452719,9146916,9305804,10360409
2002,357023349,279088,858309,3223226,9612349,43019911,24721733,18298178,24215165,26275770,12011504,52313927,78725665,22955168,55770497,49521515,31225411,6692951,11603153,25803498,4275904,21527594,20080128,9993296,10086832,11083295
2003,375056638,411208,1073300,3070889,10851166,46397721,26029739,20367981,25186529,28228362,12153828,53249463,80928313,24261589,56666724,52145320,33061056,6727368,12356896,27646072,4693207,22952865,22866556,12428728,10437828,10847909
2004,396428338,322908,1420227,3105429,13939172,47006561,26359302,20647259,27491932,30324641,13415046,57373695,81211291,23032380,58178912,54503678,34524968,7039390,12939319,29771283,5137514,24633769,25109762,13907046,11202716,11432713
2005,416323116,325118,1719486,3113110,15872856,51039107,28901134,22137973,30067180,32049664,14015495,55027750,86921416,25516965,61404451,57560080,36788130,7054726,13717224,30745445,5342888,25402557,25868819,14232305,11636514,11997590
2006,445080218,382109,2331095,3741757,16684503,53247623,29606850,23640773,32516735,33818290,16160386,57692557,93756323,28829423,64926901,62013724,39767772,7360334,14885618,32730559,5834418,26896142,27364724,14802625,12562099,12639833
2007,462015879,287060,2864713,3855032,17796226,54825193,30570823,24254370,33752441,32878329,16484907,62077986,97748976,27980559,69768417,65749559,42331604,7419737,15998218,34010942,6028229,27982713,26900430,14174596,12725835,12784084
