,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2014,963947,54553.0,35153.0,309057,18752,145145,4487,140658,122265,43488,21567.0,3603.0,129119,25305,103814,16784,7887.0,0,8897.0,27747.0,,,22250,1229,21021,14463.0
2015,1207421,127341.0,13824.0,441101,21375,179224,6014,173210,138802,49134,18137.0,3563.0,128196,29141,99054,16136,7615.0,0,8521.0,30379.0,,,24044,1385,22659,16166.0
2016,1162782,188776.0,11938.0,372227,19480,158757,5991,152766,127974,61915,18012.0,3054.0,119299,19979,99320,17649,8014.0,0,9635.0,19707.0,,,27444,1510,25934,16551.0
2017,1086787,126985.0,28831.0,327091,19874,154178,11489,142689,139651,65747,19853.0,3468.0,129115,19382,109733,17358,8342.0,0,9015.0,10378.0,,,27588,1471,26117,16668.0
2018,1323253,251519.0,35558.0,390434,25656,143072,14168,128905,157293,66581,20295.0,6355.0,143148,32827,110321,17216,8783.0,0,8433.0,18680.0,,,30313,2410,27903,17132.0
2019,1190839,74736.0,20691.0,396099,38743,158850,13578,145272,173219,63755,23338.0,6506.0,146456,22307,124149,17198,9693.0,0,7505.0,23050.0,,,30995,3153,27842,17202.0
2020,1370165,213128.0,11071.0,412502,41147,168289,16204,152085,184709,62541,27435.0,5888.0,163646,22588,141059,12058,6038.0,0,6020.0,26050.0,,,24242,1648,22595,17460.0
2021,1282856,75462.0,33678.0,366450,31302,182069,18497,163572,217232,70504,31775.0,,169388,23661,145727,20182,6542.0,48,13592.0,30018.0,,,30533,2428,28106,
2006,660073,192415.0,60630.0,9903,13089,59301,3167,56134,47687,48347,,,65737,11993,53744,79845,,67696,,19242.0,,,23201,807,22394,14615.0
2007,735689,280689.0,72520.0,11915,17669,72967,2940,70027,49656,44270,,,86137,12829,73308,12599,7167.0,0,5432.0,20096.0,,,21790,890,20900,15171.0
2008,1044338,579573.0,85406.0,12045,15374,71478,2512,68966,54972,40017,,4189.0,83247,12471,70776,13571,8026.0,0,5545.0,,,,20386,984,19402,14705.0
2009,1108634,628708.0,40224.0,18372,16855,82090,2755,79335,68556,41946,,,107883,17823,90060,17514,7230.0,0,10284.0,25965.0,,,19609,1043,18566,14857.0
2010,1010664,440313.0,35782.0,30399,69561,78484,2405,76079,81213,44585,,,123382,19674,103708,18507,8031.0,0,10476.0,26637.0,,,19942,1176,18766,15531.0
2011,1157628,399915.0,38630.0,240283,20388,79844,2387,77457,100934,43235,21669.0,4141.0,123683,20520,103163,22983,9216.0,0,13767.0,27463.0,,,19849,1079,18770,14611.0
2012,1048176,231015.0,26963.0,312268,26356,87739,2216,85524,108181,37828,17098.0,4382.0,114908,18905,96004,20429,8598.0,0,11831.0,26458.0,,,20390,1031,19359,14160.0
2013,1164362,311745.0,38305.0,304215,23103,108109,3693,104416,120881,40965,19500.0,4611.0,112450,18778,93673,18371,6823.0,0,11548.0,26483.0,,,21817,1054,20763,13807.0
2001,533406,,,7075,10539,64297,18836,45461,24709,42151,15824.0,3014.0,62469,10386,52083,6945,5062.0,0,1883.0,15693.0,,,21504,774,20731,11176.0
2002,472477,152828.0,14490.0,15105,10638,65868,19800,46069,26087,42498,15675.0,3864.0,65092,12093,52999,7179,5249.0,0,1930.0,18033.0,754.0,17280.0,22962,842,22120,12159.0
2003,681935,275706.0,24318.0,14818,11639,56027,10826,45201,30949,42930,15471.0,3283.0,66329,12830,53499,88057,5052.0,77147,5858.0,19031.0,,,20843,925,19918,12534.0
2004,602294,194654.0,24051.0,9402,13581,54758,4143,50615,36189,45041,16246.0,3616.0,62655,10420,52234,86829,5983.0,77450,3396.0,18812.0,,,23565,1075,22490,12894.0
2005,614875,164080.0,43705.0,8451,14879,61200,4071,57129,44901,46394,,3506.0,66313,10031,56282,83405,6396.0,72915,4094.0,,,,24522,1111,23411,13697.0
