,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2015,240242504,359860,39766,1296332,6249584,56720910,53823559.0,2897351.0,11880719,10338559,1591866.0,55014317,29699576,8102396,21597179,43370925.0,34278792.0,2836711,6255422,15677307,4923225,10754081,5602616,1222919,4379697,2400168
2016,255881938,332519,45882,1134981,7195801,57456303,54798144.0,2658159.0,11182473,10273074,1810444.0,62620723,30449691,7877469,22572222,48008197.0,36821315.0,4281821,6905061,16785948,5342061,11443887,6061482,1344378,4717104,2524419
2017,278672178,310905,56244,2253231,7356815,63583322,61149130.0,2434192.0,10421290,10675039,1882107.0,71583565,32798729,8054939,24743790,50772719.0,39594946.0,3541472,7636301,17900262,5672474,12227788,6476459,1448078,5028381,2601488
2018,303523936,329511,64943,3398417,7653396,69357124,66734959.0,2622165.0,10371482,10956422,2367733.0,77773190,35491508,9647178,25844330,56686233.0,44199066.0,5811797,6675369,19278817,6027473,13251344,6998934,1613382,5385552,2796226
2019,322083854,306372,53200,3206964,8288923,71371160,68542670.0,2828491.0,10859633,11057047,2454703.0,85151992,39382225,10099008,29283217,59445123.0,47990723.0,4644698,6809701,20173182,6178071,13995111,7452747,1696360,5756387,2880582
2020,341499188,298146,55530,2947890,7955971,79407028,76651952.0,2755076.0,10880317,10922354,1838478.0,92365868,41813702,10690892,31122810,65590134.0,52644360.0,6290485,6655289,20186476,5773706,14412770,4791245,1035380,3755865,2446051
2021,392555214,336818,56127,3232409,8183381,90122237,86914535.0,3207702.0,12109620,12044563,4855063.0,109238303,47114964,13829008,33285956,74572388.0,59810428.0,7276639,7485321,21776388,6088459,15687929,6098064,1291084,4806980,2814890
2008,148836733,206757,46122,647950,4920864,39899208,,,10297514,7012383,1082063.0,19791675,20726871,3828830,16898041,28167178.0,22479441.0,1315935,4371802,10387588,3007480,7380107,3544753,905398,2639355,2105805
2009,146819022,320318,37746,491432,4018330,40215983,,,9182366,6629019,954248.0,19969117,21831875,3990071,17841804,26484563.0,20929719.0,1497730,4057114,11230077,3351626,7878451,3367574,937182,2430391,2086375
2010,159493229,363427,33049,603661,3399988,43594839,41555536.0,2039303.0,9757917,7252190,1016788.0,25183868,22675655,4174554,18501100,28274261.0,22326116.0,1598569,4349576,11688975,3570852,8118123,3558143,1002830,2555313,2090468
2011,173309536,302329,38259,628117,3355982,46455069,44389203.0,2065866.0,10815840,7689396,1023878.0,29809436,23887838,4970348,18917491,31180336.0,24786466.0,1497213,4896658,12219339,3779241,8440099,3776473,1023296,2753177,2127243
2012,182333365,334510,47178,764707,3977116,49480533,46757046.0,2723487.0,10740343,8547734,,29406345,25415485,5728477,19687008,,,1807641,5684727,13028420,4017487,9010934,3953871,1098461,2855410,2148805
2013,201866788,297402,50960,953464,4701769,51689898,48289508.0,3400390.0,11214645,9347232,1250495.0,40603999,26588885,6224051,20364834,34781350.0,27520081.0,2178791,5082478,13884647,4285832,9598816,4341218,1144093,3197125,2160823
2014,217938061,300533,53834,1046309,5219083,54221164,51019822.0,3201342.0,11646704,9595678,1421117.0,45978519,28638057,7442400,21195657,37959345.0,30044822.0,2307961,5606562,14688627,4569414,10119213,4892442,1145895,3746548,2276649
2001,112857462,460723,25413,1084086,4181761,35961841,33410820.0,2551020.0,6613902,6109884,1047660.0,7442430,16165969,3651031,12514938,23092862.0,17018864.0,2552569,3521430,5946021,1722518,4223504,2935473,751991,2183482,1789437
2002,105843146,273405,28843,922231,3793534,31424773,29455612.0,1969162.0,6098870,5891031,955544.0,8202756,16974946,3898778,13076168,19799565.0,14807503.0,2042448,2949614,6563292,1881467,4681825,3040040,875535,2164505,1874315
2003,110134084,214175,28842,679215,3643600,32788227,30905212.0,1883015.0,6363459,6088882,912029.0,9844032,17030820,3826511,13204309,20729283.0,15811903.0,1866600,3050780,7010679,2062705,4947974,3045374,1022690,2022685,1755466
2004,113716839,204842,24560,208275,3846804,31558522,29766205.0,1792317.0,6750294,6128754,945302.0,13010845,16771441,3341637,13429803,21525562.0,15586006.0,2598199,3341358,7645902,2275627,5370275,3226437,931650,2294787,1869299
2005,121379912,159727,27181,605680,4298314,35421142,,,7808012,6335054,1024575.0,14354005,17492201,3561838,13930363,20808233.0,16196247.0,1234064,3377922,7977188,2336733,5640455,3110734,899739,2210995,1957867
2006,130456026,184455,52238,977420,4720119,36692182,,,8899912,6655973,1120742.0,16710908,18152667,4064655,14088012,22337998.0,17726284.0,1056290,3555425,8622528,2538462,6084066,3256645,864794,2391851,2072238
2007,142582550,180953,50113,831030,5288269,40191222,,,10166533,7303950,1073488.0,17176290,19317333,4125039,15192293,26368198.0,20822185.0,1389548,4156465,9161541,2686351,6475190,3371462,811090,2560372,2102167
