,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2014,20653813,1482207,583610,85084,795669,2077758,1623270,454488,920502,1499978,282587,1194909,4811838,855390,3956448,2953646,1838484,384688,730473,2077462,261435,1816027,1393677,262238,1131438,494888
2015,21738847,1553601,388439,65859,958671,2295626,1782409,513217,1015208,1525073,277342,1490922,4882932,941492,3941440,3022022,1914928,397696,709398,2225727,254586,1971140,1521556,261317,1260240,515871
2016,22060811,1512457,314747,51899,967937,2434641,1918275,516365,978042,1503260,277267,1385883,5102792,846111,4256681,3070525,1961933,412404,696188,2354523,267945,2086578,1588015,269470,1318545,518824
2017,23232193,1425533,422991,53468,1001054,2672402,2151973,520429,1013513,1519346,289288,1743836,5278791,884850,4393940,3204665,2082560,394186,727919,2447687,265594,2182092,1640297,289459,1350839,519324
2018,24673056,1551787,426187,68214,1069788,2744747,2210360,534387,1121319,1566586,323921,1936134,5572916,956004,4616913,3555230,2237025,521244,796961,2506662,282660,2224003,1654939,290489,1364450,574625
2019,25235171,1440934,380839,66060,1160943,2831913,2262927,568986,1102157,1597717,328133,1705589,5943922,973403,4970520,3791407,2390287,545963,855156,2608313,297791,2310522,1656505,309671,1346834,620739
2020,25668612,1538285,269654,70020,1111279,2778351,2248299,530051,1036086,1630949,303216,1986941,6242754,1018054,5224701,4206884,2436498,623230,1147156,2658983,244028,2414955,1248665,228985,1019680,586543
2021,28543727,1625680,352687,63758,1154245,2983836,2405298,578538,1190565,1821420,374335,2196626,6567634,1122259,5445375,4901153,2755357,852730,1293066,2895694,257464,2638229,1714292,324794,1389498,701802
2006,15896517,882800,382148,83911,1031312,1698145,1292767,405378,651045,1464617,218939,986777,3395741,846268,2549473,2294565,1432765,251896,609904,1354745,180161,1174584,935912,216383,719528,515860
2007,16771170,826140,513426,83214,1071945,1687543,1310845,376697,744990,1415350,204858,1223616,3619720,837463,2782257,2434881,1527395,285413,622072,1447781,192433,1255349,968676,201862,766815,529030
2008,17464302,796916,571880,83189,978709,1779269,1427311,351958,736442,1319318,210022,1111503,4120313,732237,3388076,2636830,1704947,277974,653909,1598164,210696,1387468,981136,202654,778482,540612
2009,17864141,1332266,410968,91846,988852,1790671,1429751,360919,669981,1275516,216973,886501,4474353,752480,3721873,2553110,1607782,301152,644176,1710954,229756,1481198,941834,200815,741019,520317
2010,17980170,1188294,409427,80514,1016023,1762108,1420543,341565,674913,1298862,228343,843073,4499173,703836,3795337,2754878,1701603,340473,712802,1784408,226690,1557718,955199,220114,735086,484956
2011,18472089,1025224,519050,84367,952587,1822261,1490157,332104,759193,1335421,238947,944169,4526372,795884,3730488,2909675,1793057,337859,778758,1878262,241966,1636295,1021642,225011,796631,454918
2012,19345504,1228154,588960,74186,744156,1897189,1521101,376088,798681,1407512,254249,1071063,4689142,857972,3831169,3051983,1845271,314530,892183,1914889,245669,1669220,1176175,235036,941139,449166
2013,20026441,1418483,626973,80403,758796,2011494,1608986,402508,874743,1451035,262677,1181533,4777523,823934,3953589,2892284,1811083,345583,735618,1978664,249328,1729337,1249078,241930,1007148,462753
2001,11815054,483696,206764,56666,549723,1356856,1062308,294547,465878,1155911,126387,573744,2924963,617321,2307642,1694065,1058617,200895,434553,986229,137795,848433,797736,184162,613574,436435
2002,12519440,653883,167958,70295,554512,1277337,1001634,275703,443562,1241474,125365,575071,3163955,705024,2458931,1851411,1171641,186519,493251,1064895,129443,935452,859675,208039,651636,470047
2003,13337066,758257,196787,78053,694049,1434353,1113497,320856,440309,1319028,134753,629239,3216998,768923,2448075,1986893,1221150,225540,540203,1145674,151886,993788,846812,224488,622324,455862
2004,14278671,717613,226285,81281,913394,1397735,1047170,350565,506901,1417318,169859,736564,3262522,757596,2504926,2079946,1289548,233310,557088,1259060,177623,1081436,1033589,227418,806171,476604
2005,15239281,754281,278748,72190,1043677,1604541,1201752,402789,559547,1432041,205746,904816,3399273,796999,2602274,2256983,1375696,245410,635877,1288037,180094,1107943,945722,225201,720521,493677
