,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2015,57554713,257561.0,43216,926128.0,3431540,3728891,2577719,1151173,4144927,4625561,1806475,2138995.0,13978240,4734008,9244231,10132450,6474701,1013947,2643803,7829579,717261,7112318,2590948,522698,2068250,1920201
2016,59272090,285505.0,46573,1126623.0,3823793,3296332,2189117,1107215,4283182,4794606,1796214,2016975.0,14030354,4387858,9642496,10823722,6647895,1112855,3062972,8129038,698745,7430294,2796960,562338,2234622,2022213
2017,62859303,310405.0,64683,1040227.0,4233849,3300427,2174522,1125905,4706069,5001344,1885825,2105168.0,15260612,4581479,10679133,11312115,6874175,1217473,3220466,8512709,737215,7775495,3001787,643007,2358779,2124082
2018,67348061,334626.0,75790,1120376.0,4759976,3561235,2304595,1256640,4974278,5214348,2137992,2283831.0,16467480,5112823,11354657,11845427,7249840,1231053,3364534,9089875,757044,8332832,3170643,644551,2526092,2312184
2019,71641449,281599.0,65389,1059360.0,5567512,3768452,2400670,1367782,5298917,5430714,2412333,2225525.0,17255334,5342228,11913106,12459166,7760467,1268461,3430239,10051431,1014944,9036487,3360152,632183,2727969,2405565
2020,71273718,,84154,,5634652,3778946,2485397,1293549,5113220,5699074,2029996,,17384266,5561450,11822815,12804068,7979375,1342126,3482568,10397486,966182,9431304,2424511,383984,2040527,2224586
2021,78602621,312804.0,96646,1446801.0,6286961,4142088,2680120,1461968,5950123,6532086,2561204,2475918.0,18152574,5664941,12487633,13736205,8443975,1427274,3864957,11251432,1039221,10212211,3201636,535520,2666116,2456143
2008,49157084,205648.0,179543,684122.0,3147821,3922456,2920841,1001614,2431357,3832543,1402426,2804232.0,12602294,3743405,8858889,8756115,5852448,805982,2097685,5574358,549873,5024485,1886162,413692,1472470,1728008
2009,48250344,253802.0,98347,724553.0,2615843,3822648,2750263,1072385,2171285,3613135,1313033,2496460.0,13597194,4714725,8882469,8204762,5492487,836410,1875865,5894146,614724,5279422,1767436,412655,1354781,1677701
2010,47296826,194540.0,73234,777801.0,2004644,3418204,2437738,980465,2257836,3787026,1480324,2443752.0,12935665,4016264,8919402,8694671,5732430,898788,2063453,5903207,652858,5250349,1694733,369496,1325237,1631188
2011,48134758,177211.0,54734,749002.0,2005648,3713632,2751209,962424,2522826,3878513,1358590,2452676.0,12564108,3694689,8869419,9018999,5980955,880034,2158011,6267550,680624,5586926,1708618,347232,1361387,1662649
2012,49906961,215715.0,50252,761302.0,2132206,4007556,2936295,1071262,2821898,4077840,1426189,2406105.0,12377849,3781517,8596332,9281573,6014623,872518,2394432,6745457,697704,6047753,1898918,431273,1467645,1704101
2013,52215869,220080.0,50817,850540.0,2624168,3848368,2757441,1090927,3249026,4359444,1516006,2428128.0,12984313,3902113,9082200,9323485,5900054,947313,2476117,6994022,664626,6329395,2022940,406699,1616241,1744532
2014,54095506,268672.0,60145,874564.0,2898733,3637355,2570343,1067013,3613689,4387659,1654130,2132545.0,13441961,4366614,9075347,9804051,6173406,965532,2665113,7214700,683131,6531568,2241890,440048,1801842,1865412
2001,35014557,97813.0,71486,233829.0,2427417,3385455,2509128,876327,1783014,3800380,751463,1983819.0,9067492,2978747,6088745,5494566,3354292,656140,1484134,3080666,288290,2792376,1470916,267292,1203625,1366240
2002,36741001,45275.0,72574,345788.0,2609423,3079735,2254525,825211,1826169,4004744,706777,2262058.0,9742971,3282291,6460679,5590271,3536825,615099,1438348,3343790,323932,3019858,1621431,300517,1320914,1489993
2003,39374872,104170.0,108996,335091.0,2918622,3285643,2405358,880285,1965887,4177110,679304,2426270.0,10736110,3788660,6947450,5666230,3493745,629948,1542537,3681691,363514,3318177,1775925,382988,1392937,1513824
2004,42046200,183850.0,92528,346809.0,3413646,3269434,2388914,880519,2134286,4396804,1005247,2742066.0,11107831,3683859,7423972,5764947,3515864,557325,1691758,4103894,431700,3672194,1875493,420909,1454584,1609367
2005,45935893,217316.0,116990,337864.0,3895813,4111329,3227567,883762,2308064,4517858,1121448,3012837.0,12089264,3968804,8120460,6364258,3807027,628052,1929179,4346417,410503,3935914,1824548,394404,1430143,1671888
2006,48739260,113251.0,160963,555122.0,3863668,4463520,3525966,937554,2530933,4509220,1313381,3040107.0,13103240,4465726,8637514,6701722,4113208,572435,2016079,4781342,453310,4328031,1879440,386976,1492464,1723351
2007,49935793,226119.0,193862,660382.0,3842868,4068635,3124202,944433,2535208,4209288,1344481,3224141.0,13046989,4077657,8969332,7971998,5215046,606045,2150907,5050695,497413,4553282,1829440,346496,1482943,1731687
