,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2014,1537850,98478,9051,208119,67517,44289,6825,37464,30462,140533,15090,44415,436559,35559,401000,167603,34165.0,106544.0,26894.0,187713,1651,186062,37224,2225,34999,50798
2015,1546991,81430,8315,178252,73063,52739,6185,46554,28814,149359,15963,45597,449125,34686,414439,162712,35228.0,107934.0,19551.0,209415,1731,207684,41464,2528,38936,50743
2016,1542669,79906,10117,161006,93194,65107,7732,57375,22372,153820,17002,40842,410383,37110,373274,171067,34200.0,114311.0,22556.0,226062,3635,222427,40367,2815,37552,51425
2017,1605525,79854,17269,173891,100706,64334,7830,56504,17388,160778,21769,32963,532435,35087,497347,69264,35599.0,8084.0,25581.0,238326,4200,234127,43116,3413,39703,53433
2018,1731200,89179,35474,186425,114833,48330,7759,40570,17288,168295,23680,35572,475541,36930,438611,188528,35122.0,124888.0,28517.0,247077,4195,242882,44575,3739,40836,56403
2019,1800242,85369,41115,158859,124228,66147,7975,58172,16350,174875,28036,28769,515830,36050,479780,192568,34799.0,128372.0,29397.0,259633,3906,255727,50854,3497,47357,57607
2020,1831680,94419,20353,188695,109771,67546,7840,59707,15087,180830,25195,31439,521808,37169,484639,209959,36868.0,140084.0,33007.0,268758,1919,266839,42203,3218,38985,55615
2021,1950293,85140,21847,200517,117515,69149,7788,61361,17132,194623,52288,35433,528920,39664,489257,225406,40817.0,145476.0,39113.0,286347,1558,284788,54905,4058,50847,61073
2006,1260814,32227,8761,152078,90552,47811,22385,25425,18804,140067,20507,19565,347449,31520,315929,131601,39716.0,72320.0,19566.0,153183,1756,151427,42898,3610,39288,55310
2007,1303551,24639,12826,166876,93899,32139,7757,24382,19357,135172,20577,23727,386841,29165,357676,136907,38229.0,78021.0,20658.0,158246,2373,155874,39544,3258,36285,52800
2008,1315079,28703,10083,178131,80044,34117,6857,27260,21264,127669,18480,24079,387295,30231,357064,143376,41233.0,78135.0,24009.0,175712,2008,173704,37997,3331,34666,48128
2009,1259705,27443,10206,183037,73862,35626,5710,29916,19809,133268,13958,20470,403059,31265,371794,65730,36950.0,4224.0,24556.0,188187,2129,186058,35810,2346,33464,49241
2010,1341861,34459,8472,190630,90067,33231,5846,27385,20760,133303,15269,23324,452105,31289,420816,68215,35647.0,3956.0,28612.0,185351,1321,184031,34590,1953,32637,52086
2011,1362857,50301,8239,201748,73965,32734,6495,26239,30111,129295,17391,26736,449974,32684,417290,66376,35775.0,3867.0,26734.0,193007,2517,190491,34138,1744,32394,48842
2012,1370932,104653,8190,204206,68696,37127,6887,30240,31331,127967,16879,35315,409065,32583,376482,65468,32609.0,3931.0,28928.0,179055,2095,176960,35994,2135,33859,46986
2013,1383981,103315,7987,201888,65609,38487,7053,31434,32549,136603,15442,42489,414860,31827,383033,63809,32437.0,4917.0,26455.0,181538,1786,179751,34240,2329,31911,45166
2001,850113,37074,3957,67310,65649,36991,12078,24913,16463,103949,14682,10079,237974,29975,207999,69851,35112.0,11286.0,23453.0,88053,1116,86937,50362,4767,45595,47718
2002,1015373,23220,4651,154114,70107,36353,11005,25347,17864,106967,15046,8883,280343,34516,245827,76497,40455.0,10921.0,25122.0,114178,1229,112949,53370,3438,49932,53782
2003,1022588,21654,3801,148940,72067,33330,10317,23013,18363,113878,14517,10446,294104,37512,256592,60712,,,22473.0,127611,1641,125970,54729,3996,50733,48436
2004,1059319,18777,5234,153984,80939,34061,12454,21607,18410,126117,16232,12745,299122,26446,272676,57666,37568.0,,,137226,2007,135219,50460,4817,45643,48346
2005,1094620,18743,5913,144916,83009,36284,15968,20316,20301,132380,17080,14446,326099,26244,299855,58486,38351.0,,,142386,1611,140775,44271,3763,40508,50306
