,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2014,791090,254881,17890,8153.0,30128,92138,46552.0,45586.0,47705,50865,34268,,149991,27946,122045,21954,11576,0,10379,,,,21995,3651,18344,25658
2015,763523,222874,7880,9269.0,36719,91629,51664.0,39965.0,56319,56352,38069,194.0,132490,28101,104389,22276,13197,0,9078,35750.0,,,26641,3926,22715,27062
2016,812271,268496,7165,9916.0,35339,91855,55317.0,36538.0,55528,59232,39228,106.0,123646,26516,97130,27390,12415,0,14975,37736.0,,,28393,4372,24021,28241
2017,800362,213710,11323,10187.0,38193,100912,64435.0,36477.0,53042,60202,41456,3839.0,142180,27203,114977,26672,13119,0,13553,39895.0,,,28358,4227,24131,30392
2018,914744,306303,9145,9886.0,39946,102072,65688.0,36384.0,54406,60506,42938,,146530,31216,115314,28733,14552,0,14181,,,,30479,5010,25469,31039
2019,957580,174027,8903,11614.0,40953,122793,73990.0,48803.0,57312,65583,42699,15545.0,157104,30297,126807,151004,15405,120184,15416,46034.0,,,34776,6062,28713,29233
2020,1037750,225569,13813,10797.0,43829,121384,77914.0,43470.0,60253,77073,40931,8724.0,163444,29947,133496,166334,17447,131979,16908,49611.0,,,27289,3533,23756,28699
2021,1011942,120016,18133,11725.0,53008,132529,87638.0,44891.0,64738,92508,48669,9218.0,169659,31589,138070,170839,15760,137002,18076,53182.0,,,37054,6161,30894,30663
2006,535878,108667,51298,8846.0,29756,49849,38857.0,10991.0,38468,47974,33483,2866.0,83435,13411,70024,14651,10421,0,4230,22802.0,,,18761,1821,16940,25021
2007,771902,301322,65707,7784.0,30172,48146,,,44073,45560,34632,,109441,13819,95622,14236,9550,0,4687,,,,19372,2000,17372,24174
2008,823479,351221,76412,9147.0,26918,45188,,,42906,41134,37427,,104362,14692,89670,14431,9677,0,4753,,,,23076,2470,20606,22982
2009,813262,354089,50850,8744.0,28668,47705,,,38866,37981,32356,,125622,18449,107173,14633,9071,0,5562,,,,20990,2811,18179,22929
2010,797558,298169,47775,9881.0,40347,48268,,,39810,40732,32945,,148030,20980,127050,16547,9795,0,6752,,,,20817,2917,17900,22477
2011,836052,352290,34407,9535.0,35680,49298,32357.0,16941.0,39738,42101,34183,,144891,23781,121110,16743,10635,0,6108,,,,21044,3045,17999,20760
2012,803134,345010,22098,7842.0,26970,53171,33826.0,19346.0,37311,46222,34618,,133024,22406,110618,16540,11054,0,5487,,,,20387,3485,16902,22383
2013,914221,421654,16514,,28574,77354,40618.0,36736.0,40286,48386,34031,,135171,22396,112774,20135,10496,0,9639,39461.0,,,20677,3460,17217,23274
2001,478201,135599,26015,5001.0,26526,44403,,,27199,40947,26813,2972.0,78596,11294,67302,15749,11336,0,4413,14998.0,,,15041,582,14459,18343
2002,469608,124605,15216,6343.0,26691,43216,,,28178,42144,27067,,85041,12933,72108,15720,11011,0,4708,,,,16090,625,15465,20616
2003,507088,150052,21838,6376.0,25568,45346,,,28673,43023,26589,,87216,13855,73361,14595,10501,0,4095,,,,16594,863,15731,20645
2004,563452,201124,25402,6705.0,25410,45595,,,31027,41798,28163,,83352,10319,73033,14469,10364,0,4106,,,,16223,1619,14604,21988
2005,597470,199172,39502,7084.0,28260,45755,37611.0,8143.0,35159,45662,30463,2638.0,87657,10060,77597,14034,10107,0,3927,20919.0,,,17533,1775,15758,23634
