,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2014,1629009,183016.0,3801,,104858,338670,103329,235342,,199011,32069.0,8863.0,346918,47595,299323,205241.0,,,60755,60157,4124,56033,48627,9403,39223,43314
2015,1746642,188990.0,2642,7174.0,137565,344445,107985,236460,,202180,33991.0,,390538,49138,341400,212797.0,,,63546,61589,5068,56521,56217,9162,47055,46554
2016,1775773,196355.0,5626,7787.0,167798,354758,110292,244465,,195286,37177.0,,343587,49296,294290,232392.0,,,78259,67036,5356,61681,62402,9514,52889,50619
2017,1920792,182993.0,41898,,195555,464441,122735,341706,,103156,42746.0,10808.0,393885,50966,342919,252069.0,,,91290,65506,6147,59359,64402,7822,56580,54076
2018,1998076,202092.0,5459,,230948,497046,135587,361458,,108439,41425.0,10740.0,376095,54624,321471,,,,85748,67999,6573,61425,69906,7601,62305,58498
2019,2207621,172321.0,4558,,261776,563081,133985,429096,,116880,40417.0,10904.0,461056,54497,406559,,,,85757,71764,6630,65134,79508,8153,71355,61188
2020,2205866,170401.0,2687,,225201,521494,132512,388981,,123743,41153.0,9827.0,537750,57649,480101,,,,91319,73502,5357,68145,64624,4006,60618,56540
2021,2537989,192002.0,3829,,225921,585769,167130,418639,,142038,48574.0,10330.0,666901,63028,603873,310954.0,,,111889,82803,5572,77231,87104,5690,81414,63330
2006,1403773,,2721,2560.0,119221,303870,158762,145109,57566.0,142718,,11410.0,266566,37271,229294,62146.0,27861.0,6355.0,27930,43642,3784,39858,45734,10192,35542,44304
2007,1433749,,3833,2297.0,118923,331013,164242,166771,61171.0,129573,,12781.0,287114,41100,246014,60735.0,26248.0,3191.0,31296,46787,4207,42580,44705,9573,35132,42591
2008,1337897,154945.0,3755,3134.0,103137,329544,135447,194097,62549.0,133789,,11391.0,320725,39717,281008,,,,28276,49490,4336,45154,42229,9743,32486,38627
2009,1387938,173796.0,3514,3380.0,79125,367835,106647,261188,55369.0,134497,,10384.0,351885,40906,310979,,,,30831,49065,4121,44943,38478,9029,29449,37853
2010,1436776,136934.0,2817,3597.0,70262,385767,99307,286460,56255.0,145808,,11447.0,405345,42789,362556,,,,35985,50589,3984,46605,36390,8463,27927,37529
2011,1478226,120210.0,1649,4256.0,77616,413130,110447,302683,57520.0,166795,,10759.0,405351,43539,361812,,,,38737,51349,4176,47173,38167,9082,29085,39594
2012,1532315,140038.0,1879,3937.0,79911,464781,94367,370413,56906.0,176128,,9165.0,353358,41763,311595,,,,57221,51572,4021,47552,42995,9822,33174,40880
2013,1549675,182335.0,1652,,100188,400406,99332,301074,,188134,29642.0,8795.0,346352,40706,305646,,,,56654,56737,3954,52783,44759,9594,35164,40304
2001,1003111,,3503,2971.0,85983,189642,109585,80057,49190.0,122011,,9451.0,227853,34497,193356,49425.0,32009.0,3103.0,14313,34762,2742,32020,42018,10771,31247,32564
2002,1063057,,2897,3078.0,88046,188422,113982,74440,47986.0,120172,,10144.0,253898,42653,211245,53432.0,30256.0,3583.0,19593,35694,2739,32955,47715,12021,35694,35911
2003,1189749,,2303,3011.0,96793,218538,126388,92151,46504.0,128511,,10690.0,259069,42321,216747,64923.0,29320.0,8031.0,27572,39541,3126,36415,50301,10673,39628,36676
2004,1244480,,1765,3128.0,104181,237842,127947,109895,49579.0,138372,,11554.0,259678,30208,229469,58440.0,26059.0,7044.0,25338,42261,3513,38748,49332,10450,38881,39311
2005,1277531,,1963,2715.0,112921,275790,150645,125145,48616.0,139721,,11889.0,276763,29015,247749,57637.0,25280.0,5786.0,26571,43623,3558,40066,45658,10434,35224,41920
