,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2014,63209105,,247298,2621841,2649489,15061159,968516,14092643,3219328.0,3074117,,3721354.0,14397992,4120334,10277658,8276318,4989959,1489033,1797325,5666116,541164,5124952,1778769,428846,1349923,1337646
2015,63540332,,256553,2628690,2991077,12511424,1046587,11464837,3571304.0,3268529,,4414758.0,15084091,4491263,10592828,8112481,4802078,1490052,1820352,6106224,564799,5541425,1975386,420191,1555195,1399131
2016,60724796,,203251,2466852,3419440,7619017,1072600,6546417,3412364.0,3314295,,4669050.0,15791183,4588468,11202714,8410695,4889363,1490891,2030441,6570605,622941,5947664,2166049,469538,1696511,1458662
2017,66163408,,40800,2339841,3854571,10752528,1177162,9575367,3273681.0,3422987,,4691709.0,17034341,4871404,12162938,8788195,5013327,1489456,2285413,6884337,653913,6230424,2290923,503945,1786978,1500996
2018,74891136,,52196,2842564,3992335,16497470,1197262,15300208,3216931.0,3499234,,4745140.0,18254532,5328756,12925776,9320242,5336074,1578957,2405210,7144516,670870,6473646,2381244,527975,1853269,1609872
2019,75286957,,38571,2824113,4161519,14050815,1259454,12791361,3232832.0,3587205,,5788453.0,18933811,5410986,13522824,9683553,5540300,1677277,2465976,7486271,703025,6783246,2457396,581314,1876082,1647201
2020,66006265,74033.0,56268,3051209,3715836,6200558,1322917,4877641,,3626136,,5010077.0,19441990,5558528,13883461,10044590,5786806,1773532,2484252,7484521,643361,6841160,1728542,315313,1413229,1426833
2021,74516507,58829.0,87865,3706949,4052721,9378823,1475813,7903010,,4225755,,,20174137,5779903,14394234,10915384,6366089,1693370,2855926,8222657,675343,7547314,2279035,420496,1858539,1594899
2006,60042953,106899.0,341558,1137956,3661717,22401740,1108810,21292930,1756249.0,3246726,1207883.0,2728242.0,11381084,3865006,7516077,5833333,3737151,844358,1251823,3607334,362679,3244655,1370313,298484,1071828,1261921
2007,60750585,,445746,1337625,3389272,22552368,1098128,21454241,1792420.0,3244410,,2976545.0,11396626,3531300,7865325,6206010,3888943,927791,1389276,3886529,376722,3509807,1391421,314963,1076459,1250694
2008,74302795,60117.0,497027,1330094,2592972,35789498,1144363,34645135,1833943.0,3320636,676354.0,2958877.0,11571275,2953322,8617954,6756861,4279127,1057696,1420038,4318105,403437,3914668,1410214,294724,1115490,1186823
2009,58470827,50390.0,445355,1792033,2023413,20306952,926284,19380668,1695936.0,3016613,677269.0,2654025.0,12456169,3238476,9217693,6269403,4002660,920443,1346300,4624745,440624,4184121,1293016,296828,996187,1165508
2010,56874805,69460.0,388750,1921501,1643796,17960477,882571,17077906,1772691.0,3081599,793742.0,2709259.0,12767955,3407683,9360272,6226624,4213042,677958,1335624,5040458,468769,4571689,1341416,353406,988009,1157079
2011,55449412,90339.0,476456,1962874,1704462,15145294,827166,14318128,1930478.0,2943599,909839.0,2967904.0,12741232,3442451,9298781,6694348,4424445,824896,1445006,5222724,500321,4722404,1450375,387188,1063186,1209488
2012,57605094,79256.0,526348,2288082,2138131,14745170,897170,13848000,2049370.0,3009326,908523.0,3192279.0,13438673,3706295,9732378,6964565,4602738,782949,1578878,5433625,518883,4914742,1618524,437992,1180532,1213223
2013,58207891,,497218,2404222,2583756,12573177,979822,11593355,2568218.0,2992139,,3585385.0,13866508,3898011,9968497,7575269,4782649,1235808,1556813,5516986,536876,4980110,1637556,393134,1244423,1263044
2001,40698800,,524975,412722,2664746,9284329,959138,8325191,1857777.0,3074368,,2763012.0,9045273,2765870,6279403,4674607,3165164,496303,1013141,2402737,275719,2127018,895925,209279,686646,1281187
2002,40113274,85806.0,174232,1116916,2768204,6637170,877618,5759552,1888625.0,3142154,1755917.0,2934414.0,9690929,2987908,6703021,4870561,3283246,586456,1000860,2689505,287008,2402497,999767,243873,755894,1359075
2003,42411598,116325.0,165791,1149597,2818958,8720721,849738,7870983,1829573.0,3046711,2154833.0,2310792.0,10017880,3382844,6635036,4760342,3250284,487669,1022388,2903457,304782,2598675,1086895,276195,810700,1329723
2004,46641012,85871.0,259648,1273148,3174034,11277953,1085823,10192130,1764649.0,3000700,2190911.0,2751747.0,10166663,3343224,6823439,4936541,3299214,548301,1089026,3216881,316219,2900662,1115948,256328,859621,1426318
2005,56240452,89703.0,280215,1145690,3563392,19778657,1065364,18713293,1811064.0,2988989,1872307.0,2686915.0,10938306,3750182,7188123,5213475,3487937,581499,1144039,3367249,324646,3042603,1274022,328442,945580,1230469
