,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2014,17247493,229833.0,87098,449509,1013190,5789391,506449,5282942,847605,1111320,304427.0,221762.0,3243160,487770,2755390,993199,450435,183672,359092,1998166,127800,1870366,587626,150242,437384,371207
2015,17815663,224403.0,54640,472715,1120211,5774001,547241,5226761,923829,1237192,338384.0,249030.0,3203497,502553,2700944,1047934,477290,183697,386947,2167332,131801,2035530,613074,122269,490805,389420
2016,18142634,203891.0,50371,462386,1220739,5687927,598584,5089343,808205,1297483,376788.0,264548.0,3288493,503965,2784528,1179827,464753,189925,525149,2245187,146260,2098927,657033,132941,524092,399756
2017,18992035,152332.0,99287,465186,1333145,5858051,702314,5155737,773366,1336888,401080.0,269911.0,3579731,527263,3052468,1285771,493764,227206,564801,2333753,150496,2183257,684238,131572,552666,419296
2018,20907157,224450.0,115710,506280,1494231,6842135,784699,6057437,808337,1368539,446248.0,289982.0,3809063,566985,3242079,1383095,542633,218029,622432,2440179,162642,2277537,728472,130823,597648,450435
2019,25253695,112482.0,101541,485462,1857774,10502254,772673,9729581,819446,1385119,464056.0,277744.0,3974224,573017,3401207,1304818,553684,220593,530541,2683946,172936,2511010,778333,123781,654552,506497
2020,25876394,107553.0,79301,537547,1596080,11392138,742394,10649744,824540,1424673,446849.0,253221.0,4131587,603507,3528080,1280798,546514,229803,504480,2761238,160658,2600580,574502,59563,514940,466368
2021,28642342,219900.0,110819,668059,1780174,12657766,741254,11916512,892608,1608444,524845.0,266992.0,4317935,607031,3710904,1480944,662044,224547,594353,2860650,164447,2696203,736714,88740,647975,516491
2006,11466671,156317.0,136278,176790,1099071,2131150,408465,1722685,550919,1234661,349484.0,216097.0,2486947,389610,2097337,911100,338106,180818,392177,1203030,74541,1128489,417942,88380,329561,396886
2007,12384993,191360.0,171984,202318,984481,2812566,448728,2363838,598706,1123213,333320.0,222035.0,2689694,396659,2293035,969607,359711,186757,423138,1292660,81537,1211122,413424,91882,321543,379627
2008,13881498,310561.0,213486,215422,859407,3852048,414277,3437772,628165,1047600,362170.0,225697.0,2842580,381054,2461526,1099111,418055,223372,457684,1435366,95793,1339573,427698,90536,337163,362188
2009,13256882,201995.0,110987,219417,819531,3231906,401446,2830460,598023,981929,346976.0,211769.0,3163245,444571,2718675,1070318,425886,227478,416954,1541976,109956,1432020,409885,88497,321389,348926
2010,13566201,159401.0,139489,285120,953438,3125050,392689,2732361,662473,995751,319007.0,230590.0,3221418,451910,2769507,1032803,404556,213014,415232,1673191,109868,1563324,418500,89748,328752,349971
2011,13587016,189046.0,113637,301001,1040858,3007518,396628,2610890,705455,1010117,327256.0,213951.0,3222536,512633,2709904,940476,395044,199943,345490,1724103,106599,1617503,451111,99859,351252,339952
2012,15549920,253237.0,82511,388867,965630,4778803,441650,4337152,720620,1035380,324268.0,211173.0,3193892,510363,2683529,937032,390117,196392,350523,1829463,105735,1723728,477776,106239,371537,351268
2013,16742175,226793.0,102346,450394,1024726,5603941,504602,5099339,785754,1089295,285687.0,227727.0,3187357,486646,2700711,957606,410008,203567,344030,1912812,110373,1802438,536534,140313,396221,351205
2001,8708321,61148.0,93205,31464,724576,1778585,381143,1397442,338435,1075158,,,1988443,250305,1738138,799917,275887,249576,274453,780715,45835,734881,371836,56606,315230,320949
2002,8729968,,47660,49772,757938,1272492,357079,915413,355899,1151474,,144105.0,2180661,302486,1878174,833261,285303,253140,294819,858939,49502,809437,407941,67561,340380,341455
2003,9466518,138710.0,74942,109750,775467,1437406,361045,1076361,398896,1237635,211275.0,164881.0,2380736,361348,2019388,804330,280494,203255,320581,961616,63666,897950,430452,64489,365962,340422
2004,9887229,125418.0,87799,139360,888456,1450897,353213,1097684,433718,1218798,276342.0,186017.0,2401170,321612,2079559,838179,295173,186105,356900,1042405,70040,972365,430382,77651,352731,368290
2005,10817354,158067.0,111081,125890,1010697,1822268,398707,1423560,488147,1226029,314037.0,197786.0,2611192,358249,2252942,869490,304270,175387,389833,1108030,72204,1035827,396654,74735,321919,377986
