,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2014,8535127,406201.0,4963,25723.0,479395,2161091,183720,1977371,444055.0,463966,161006,110142,1805759,356838,1448922,808948,381114,164346,263488,725248,87395,637853,736838,73246,663592,201793
2015,9149122,328891.0,5001,25451.0,581312,2405029,181639,2223390,516563.0,499281,182109,110153,1841605,369651,1471954,870788,427968,160978,281842,747041,90389,656652,822673,66119,756554,213227
2016,9505852,376117.0,5334,27023.0,601102,2538531,200639,2337893,506695.0,506562,203389,95832,1864656,363897,1500759,928446,435988,170522,321936,790218,101250,688968,842161,66686,775475,219786
2017,9747148,367068.0,6037,29491.0,609706,2549852,223925,2325928,482505.0,524061,217757,101072,1988990,391226,1597764,957835,422273,190043,345519,829659,103739,725920,853492,69668,783823,229624
2018,9853979,439351.0,8178,36007.0,671461,2362922,235864,2127058,510089.0,524776,217661,119481,1973106,402175,1570931,1011834,444761,202141,364931,854141,104527,749614,879554,82648,796907,245419
2019,10280936,293424.0,9674,36461.0,662256,2698239,244259,2453980,535929.0,536574,198149,97848,2059940,401281,1658659,1076350,492693,204264,379393,888023,109678,778345,941594,83556,858038,246474
2020,9986751,518064.0,9584,42644.0,601744,2561538,232243,2329296,551052.0,539406,153599,96750,2098823,405856,1692967,1060134,486471,209877,363786,883614,92302,791311,655248,43860,611388,214550
2021,11060839,550645.0,9877,41307.0,659593,2794128,283167,2510961,605404.0,586856,200682,100998,2228866,460339,1768527,1162380,545693,224820,391867,951054,97400,853654,926464,63687,862777,242584
2006,6076970,148204.0,12612,16139.0,444809,1681208,209652,1471556,244511.0,437781,103994,132612,1116052,268801,847251,587809,289241,85051,213517,532432,70548,461884,446535,37343,409192,172271
2007,6322907,133787.0,13453,18583.0,480065,1709040,216398,1492641,282118.0,432563,112677,168701,1120723,261543,859180,664172,319722,121863,222588,568129,74145,493983,439867,36570,403297,179031
2008,6545121,163569.0,13218,24339.0,440851,1743819,195501,1548317,285312.0,405024,111828,153934,1268676,228302,1040374,702552,354204,119371,228978,611489,85598,525890,436102,37427,398675,184409
2009,6745481,130778.0,17153,22694.0,392909,1917095,172630,1744465,261259.0,391203,107109,128783,1451546,255350,1196196,664252,309015,138688,216549,638459,94633,543826,444025,34469,409556,178217
2010,6645658,146033.0,13316,23815.0,383227,1693344,158131,1535212,283016.0,392820,96963,130259,1481819,266422,1215397,656768,299611,134824,222333,668265,96634,571631,492221,38716,453505,183792
2011,6549409,125210.0,10930,26822.0,304704,1586303,158301,1428003,320674.0,395463,115197,129709,1377320,293767,1083553,701862,317091,149523,235249,695063,92309,602754,579721,60232,519489,180430
2012,7296049,406441.0,8790,23654.0,281488,1811783,171140,1640643,334404.0,423679,135471,108453,1517627,337588,1180039,742550,334386,157867,250297,694843,97951,596892,625818,68376,557442,181048
2013,7783698,429295.0,4898,25059.0,380596,1924442,173406,1751036,401622.0,452984,158867,113077,1591287,324750,1266537,775350,350763,171727,252860,707256,85403,621853,633382,72343,561040,185583
2001,5002125,221088.0,12360,11870.0,379820,1253167,185408,1067759,160850.0,410550,125682,79834,897723,205749,691974,513639,259625,111239,142776,389604,49721,339883,411525,39900,371625,134412
2002,5406349,303110.0,13878,14113.0,407345,1359545,191983,1167561,174016.0,415622,125343,52114,993288,236498,756789,537338,266331,102506,168500,431910,51490,380420,430422,34832,395589,148306
2003,5506135,,5198,,387823,1411713,188176,1223538,,419686,140688,81347,1029397,250749,778648,544090,259503,98454,186133,459518,57321,402197,449611,32067,417544,150083
2004,5536393,134116.0,8076,14310.0,422111,1482095,190545,1291550,195980.0,399515,109031,103043,1028768,216347,812421,558935,262464,101362,195109,491367,62683,428684,431181,33916,397265,157865
2005,5972922,325814.0,8926,13640.0,412939,1521955,206292,1315663,221697.0,425850,93903,108394,1167959,250797,917163,566808,271651,91160,203996,510760,65725,445035,431309,35323,395986,162967
