,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2015,64611681,266662,256023,2135065,3619555,7253996,3798006,3455990,7000711,6391410,4996875,1213701,13402261,2238901,11163360,5830449,2314718,674549,2841182,7392543,730770,6661772,2738015,434897,2303118,2114417
2016,67198586,215572,141367,2151507,3917435,7347715,4059173,3288542,7105361,6654455,5480730,1280274,13777640,2244935,11532705,5947773,2340375,702792,2904606,7968611,784544,7184067,3020304,463153,2557150,2189842
2017,70650397,264751,185261,2057134,4295972,7546605,4330856,3215749,7592297,6909130,6029026,1307952,14223911,2217743,12006168,6476115,2497019,714836,3264261,8294781,816790,7477991,3221443,490029,2731414,2246020
2018,74708465,215048,288505,1830260,4563867,7763738,4551766,3211972,8071001,7210566,6751445,1403236,15303312,2435215,12868096,6714571,2733470,709296,3271805,8807020,856789,7950231,3400259,489956,2910303,2385637
2019,80186360,254683,265084,2006825,5490313,8263359,4718475,3544883,8730704,7558634,7485368,1376206,16092171,2495658,13596513,7187761,2872494,746245,3569023,9405593,906069,8499524,3634312,521893,3112419,2435347
2020,81132988,254654,341578,1999477,5367919,7858949,4420397,3438553,8675516,8149876,8446370,1264577,16322260,2676386,13645874,7441988,2951329,740575,3750085,9904406,873159,9031248,2837085,280347,2556738,2268331
2021,90823115,318718,440656,2162365,5687390,8656429,4909401,3747028,10050585,9338050,10488021,1348330,17187506,2893248,14294258,8502642,3308774,745894,4447974,10370877,781109,9589767,3740213,424168,3316044,2531332
2008,52530499,487201,155877,1808740,3354326,5694409,3521046,2173363,4379526,5423217,4078826,1045165,12103884,1652003,10451881,5311673,2086852,587572,2637249,5075465,502730,4572735,1895062,285975,1609087,1717130
2009,50119338,29931,173988,1806648,2473278,5494701,2974843,2519858,3886162,5142926,3804934,932499,12405484,1792601,10612883,5035207,1978059,569360,2487789,5496239,594753,4901486,1802138,285536,1516601,1635202
2010,50822614,236479,145547,1813255,2055515,5234242,2822646,2411596,4179155,5374183,3845531,1029944,12763994,1820817,10943177,5025731,2070561,570567,2384602,5592386,628552,4963834,1833777,301844,1531932,1692875
2011,52574949,417536,150470,1661064,2385465,5186656,2934023,2252633,4540139,5583940,4072384,980378,12667104,1969964,10697140,5326247,2183603,596681,2545963,5935768,643164,5292604,1898042,317271,1580772,1769756
2012,54450544,259299,204793,2187798,2707285,5388983,2956561,2432422,4741155,5776781,4095748,1055952,12406083,2065814,10340269,5367713,2188480,575793,2603440,6320896,664959,5655937,2045197,341697,1703500,1892861
2013,57110653,211465,218678,2007412,2894203,5870859,3210919,2659940,5391279,6106669,4359000,1171026,12949838,2049788,10900050,5273899,2256199,604212,2413488,6549369,647029,5902340,2193039,377961,1815078,1913917
2014,60555212,439482,260808,2069865,3103489,6278292,3363403,2914889,6140971,6167653,4575179,1149894,13455128,2228043,11227085,5500839,2315970,605263,2579606,6952792,731978,6220813,2443461,407612,2035849,2017361
2001,33937360,476668,109281,660854,2257017,4746721,3155593,1591128,2553833,4025071,2084420,722798,7890806,1216599,6674207,2817804,1131998,504504,1181302,2973774,289648,2684126,1330514,180690,1149824,1287797
2002,36084433,209571,115285,751370,2319943,4777628,3220713,1556915,2681121,4298283,2112556,781576,8728467,1427546,7300921,3118122,1319141,543353,1255628,3292014,322561,2969454,1460259,191629,1268629,1438237
2003,39368623,433370,134900,893593,2744927,5093374,3408310,1685064,2980070,4629423,2380235,847224,9290303,1632745,7657558,3469961,1382841,570107,1517013,3577763,353345,3224418,1460832,209014,1251818,1432649
2004,43498854,576334,173231,978150,3557819,5451633,3621555,1830078,3178397,5093803,3054244,884249,9478198,1606410,7871788,3951191,1468122,555983,1927086,3900729,408000,3492729,1679742,216120,1463622,1541134
2005,47513237,417537,185442,965784,4327908,5687218,3891867,1795351,3674007,5549107,3466262,950753,10472762,1710097,8762665,4314043,1606065,575003,2132975,4133766,407589,3726177,1722813,244926,1477887,1645834
2006,51057295,135687,170880,1546171,4487490,6033734,3957779,2075956,4105276,5972840,3794190,992063,11154355,1902498,9251857,4681334,1776179,600743,2304412,4407909,432512,3975398,1805363,241987,1563377,1770002
2007,53430953,555247,156933,1784067,4587636,5881713,3733024,2148688,4326498,5839106,4012275,1080913,11874480,1851893,10022587,5105020,1852138,585159,2667724,4584628,449662,4134966,1878192,266721,1611471,1764245
