,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2012,56140,,279.0,3007,3383.0,,9.0,,,1053.0,,,33546.0,,,,,0.0,,1306.0,99.0,1207.0,,126.0,,
2013,57624,,306.0,2522,3024.0,,79.0,,867.0,1233.0,,,38762.0,,,,,0.0,,1313.0,51.0,1262.0,1808.0,,,
2014,55105,,259.0,1856,4233.0,,84.0,,,1342.0,,,34191.0,,,1277.0,,0.0,,1341.0,66.0,1275.0,2790.0,,,
2015,53033,,250.0,711,,,,,,1007.0,,,34388.0,,,1468.0,,0.0,,1488.0,136.0,1352.0,2473.0,,,
2016,58556,,972.0,3545,5177.0,,,,,951.0,,,36238.0,,,1411.0,,0.0,,2360.0,150.0,2210.0,,263.0,,2152.0
2017,61236,38.0,704.0,4344,,,,,,1222.0,,,38309.0,,,,,0.0,,2221.0,265.0,1956.0,2348.0,174.0,2174.0,2477.0
2018,64034,886.0,787.0,8683,,,313.0,,383.0,,,,34848.0,,,,,0.0,,2090.0,152.0,1938.0,2651.0,351.0,2300.0,
2019,69896,481.0,675.0,6977,,,261.0,,,,644.0,,,,39313.0,,,0.0,,2150.0,131.0,2019.0,3327.0,353.0,2974.0,3047.0
2020,63748,,239.0,2934,5368.0,,,793.0,,1301.0,196.0,,40135.0,79.0,40056.0,2217.0,,0.0,,2251.0,,,3281.0,514.0,2767.0,
2021,66917,3073.0,,326,5090.0,,,794.0,,,181.0,,41429.0,89.0,41341.0,2629.0,1228.0,,,2518.0,,,,750.0,,
2002,54583,,978.0,9673,3297.0,3170.0,2833.0,337.0,,2189.0,,779.0,21412.0,,,1168.0,,0.0,,677.0,125.0,552.0,,,,1335.0
2003,54674,,361.0,9449,3385.0,2926.0,2605.0,322.0,,2444.0,,,21670.0,,,961.0,,0.0,,769.0,95.0,674.0,5586.0,,,
2004,53338,,445.0,8480,3700.0,3177.0,2910.0,267.0,,2249.0,,,21915.0,,,,,0.0,,755.0,51.0,704.0,,,,1595.0
2005,58448,,1204.0,8238,5160.0,4025.0,3673.0,352.0,,,,,24095.0,,,1074.0,,0.0,,713.0,56.0,657.0,3924.0,,,
2006,61727,,1122.0,10311,7051.0,4569.0,,,,,,,25375.0,,,1289.0,,0.0,,711.0,79.0,632.0,3349.0,165.0,3184.0,
2007,63127,2276.0,463.0,9680,,,,,,,,,27850.0,,,,1197.0,0.0,,822.0,146.0,676.0,,861.0,,
2008,61635,,327.0,8790,,3103.0,,,,,,,31331.0,,,1887.0,1349.0,0.0,538.0,1140.0,95.0,1045.0,3937.0,,,
2009,63881,,442.0,9296,,1409.0,743.0,667.0,,,,,36967.0,1197.0,35770.0,2231.0,1422.0,0.0,809.0,1161.0,3.0,1158.0,2622.0,,,1618.0
2010,66297,1721.0,829.0,8835,,,591.0,,,1915.0,,,,,,2622.0,1511.0,0.0,1111.0,1271.0,2.0,1269.0,3234.0,,,
2011,61841,1808.0,339.0,5122,,,420.0,,1990.0,,,,38013.0,,,,,0.0,,1360.0,1.0,1359.0,2887.0,,,
2001,54532,2899.0,2008.0,6025,,,,324.0,,1934.0,,701.0,19054.0,,,1375.0,,0.0,,,122.0,,4454.0,850.0,3604.0,1453.0
