,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2014,3887426,,2575,,301165,185091,95431.0,89660.0,,496100,91530.0,80400.0,937579,156210,781369,383641,163465,117043,103133,461787,17838,443949,227706,45579,182127,176912
2015,4038366,225298.0,1794,113587.0,314918,192848,99163.0,93685.0,,522254,,90472.0,1023332,163268,860065,401867,169396,118139,114331,483971,14258,469713,244367,41958,202409,179536
2016,4080945,,1914,108825.0,312327,196323,99527.0,96795.0,139717.0,548120,,122065.0,979437,158182,821255,426715,173307,122199,131208,512708,16293,496416,266343,41915,224427,187842
2017,4298478,,1947,109848.0,344703,207028,117293.0,89735.0,143268.0,578345,,135306.0,1017508,164525,852983,458194,185771,130540,141883,556713,15931,540781,275013,41131,233882,191936
2018,4467507,,1972,111428.0,341669,212136,118687.0,93449.0,145512.0,583890,,165531.0,1041084,182437,858647,488201,203632,133206,151362,600519,17174,583345,284912,40618,244294,202318
2019,4708807,,1941,124775.0,363496,226309,128346.0,97962.0,169409.0,582161,,134164.0,1178770,185646,993124,526409,216798,149358,160252,617753,15308,602445,285230,41693,243537,204293
2020,4637545,,2078,134811.0,334072,228260,133666.0,94593.0,184036.0,583064,,118451.0,1204854,192355,1012500,521557,209004,159561,152992,620087,13454,606633,209416,29296,180120,190910
2021,5133480,257409.0,2908,161990.0,363327,306281,180306.0,125975.0,192837.0,626672,,,1279417,209587,1069830,555517,225688,171157,158671,660579,14542,646037,281734,38264,243470,215039
2006,3275020,,6861,95767.0,281148,261482,159505.0,101977.0,102019.0,512614,,69483.0,731704,163869,567836,315743,146690,92009,77045,321330,9690,311640,167288,25588,141700,159399
2007,3318287,,8438,101916.0,294707,251819,140504.0,111315.0,112237.0,488153,,73678.0,776927,109435,667492,319456,157581,80748,81127,337298,10955,326343,165226,29989,135237,160405
2008,3493644,,8728,109051.0,281594,222587,113251.0,109336.0,119657.0,468146,,79800.0,851132,272969,578162,334064,181147,65247,87670,367758,12082,355675,178764,31000,147764,160271
2009,3484129,,4476,125401.0,323720,190000,89312.0,100688.0,111977.0,493704,,74120.0,805734,87357,718377,315601,153286,80105,82209,398676,13680,384996,171799,31282,140517,163699
2010,3795589,,3877,135095.0,431958,180528,95475.0,85052.0,116688.0,507357,,78627.0,892324,155942,736382,348642,157293,89798,101551,417546,13842,403704,178867,36512,142355,177221
2011,3879097,,2983,134275.0,399531,167364,89720.0,77644.0,130917.0,484298,,79670.0,942339,155504,786835,374889,162585,108303,104001,434447,15339,419108,182621,37312,145309,174664
2012,3810928,,2267,135088.0,306824,164912,83783.0,81130.0,134012.0,469782,,84654.0,903150,171843,731306,378651,159830,116662,102159,426916,15034,411882,193575,39347,154228,172839
2013,3873034,,2319,131355.0,299283,182935,93613.0,89322.0,139365.0,486877,,82056.0,1009360,185671,823688,380871,159730,127924,93218,449827,15733,434094,208828,43690,165139,171658
2001,2641393,130566.0,2997,73112.0,138134,249584,182574.0,67009.0,,408881,,48035.0,583252,100005,483247,304715,114764,115517,74434,272025,7113,264912,170260,24548,145712,131456
2002,2784769,105385.0,2013,81956.0,152092,244047,174830.0,69217.0,,443800,,47227.0,645592,114856,530737,304091,124595,111439,68057,288238,6993,281246,186630,27147,159483,148227
2003,2952912,159585.0,3047,74494.0,171852,259477,180654.0,78823.0,70134.0,462695,79010.0,53363.0,686765,141639,545126,294830,125440,101100,68289,295801,7220,288582,202983,28110,174873,138876
2004,3144200,164406.0,4773,90221.0,222463,269607,,,75422.0,478670,83477.0,59237.0,743478,134089,609389,306960,131425,99376,76159,306956,8157,298799,193647,25479,168169,144882
2005,3187615,160525.0,6044,89171.0,242687,269032,184616.0,84416.0,87675.0,490709,81787.0,60243.0,762717,151582,611135,303999,137523,94691,71785,310846,8212,302634,170189,24851,145338,151990
