,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2012,76252,40.0,0.0,261.0,,5.0,0.0,5.0,3407.0,526.0,,77.0,21419.0,0.0,21419.0,21076.0,,0,,,13.0,,25182.0,8449.0,16732.0,
2013,72595,,,272.0,,151.0,114.0,37.0,,594.0,,447.0,21860.0,29.0,21831.0,20013.0,,0,,1457.0,87.0,1370.0,20755.0,7696.0,13059.0,
2014,80990,38.0,0.0,265.0,2553.0,102.0,70.0,32.0,1376.0,710.0,,274.0,22513.0,19.0,22494.0,20685.0,20294.0,0,391.0,925.0,69.0,856.0,30034.0,,,
2015,85789,,,303.0,,,,493.0,928.0,796.0,,,25722.0,0.0,25722.0,21082.0,,0,,1010.0,110.0,900.0,30183.0,,,
2016,83479,119.0,0.0,394.0,1026.0,,,,414.0,799.0,,,25039.0,3.0,25036.0,20063.0,,0,,999.0,123.0,876.0,30251.0,,,1392.0
2017,85530,113.0,0.0,,,,,,37.0,757.0,142.0,,28522.0,0.0,28522.0,19770.0,,0,,907.0,127.0,780.0,30143.0,,,1243.0
2018,84732,0.0,0.0,361.0,,,,,0.0,,63.0,,28487.0,0.0,28487.0,21043.0,,0,,744.0,0.0,744.0,,,,
2019,87708,3.0,0.0,447.0,,,,46.0,0.0,,44.0,,29776.0,0.0,29776.0,21423.0,,0,,803.0,3.0,800.0,30686.0,,,
2020,75907,,0.0,512.0,,,,90.0,0.0,584.0,12.0,,28710.0,,,18331.0,,0,,739.0,0.0,739.0,24289.0,,,
2021,87117,1.0,,406.0,,,,92.0,0.0,,13.0,,29313.0,5.0,29308.0,22622.0,,0,,573.0,0.0,573.0,30027.0,,,
2002,52533,,,374.0,2772.0,754.0,122.0,632.0,,1957.0,,367.0,13702.0,,,338.0,272.0,0,66.0,1086.0,,,29127.0,8742.0,20385.0,1307.0
2003,52665,402.0,0.0,446.0,,,,460.0,303.0,1202.0,11.0,284.0,13904.0,70.0,13835.0,,276.0,0,,1046.0,,,29325.0,,,
2004,49937,,0.0,507.0,,232.0,113.0,119.0,452.0,800.0,10.0,36.0,14445.0,91.0,14355.0,,251.0,0,,977.0,,,,,20862.0,1611.0
2005,52830,,0.0,283.0,3588.0,175.0,100.0,75.0,441.0,,7.0,68.0,15829.0,85.0,15744.0,,,0,239.0,968.0,,,27758.0,,,
2006,55310,,0.0,389.0,3014.0,135.0,31.0,104.0,700.0,,4.0,199.0,14915.0,22.0,14893.0,813.0,377.0,0,436.0,,,,30917.0,5750.0,25167.0,
2007,63487,312.0,0.0,396.0,,102.0,17.0,85.0,520.0,,0.0,152.0,19022.0,0.0,19022.0,981.0,,0,,,,,32417.0,7746.0,24671.0,
2008,61094,53.0,0.0,333.0,4266.0,132.0,27.0,105.0,495.0,,4.0,107.0,21188.0,0.0,21188.0,,,0,,1116.0,,,30343.0,5839.0,24504.0,
2009,60875,0.0,0.0,,5677.0,278.0,144.0,134.0,548.0,,7.0,101.0,20729.0,0.0,20729.0,,,0,,1041.0,77.0,963.0,28648.0,6603.0,22045.0,1534.0
2010,65041,110.0,0.0,274.0,2780.0,316.0,146.0,170.0,,858.0,10.0,649.0,,,23329.0,,,0,,,,,31114.0,,,
2011,75111,9.0,0.0,,1967.0,159.0,111.0,48.0,,,12.0,185.0,22634.0,14.0,22620.0,16567.0,,0,,924.0,11.0,913.0,28154.0,6877.0,21276.0,
2001,50035,,,41.0,,734.0,105.0,629.0,,2011.0,,,12766.0,,,,,0,60.0,1193.0,,,26855.0,,,1162.0
