,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2015,203758085,120137,195489,966780,10655414,25421366,19292021,6129345,22329329,13136513,2463012,7981999,54542008,16785293,37756715,35233898,22505673,3839531,8888694,15408346,1900646,13507700,10812772,2916523,7896249,4491023
2016,210925027,113206,177108,902728,11703281,26749900,20681975,6067924,22178739,13156361,2551704,8200857,56724515,18024130,38700385,35720719,21554061,4150998,10015660,16401078,2053120,14347957,11699312,3271918,8427394,4645521
2017,223870223,98126,226958,1473541,12643981,30356406,24375472,5980934,23398727,13467586,2640494,8628593,59899228,18979206,40920023,36938150,21580792,4478492,10878865,17129988,2127102,15002886,12225141,3567986,8657155,4743302
2018,235371418,102313,175213,2092478,13207778,32461388,26292222,6169166,24137115,13947092,2983112,9121145,62241495,19417325,42824171,39300112,22604470,5147753,11547889,18047593,2370437,15677156,12466951,3595718,8871232,5087632
2019,246708662,96267,148406,1956096,13437613,33351106,26962478,6388628,25296575,14326065,3508706,10320772,64839685,20027538,44812147,41900255,24060509,5524883,12314863,19001527,2546949,16454578,13260881,4062013,9198869,5264708
2020,242084149,100000,117595,2039092,12526355,32201438,26002452,6198986,24186171,14468024,3474151,11100868,66661307,22466401,44194906,42674697,24798401,5881442,11994853,19176845,2298026,16878819,9294992,2391542,6903451,4062613
2021,267751104,114728,179152,2536427,13172887,34181637,27509650,6671987,27661665,16485505,3990476,12315229,70400581,24751616,45648965,47947024,27626958,6403114,13916952,21215429,2620241,18595188,12950372,3599878,9350493,4599991
2008,165894406,357356,322546,686233,8897893,21363852,15664886,5698966,17363746,11940637,2367531,7170332,42784210,10954133,31830077,28897750,17419229,2824177,8654345,11320408,1394498,9925910,8607200,2938931,5668269,3814711
2009,160041238,275873,245356,608224,7725443,20980973,15363309,5617664,15828819,11101560,2188529,6278455,44806000,14203408,30602592,26580456,15981592,2641204,7957660,12025517,1570446,10455071,7820848,2665148,5155700,3575184
2010,167122756,184474,248369,686968,8634966,20974737,15270876,5703862,16795496,11224638,2085388,6606421,48423246,16933052,31490194,27286679,16325769,2633604,8327306,12513742,1646421,10867321,7787568,2496830,5290738,3670063
2011,169017946,194991,293718,821213,6014359,21065656,15577903,5487753,18130534,11368837,2022042,6548185,49847911,17179588,32668323,28185833,17224688,2668327,8292818,13127057,1693569,11433488,7664303,2180358,5483945,3733308
2012,179233583,179400,302647,829635,8716366,21944084,16095089,5848996,17751997,11730276,2102027,6269747,54406695,18478369,35928327,28962874,17644819,2802266,8515789,13457307,1695985,11761322,8627638,2386821,6240817,3952889
2013,186473457,118303,280624,879926,9521500,23215398,17031417,6183981,18678032,12513395,2305500,7073382,56106200,18343711,37762489,28896255,17755267,3175767,7965221,13869688,1754954,12114734,9011355,2570178,6441177,4003898
2014,192318270,116784,325173,920026,9681471,24158266,18243583,5914683,20306615,12707187,2241696,7205521,55078672,16196344,38882328,31211439,19250968,3595670,8364801,14361646,1852389,12509257,9713113,2697739,7015374,4290662
2001,119320983,161064,95766,823899,6920103,17106656,12039911,5066745,12453690,10588341,1538877,5026095,29863245,9954089,19909156,19507675,10763142,3014433,5730101,6709626,752436,5957190,5373627,1711745,3661882,3152319
2002,124049116,179360,100571,848890,7142625,16338652,11642456,4696196,12496313,11044473,1554587,5218439,32320574,11087215,21233359,20305151,11267397,2831152,6206602,7356194,795142,6561052,5750963,1801694,3949269,3392322
2003,134144241,190078,110431,796795,8773643,17932111,12752865,5179246,13342737,11630499,1671741,5374311,35801718,13368676,22433042,21055960,11768422,2931091,6356447,7994250,982881,7011369,6111263,1923588,4187675,3358704
2004,144311978,216839,145969,551425,11576471,18820353,13166134,5654218,13987425,11938809,1985955,6202132,38373363,14122253,24251110,21797765,12096259,2883025,6818482,8705567,1074950,7630617,6385064,1849960,4535104,3624841
2005,156595304,304356,187128,715305,13245966,19998572,14509329,5489243,15079834,12669957,2107394,6587249,42358564,15431138,26927426,23400336,13256190,2902128,7242018,9092219,1101507,7990713,6935786,2084639,4851148,3912637
2006,167342221,367693,241191,861193,14769952,21391015,15469269,5921746,16046528,13294813,2292335,6750571,44149495,15572012,28577483,25618913,14499824,3201082,7918007,9733006,1187616,8545390,7717557,2345940,5371616,4107960
2007,169995932,249394,262731,796098,12458371,21463330,15858998,5604332,17148478,13055569,2327996,7162117,45429389,14518055,30911334,26833447,15437639,2900495,8495313,10202116,1214872,8987243,8545037,2933831,5611207,4061860
