,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2014,1402871,187455.0,3915,26358.0,83542,166366,124947.0,41420.0,41724.0,144289,109349,10985,346457,40946,305511,54657,22373,3188,29096,138523,3330,135193,45441,6801,38640,43811
2015,1390818,162089.0,1649,24743.0,98718,173376,127763.0,45613.0,43051.0,155329,115376,11932,300932,38950,261982,59647,22101,4627,32919,148287,2445,145842,51436,5180,46256,44252
2016,1416420,167209.0,990,24833.0,90838,183960,138369.0,45590.0,39229.0,167359,121547,14419,287439,37218,250221,67203,23278,9388,34537,155539,2627,152912,50467,5905,44562,45388
2017,1682553,201060.0,1454,24126.0,100959,195197,148097.0,47101.0,36656.0,178814,130564,20577,337057,38684,298372,189656,24762,122937,41957,164085,2304,161781,55203,8390,46813,47146
2018,1711487,172200.0,1028,24460.0,109672,195728,147921.0,47807.0,36278.0,186690,135969,23740,344331,42620,301710,194387,25293,127907,41187,174477,2523,171953,62584,9838,52745,49944
2019,1839894,202784.0,826,25475.0,134874,193344,144758.0,48586.0,38737.0,206617,136127,20774,364311,43886,320426,204912,26214,130507,48192,187234,2780,184454,70071,9365,60706,53810
2020,1811755,224305.0,1052,25239.0,154208,202415,154739.0,47676.0,39857.0,212617,146593,20789,394237,43003,351235,83661,25427,9902,48331,199315,2035,197279,54894,4500,50394,52571
2021,1940407,150221.0,2117,29806.0,176634,278021,228861.0,49160.0,43990.0,228708,161687,22463,409478,47201,362277,94326,28343,11024,54959,214604,1614,212990,70322,6046,64276,58031
2006,1166398,,28171,,69237,154713,111307.0,43406.0,,155080,139745,13058,209983,33637,176346,112465,23319,71440,17706,96627,3533,93094,37973,6809,31164,45974
2007,1214646,74799.0,28387,22384.0,65154,140265,98488.0,41777.0,27535.0,151025,118787,11723,266411,32270,234141,119937,24237,77180,18520,102017,3640,98377,40602,8773,31829,45621
2008,1146253,,27351,,55570,135683,,,,141043,114851,11908,246978,30116,216862,123516,25603,76975,20938,112097,3744,108353,43415,7887,35528,42699
2009,1174372,,12452,,56695,124456,,,,131576,89580,10502,286673,34577,252096,156700,24229,111508,20963,118807,4036,114771,40658,8723,31935,41757
2010,1282703,100832.0,9586,27147.0,72980,119087,,,29750.0,135311,87531,12020,328533,34736,293797,158419,23698,110718,24003,118785,3540,115245,39803,9297,30506,42916
2011,1298055,112171.0,8928,33423.0,65022,123553,,,36360.0,130649,86979,11933,315124,38275,276850,167382,24524,119342,23516,123994,3363,120631,40653,7498,33156,41883
2012,1330154,175878.0,3971,29206.0,56083,122506,,,38287.0,130907,79468,10663,313849,39208,274641,164912,23830,118373,22709,120299,3815,116484,42890,7182,35708,41235
2013,1417765,172467.0,3644,28864.0,71272,151689,114191.0,37499.0,39001.0,139718,108055,11273,315371,37557,277814,158053,22314,112963,22776,134329,3647,130683,42660,6349,36311,41368
2001,924988,25690.0,7863,10624.0,60706,128431,,,13219.0,110251,103677,5509,179308,36689,142619,137327,20092,96075,21159,70645,3327,67318,36415,7007,29408,35324
2002,994443,24625.0,7713,15425.0,67945,139426,,,14576.0,120207,105038,6797,207338,41647,165691,128217,21346,87969,18901,79057,3158,75899,40229,8006,32224,37849
2003,1032014,31482.0,12106,23133.0,65538,144866,,,15230.0,137816,104566,7301,211968,41529,170439,118863,19797,81918,17147,83177,3099,80077,38680,8715,29965,37289
2004,1128305,56341.0,17091,22667.0,60328,147778,,,17483.0,143936,154728,11752,207487,25279,182208,120264,20761,82465,17039,87658,3269,84390,40729,8932,31796,40065
2005,1228148,,34923,,62657,156207,,,,150030,157081,12669,224027,25362,198665,118107,22538,77040,18530,90992,2854,88138,36419,7416,29003,42086
