,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2015,165557770,767366,74169,2117736,7194786,21255651,15631055,5624596,10328999,10983986,2788689,9455033,39280155,8882684,30397471,32433611,23531491,2967374,5934747,14515492,2464099,12051393,10246946,2548887,7698060,4115150
2016,168723635,704085,68035,1897182,8026225,21698436,16452188,5246248,9793434,11007474,3105853,10238800,39225653,8857261,30368391,32482072,23152176,2843290,6486606,15387726,2530553,12857173,10809147,2508818,8300329,4279514
2017,178580579,649496,100773,1928934,8904196,23188292,17945612,5242680,10834212,11397052,3360876,11413545,42000264,9458122,32542142,33340110,23508161,2853704,6978245,15949425,2472383,13477042,11117447,2455121,8662326,4395957
2018,188943708,754269,121616,1733496,9569759,24407068,19027750,5379318,10599520,11945397,3600184,12314011,44490462,10533618,33956844,36816645,26300897,3139149,7376599,16525393,2540766,13984627,11363297,2500580,8862717,4702591
2019,198113413,712782,115556,1555426,9973522,25794104,19668954,6125151,11787404,12371030,3625479,12272806,46080804,10872180,35208624,39490064,28341006,3408818,7740240,17502624,2589549,14913075,11971133,2641582,9329550,4860680
2020,195354890,775845,126394,1978070,9849935,26363843,20071201,6292641,11711231,12498100,2377778,12385816,46027549,11359608,34667942,40932076,29598012,3742642,7591423,17752039,2412225,15339814,8416726,1547554,6869172,4159486
2021,218311085,862152,140221,2094258,10907016,28582080,21346084,7235996,13303601,13881073,2975040,13610247,49065364,12804133,36261231,47191923,33465829,4331979,9394115,19381656,2393463,16988193,11591990,2248059,9343931,4724464
2008,133302538,852441,73677,2819340,6955338,14038897,11105275,2933622,7870531,9209738,2042527,12241589,30645873,5723741,24922132,25949956,19096549,1351339,5502068,9930414,1517911,8412502,7121634,1780372,5341263,3550581
2009,128322324,910788,95304,3241182,5553735,14798506,11533571,3264936,7059831,8400826,1827021,8681812,31633367,6872566,24760801,24708733,18385465,1353454,4969814,10882791,1812871,9069920,6997052,1695135,5301917,3531375
2010,130553234,1142238,81626,3248820,5444391,15166868,11522941,3643927,7687849,8581095,1861314,7850665,31937055,6358789,25578267,25449378,18560941,1935921,4952516,11433603,1970489,9463114,7054546,1640110,5414436,3613785
2011,134623983,989968,82661,3831528,4860197,15692329,11918109,3774220,8524225,8913390,1926699,7180974,32190932,6050046,26140886,27298090,19648482,2163766,5485842,12209857,2117953,10091904,7244824,1685918,5558906,3678309
2012,139383780,1096467,88033,2354541,5404497,16711984,11979773,4732211,9108832,9545418,2181491,6636165,34180977,7333677,26847300,28240908,20195106,2568521,5477281,12786522,2373642,10412880,7300557,1819337,5481220,3747388
2013,149244486,691289,86442,2321828,5978047,18144555,13118795,5025760,9367389,10265449,2446515,8323125,36887757,7845972,29041784,29983684,21547539,2913850,5522295,13163959,2385397,10778562,7936947,2015346,5921601,3647501
2014,156787067,738134,110221,2046348,6467763,19229281,13942975,5286306,10045905,10559559,2517781,8704709,38542828,8734809,29808019,31123890,22347882,3175883,5600125,13704567,2466325,11238243,9071976,2281896,6790080,3924105
2001,91515147,623983,47716,1518180,5428585,11255685,8502083,2753602,4217381,7541918,1344505,7862991,21897066,5219817,16677249,16028541,11006436,1498410,3523694,5947491,746357,5201134,4950115,1041184,3908931,2850991
2002,97596069,638418,55170,2428235,5730987,11010049,8592932,2417117,4352697,7902334,1399369,8122263,23909005,5820084,18088922,17070532,11727048,1524500,3818983,6535665,816814,5718850,5326295,1110866,4215429,3115052
2003,104502473,685701,58726,2484093,6743358,11656824,9002579,2654245,4869834,8437967,1487010,8755782,25313066,6554681,18758385,18030730,12096626,1602455,4331649,7005687,926516,6079171,5836860,1195805,4641055,3136836
2004,113799588,729770,84567,2221309,8994562,11988313,9089194,2899119,5332973,9635431,1732627,10748835,26225916,6536042,19689874,18835857,12456975,1637368,4741514,7487888,1082334,6405553,6495488,1189220,5306267,3286052
2005,123589743,758688,84458,2313269,10219451,12625434,9922610,2702824,6060586,10322302,1809706,12749787,28696993,7224158,21472835,19993159,13455194,1554200,4983765,7838293,1151579,6686714,6536762,1289777,5246986,3580854
2006,129881159,699206,113318,2352817,10601993,12964609,10117355,2847254,6838471,10462409,1980334,13699629,29743471,7738541,22004930,21284427,14615884,1525470,5143073,8377490,1229938,7147552,7047468,1386549,5660919,3715515
2007,134552229,567699,92763,2825267,9215928,13531065,10701950,2829114,7621728,9914428,1977466,15950068,30783663,7099862,23683801,22482940,15582774,1469476,5430690,8845235,1297452,7547783,7067924,1497062,5570861,3676056
