,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2014,21396637,2080117,209872,482274,907291,2257700,866005,1391695,2062302,1854184,1489244,511470,4548812,770282,3778530,1341641,539529,177455,624657,2344070,305047,2039023,703990,105123,598866,603671
2015,22322634,1692440,76595,539973,1108048,2523401,940991,1582410,2396236,1932874,1800807,472314,4313877,766642,3547235,1536554,568846,290854,676854,2498217,278949,2219268,794545,112378,682167,636755
2016,22913811,1664855,71498,372575,1210112,2523362,1022717,1500646,2373791,2001639,1900773,435127,4564217,750376,3813841,1635085,606633,303367,725085,2612959,302225,2310734,869982,123963,746018,677836
2017,24198040,1701066,130937,483429,1437205,2505328,1119111,1386218,2466515,2058868,2136491,392694,4800205,780649,4019557,1687863,607038,310534,770291,2731644,297359,2434285,945861,131555,814306,719931
2018,25722309,1681404,108853,591107,1761022,2597309,1181382,1415927,2561444,2127214,2420855,382859,5093830,880518,4213312,1809779,629298,331462,849020,2849714,323867,2525847,1028041,132245,895796,708879
2019,27183131,1587325,100801,581287,1821441,2803886,1219439,1584447,2757440,2196206,2725840,352277,5475207,858803,4616404,1954941,656331,375993,922618,2984118,336942,2647176,1102400,134299,968101,739961
2020,27683695,1437877,84864,544148,1888582,3010026,1284650,1725375,2505898,2400123,3269481,309306,5637446,913708,4723738,2059183,654403,408892,995888,2997137,298149,2698989,854838,77237,777601,684786
2021,31549544,1671751,181349,774468,2201568,3348931,1493832,1855099,2879906,2771001,3951276,314570,6065497,983219,5082277,2277399,734963,409853,1132583,3245687,314958,2930729,1107481,110222,997259,758662
2006,18220012,952440,463696,186403,1817924,2382910,1125376,1257535,1271220,1858638,1224683,355441,3623627,893985,2729641,1271439,494168,190459,586811,1642476,176060,1466416,601901,85648,516253,567215
2007,18805232,1340682,545253,210465,1304350,2471861,1092960,1378901,1328819,1800888,1258641,398731,3857400,745612,3111788,1320390,492541,192471,635377,1816412,195092,1621320,595671,85894,509777,555670
2008,18599101,1301136,621220,219306,1020557,2303344,929561,1373783,1347742,1631731,1323882,402288,3951924,719063,3232861,1379196,524667,217549,636980,1966820,221679,1745141,608272,74636,533636,521683
2009,18604983,1197108,307206,201796,1148478,2452576,758932,1693644,1243672,1546620,1217151,370702,4467153,822746,3644408,1319481,470736,232847,615898,2068836,250770,1818066,555088,73308,481781,509114
2010,18417362,921400,284589,194929,1271491,2195781,710163,1485619,1370039,1591387,1262713,392794,4396846,719146,3677701,1333942,482833,231946,619163,2135359,264171,1871187,549475,76702,472774,516617
2011,18671505,1150265,274829,219203,778204,2216129,766032,1450097,1589533,1630903,1354057,381887,4445632,711601,3734032,1318106,490311,258304,569492,2217350,289866,1927484,564793,78338,486455,530613
2012,19374593,1860768,132206,251227,689505,2150100,723134,1426966,1631243,1700393,1342822,487642,4371272,696050,3675222,1357873,499173,267238,591462,2236969,281780,1955190,611681,81334,530347,550890
2013,20583865,1957575,183417,414421,917638,2144930,795559,1349371,1826806,1804401,1402179,514699,4556047,687719,3868327,1377208,508730,278751,589727,2273531,289549,1983982,644616,93384,551232,566399
2001,13508594,854425,90442,138336,1113182,2005935,965485,1040450,776370,1496516,892584,296734,2896662,703490,2193172,1043523,378827,249388,415308,1079520,118514,961007,380159,59609,320550,444205
2002,14289846,822674,111756,185154,1160549,1925737,935435,990302,808620,1594340,887469,280446,3271905,894487,2377419,1119293,438432,243845,437016,1198661,122567,1076094,425832,66104,359728,497409
2003,15418812,995131,203580,195147,1329187,2005357,990256,1015100,876546,1642311,993858,277499,3432270,1015720,2416550,1204127,498714,234981,470432,1292973,134077,1158896,486112,82340,403773,484713
2004,16729213,1097459,286846,185603,1576160,2005449,1016587,988863,941780,1742050,1020764,319332,3702079,1085146,2616932,1303242,552001,234066,517175,1434858,153572,1281286,606649,101880,504769,506943
2005,18249354,1170524,409329,174008,1931035,2102488,1057345,1045144,1105494,1825929,1115837,344243,4179615,1304093,2875522,1248395,474876,221814,551705,1533909,164067,1369842,572237,72621,499616,536312
