,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2014,1123826,188956.0,7777,43541.0,45212,71756,54979.0,16777.0,39101.0,106254,30551.0,49426,264053,35994,228059,58665,29122.0,5820.0,23723,127499,2487,125011,55537,6551,48986,35497
2015,1212255,220895.0,601,42870.0,48387,83024,57020.0,26005.0,38177.0,119523,31277.0,49217,273274,36128,237146,65502,31277.0,6810.0,27415,135929,2765,133165,64569,6818,57751,39009
2016,1239709,197078.0,689,53868.0,53537,99214,73191.0,26023.0,32761.0,118682,29562.0,45339,279480,33680,245800,68356,31446.0,7433.0,29478,144880,2822,142058,76941,9614,67327,39321
2017,1243627,193581.0,1029,62275.0,57125,115374,87207.0,28167.0,30553.0,111524,28215.0,37268,261992,33453,228539,70832,33322.0,7663.0,29847,152673,3099,149574,80854,9209,71644,40332
2018,1279814,202918.0,1037,47053.0,60407,111410,84498.0,26913.0,32111.0,105859,28088.0,38569,306044,38559,267485,69328,34519.0,6925.0,27884,158383,3619,154764,77606,7331,70275,41002
2019,1299645,191888.0,1003,52655.0,73449,109264,80821.0,28442.0,37250.0,112782,29256.0,35754,297460,35143,262317,66457,35454.0,2332.0,28671,163507,4594,158913,87720,10914,76807,41199
2020,1303430,209350.0,1284,48569.0,67382,105244,75493.0,29752.0,39648.0,130085,28619.0,32434,294512,35603,258909,66446,34498.0,1745.0,30202,169985,4254,165731,68980,7812,61169,40892
2021,1454206,280626.0,1433,43581.0,70532,116940,86789.0,30152.0,45967.0,141091,31901.0,35123,305441,39156,266285,68093,,,28702,179083,4932,174151,88816,10607,78209,45576
2006,1022619,,445,,58902,56366,,,,98620,50716.0,32253,210793,27882,182911,118604,29454.0,73806.0,15344,100789,2436,98353,55220,7139,48081,38258
2007,949188,,503,,58460,60126,,,,93465,50481.0,33045,241122,27812,213310,57391,30883.0,7000.0,19508,105099,3017,102083,49635,5597,44039,37037
2008,1053569,,586,,52550,56741,,,,87619,45592.0,31542,242020,28112,213908,58826,32292.0,6824.0,19711,112266,3129,109137,48165,6685,41480,35925
2009,950819,,388,,55639,55031,,,,83687,39496.0,27825,290699,31071,259628,52808,28756.0,5765.0,18286,115597,4169,111428,44825,5856,38969,34837
2010,934066,,201,36447.0,65824,59934,46137.0,13796.0,31310.0,82206,,30133,312302,34726,277576,57125,28074.0,5547.0,23503,117909,2829,115080,45853,6437,39416,34980
2011,1077974,174967.0,536,59105.0,58108,56689,43949.0,12740.0,28426.0,83973,33481.0,30333,288794,37834,250960,59489,29400.0,5716.0,24373,120737,4923,115814,49892,6771,43121,33443
2012,1064624,219540.0,953,49300.0,42222,54469,42113.0,12356.0,30525.0,88234,31009.0,36872,247714,35755,211959,59292,28565.0,5172.0,25555,120303,5856,114447,52190,6236,45954,32001
2013,1062080,178977.0,6952,44573.0,44355,61594,47533.0,14060.0,32727.0,96806,30509.0,45073,255891,32702,223189,54348,28153.0,5396.0,20799,125201,2501,122699,51859,6813,45046,33216
2001,847032,94737.0,1022,20719.0,40273,43467,35306.0,8161.0,12699.0,74100,45882.0,20284,192184,26111,166073,133840,23236.0,99568.0,11037,71706,760,70946,64913,8647,56266,31204
2002,973958,181494.0,244,29921.0,43182,44901,,,13094.0,78352,44927.0,18644,208166,29067,179099,127296,25296.0,90199.0,11802,77796,760,77037,70981,8213,62769,34960
2003,931074,,245,,47730,49222,38818.0,10404.0,,84411,46147.0,21637,211540,30126,181414,123934,26092.0,84537.0,13306,82942,948,81994,74024,7685,66338,33541
2004,950856,109059.0,2319,28701.0,52522,52841,42852.0,9989.0,16472.0,98040,47482.0,25274,199906,22087,177820,123462,26840.0,83994.0,12629,90443,1515,88928,69401,6487,62914,34934
2005,936347,,1963,,53589,56512,45097.0,11414.0,,96472,47902.0,28353,206398,21043,185355,122485,28736.0,79321.0,14429,93921,2065,91855,52944,7036,45907,35854
