,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2014,12920346,4069695,9708,138297,382240,1381135,273528.0,1107608.0,745991,1078067,502781,212845,2132555,448371,1684184,765220,265465.0,157910.0,341845,789047,77572,711476,371260,43682,327578,341504
2015,12569311,2979585,8026,170566,477940,1479308,299688.0,1179620.0,885481,1105689,526672,238073,2294703,453656,1841046,812114,281641.0,159861.0,370612,808292,69235,739058,423927,42862,381064,358936
2016,13215436,3078665,8775,184182,561293,1464229,303034.0,1161195.0,993954,1153131,528682,323239,2296729,437424,1859305,919415,300005.0,167777.0,451633,875165,65634,809531,456258,43959,412299,371717
2017,14302378,3754262,11130,218950,596236,1472818,331116.0,1141702.0,1116376,1117959,558533,423718,2258156,448648,1809508,988992,318416.0,170684.0,499892,916349,63455,852894,484339,50267,434072,384559
2018,14529399,3395175,13435,206625,669825,1518252,358757.0,1159495.0,1239440,1164700,559219,396169,2456520,468508,1988012,1006933,329799.0,181396.0,495738,976999,66431,910569,518397,63216,455181,407710
2019,15511527,3719719,9593,224060,766237,1626773,371150.0,1255623.0,1339273,1197217,558456,361083,2569910,460341,2109569,1066440,341018.0,185645.0,539776,1092061,72934,1019127,562352,74077,488275,418353
2020,15579695,3620451,20300,243526,816005,1642541,359002.0,1283539.0,1330473,1254359,600049,299520,2616215,481488,2134727,1086471,335878.0,201046.0,549547,1159762,66602,1093160,489087,32721,456366,400937
2021,17015992,3781823,22000,246210,866323,1774967,409440.0,1365527.0,1527834,1415388,777897,337124,2763469,498094,2265375,1163568,354501.0,213364.0,595703,1294323,74505,1219818,597769,55903,541866,447297
2006,8567096,1277080,13183,82995,706031,963740,,,470960,953471,430104,287943,1588087,358691,1229397,642147,,,260210,591672,37355,554316,261864,29419,232445,297821
2007,10305535,2716097,11739,79163,736142,1001427,243552.0,757875.0,483483,947199,448040,310103,1715631,333577,1382054,670811,230216.0,142121.0,298475,617747,45892,571855,265554,30330,235224,302399
2008,9709997,2144502,11424,83408,550153,1054270,231264.0,823006.0,522576,920381,462059,254740,1741183,324673,1416510,702936,251965.0,123268.0,327703,692451,50995,641456,269441,37957,231484,300472
2009,8821446,1133776,12107,89409,435735,1256252,196567.0,1059684.0,483409,924700,406985,221838,1912936,344631,1568305,681278,232626.0,146093.0,302558,707936,58799,649138,260601,40448,220153,294483
2010,10202743,1994406,12295,99057,432373,1177332,183967.0,993365.0,534344,964578,436657,466988,2062020,355128,1706892,692108,223978.0,155273.0,312856,751012,87777,663235,278849,37693,241155,300725
2011,11168333,2845491,10803,106953,399751,1161702,209039.0,952663.0,574091,985174,452069,444810,2063657,386687,1676970,741328,236711.0,163608.0,341008,792131,88675,703455,285177,38115,247062,305196
2012,10814893,2696177,9085,94275,337273,1204745,211190.0,993555.0,584414,1004940,441042,208082,2080987,390487,1690500,767898,254230.0,154621.0,359046,755264,82781,672484,319183,44084,275099,311528
2013,11334059,2880332,7798,123617,363451,1265181,250800.0,1014381.0,659177,1050043,477802,204074,2121251,397728,1723523,760152,252516.0,166467.0,341168,771798,80618,691180,330441,41743,288697,318941
2001,7089092,1794191,2740,46647,357004,792525,223374.0,569151.0,362065,751809,274540,102260,1280065,281334,998732,480674,168197.0,154045.0,158433,403081,21729,381352,210545,22972,187573,230946
2002,6466645,851914,3408,55619,378380,804729,224472.0,580257.0,362458,795095,266416,106731,1394296,332159,1062137,505713,180440.0,147797.0,177476,449498,25151,424347,236621,23949,212672,255767
2003,6990973,1139474,3786,59986,415799,819027,234829.0,584199.0,368722,824593,306704,146957,1393183,354402,1038781,523878,189871.0,146299.0,187708,491764,30748,461015,247876,24621,223255,249227
2004,8273797,2136680,8307,61451,474427,835491,243185.0,592305.0,395702,867054,342798,128057,1415023,291805,1123218,554281,199616.0,147974.0,206690,535632,35914,499718,251221,23158,228064,267673
2005,9045413,2556550,8982,69431,581840,852633,,,438442,912220,376680,188864,1397393,289794,1107599,587181,221764.0,142843.0,222574,555790,37155,518634,242523,25242,217281,276885
