,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2015,63732840,961378,63564,1051281,5279814,6286085,3696684,2589401,5626505,6754912,2565415,1363007,16386815,2123545,14263270,5228336,2306219,398134,2523983,5953509,441416,5512093,3867888,724893,3142995,2344331
2016,65719683,883895,73873,1040730,6044399,6220909,3869264,2351645,4967000,6842547,2774812,1329589,16775736,2100087,14675650,5636049,2368391,393630,2874027,6429649,477527,5952122,4241571,814523,3427048,2458923
2017,69422735,887774,110066,1214518,6465980,6190183,4011472,2178711,5736129,7162810,3041496,1234839,17573003,2147605,15425397,5956914,2553201,363550,3040163,6797116,494653,6302463,4486841,859519,3627322,2565067
2018,73918283,887152,159990,1347745,7038274,6411190,4217904,2193287,6160056,7436664,3359224,1280119,18771594,2321718,16449876,6300213,2768784,370299,3161130,7284356,529988,6754368,4732231,921277,3810954,2749476
2019,78400680,876408,153160,1213491,7376231,6700848,4336071,2364777,7097933,7769047,3716756,1305310,19785593,2226833,17558760,6788786,2923931,465808,3399048,7820449,571706,7248742,4979684,930348,4049336,2816986
2020,78692533,875318,174719,1360584,7463334,6666399,4265299,2401100,7047484,7985976,4395577,1234255,20052648,2409761,17642887,6883653,2979047,504063,3400544,8242180,534667,7707513,3768858,596523,3172335,2541549
2021,88688596,955327,183483,1746710,8065331,7194766,4641317,2553449,8294879,9052982,5520154,1392156,21300627,2623029,18677599,8022885,3425418,605121,3992346,8946068,587339,8358729,5187249,891191,4296057,2825977
2008,49219403,886982,125449,506420,4470351,4815539,3199707,1615832,2801861,5503267,1689011,1102443,14136151,1462374,12673778,4679949,2311052,289658,2079239,3908274,319544,3588731,2850996,526384,2324612,1742711
2009,48188061,607401,133199,666915,3414208,4679246,3095016,1584231,2491279,5776931,1604980,996335,14937141,1584772,13352369,4338283,2094992,270536,1972755,4141726,332697,3809029,2677837,499111,2178727,1722577
2010,50316131,724007,95107,925764,2936740,4946270,3277401,1668869,2703823,6304096,1711208,1264017,15709827,1587339,14122488,4198434,1870972,272246,2055217,4298651,357053,3941599,2723409,549394,2174014,1774778
2011,52417487,991368,88553,918135,3288159,5418355,3542533,1875822,2983942,6355451,1829659,1273596,15492706,1741356,13751351,4499987,1918383,340273,2241331,4569892,372000,4197892,2879256,564415,2314841,1828426
2012,53526405,862792,92097,1013440,3384669,6307209,3634966,2672243,3049197,6267067,1785077,1162283,15086996,1795444,13291551,4577776,1955017,357373,2265386,4915304,389661,4525643,3105411,602084,2503328,1917086
2013,57088166,907170,65631,896172,4148511,6525388,3620597,2904791,3634693,6619781,1907980,1304275,16068189,1858845,14209344,4641045,1992986,402857,2245201,5181258,374358,4806900,3208691,657033,2551659,1979382
2014,59554501,960307,71030,1155273,4637696,6340044,3669416,2670628,4042020,6475407,2167320,1293054,16233560,2020132,14213428,4968156,2165818,403136,2399202,5451437,405589,5045847,3552415,731857,2820558,2206784
2001,30643855,877652,76965,184022,3103896,4034113,2868085,1166028,1751356,3740477,812725,528985,7470997,968404,6502593,2588174,1212364,282913,1092896,2265488,138864,2126624,1877099,404966,1472133,1331905
2002,33303351,728856,85530,294522,3295296,4058378,2937819,1120559,1886646,4048093,803927,628914,8469054,1143809,7325245,2873922,1373425,303662,1196835,2562236,146843,2415394,2077918,450650,1627268,1490058
2003,36455270,764937,85754,290542,3907741,4373513,3152392,1221121,2036933,4424094,893546,685935,9329704,1397358,7932346,3207903,1462322,304588,1440992,2761558,174947,2586611,2205704,425401,1780303,1487406
2004,40809251,823210,85565,409289,4912392,4736226,3330008,1406218,2160107,4935897,1066050,800426,10035306,1284410,8750896,3660358,1679348,352338,1628672,2998175,204979,2793195,2573002,428229,2144773,1613248
2005,45155103,845400,110525,418806,6008198,5075291,3609252,1466040,2428010,5357661,1251903,907807,11261409,1379834,9881575,4039295,1902265,366317,1770712,3182056,213326,2968730,2528847,467199,2061648,1739895
2006,49037804,809560,157445,517475,6331647,5439197,3788511,1650686,2755671,5646150,1493221,969461,12361572,1669692,10691881,4458040,2189368,296111,1972560,3445764,256266,3189497,2757942,548300,2209642,1894659
2007,50586386,933729,165640,539183,6010395,5143050,3497289,1645761,2896674,5616370,1643533,1105724,13423033,1629272,11793761,4786881,2359150,282508,2145224,3574636,294305,3280331,2830708,519145,2311563,1916830
